File path:,
File note:,
File date:,19/06/17
File time:,06:52:30
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.357,0.374,0.383,0.383
Ek:,422.3,376.2,324.0,356.6
Pm:,95.23,89.00,116.6,110.8
Em:,,,1639,989.2
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.115,0.718,0.072,0.151
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,6.178,47,0.000000,0.000000,0.000000,0.000000,1.030,1.744,0.409,,0.336,0.0716,7.158,0.706,2000,0.057,1.430,,104.7,1.048,1.685,0.004441,0.004164,0.006088,1.067,,12,0.0283,1.048,36,-0.000327,1.697
,2,22,12:08,728,7.046,52,7.749,7.649,90.49,0.0199,1.174,1.813,0.352,0.163,0.309,0.0683,6.831,0.558,2269,0.016,1.376,,21.69,1.178,1.764,0.0173,0.0208,0.0270,0.834,,12,0.0266,1.178,36,-0.000239,1.773
,3,49,13:11,791,7.495,53,15.74,16.51,195.9,0.0403,1.249,1.840,0.321,0.244,0.312,0.0664,6.639,0.584,2832,0.001,1.355,,23.06,1.228,1.817,0.0161,0.0199,0.0255,0.808,,12,0.0271,1.228,36,0.000708,1.791
,4,81,14:14,854,7.384,55,26.89,26.30,349.8,0.0689,1.231,1.842,0.332,0.219,0.231,0.0717,7.172,0.580,2320,0.000,1.354,,22.14,1.262,1.797,0.0130,0.0204,0.0242,0.638,,12,0.0237,1.262,36,-0.000014,1.798
,5,118,15:17,917,7.620,55,36.40,36.73,446.5,0.0933,1.270,1.837,0.308,0.273,0.216,0.0628,6.284,0.667,2269,0.003,1.358,,13.01,1.274,1.809,0.0280,0.0301,0.0411,0.929,,12,0.0234,1.274,36,0.000371,1.796
,6,163,16:20,980,7.498,55,50.31,48.25,733.0,0.129,1.250,1.808,0.309,0.266,0.214,0.0747,7.468,0.583,2269,0.019,1.380,,17.11,1.273,1.757,0.0168,0.0227,0.0283,0.740,,12,0.0237,1.273,36,-0.000228,1.765
,7,216,17:23,1043,7.615,55,59.86,60.33,904.5,0.153,1.269,1.756,0.277,0.329,0.190,0.0695,6.954,0.736,1808,0.049,1.421,,13.26,1.281,1.729,0.0210,0.0266,0.0338,0.790,,12,0.0205,1.281,36,0.000318,1.718
,8,279,18:26,1106,7.739,55,68.96,72.85,1098,0.177,1.290,1.713,0.247,0.393,0.276,0.0654,6.537,0.362,1552,0.075,1.456,,11.49,1.275,1.679,0.0248,0.0249,0.0352,0.994,,14,0.0188,1.275,36,-0.000270,1.689
,9,353,19:29,1169,7.523,55,88.33,85.36,1479,0.226,1.254,1.672,0.250,0.377,0.212,0.0696,6.956,0.618,1552,0.102,1.491,,12.22,1.262,1.630,0.0212,0.0214,0.0301,0.992,,12,0.0184,1.262,36,-0.000784,1.658
,10,442,20:33,1233,7.501,55,98.53,96.65,1847,0.253,1.250,1.609,0.223,0.432,0.195,0.0694,6.940,0.622,1552,0.145,1.550,,10.23,1.251,1.600,0.0146,0.0309,0.0342,0.473,,12,0.0163,1.251,36,0.000761,1.573
,11,547,21:36,1296,7.562,55,104.2,104.8,2254,0.267,1.260,1.557,0.191,0.504,0.131,0.0684,6.844,0.626,1232,0.183,1.602,,9.718,1.251,1.548,0.0202,0.0228,0.0305,0.886,,12,0.0150,1.251,36,0.000552,1.528
,12,671,22:39,1359,7.339,56,124.1,113.8,2493,0.318,1.223,1.501,0.185,0.508,0.263,0.0617,6.171,0.628,1808,0.228,1.662,,7.758,1.220,1.485,0.0222,0.0259,0.0341,0.857,,14,0.0111,1.220,36,-0.000058,1.487
,13,819,23:42,1422,7.326,56,110.6,122.3,3295,0.284,1.221,1.412,0.135,0.626,0.193,0.0668,6.681,0.548,912.0,0.305,1.767,,7.080,1.220,1.398,0.0162,0.0193,0.0252,0.839,,14,0.008617,1.220,36,0.000223,1.390
,14,995,24:45,1485,6.877,56,120.5,129.5,,0.309,1.146,1.304,0.121,0.647,,,,,,0.413,1.913,,4.947,1.146,1.304,0.0173,0.0268,0.0319,0.645,,21,0.005419,1.146,36,0.000227,1.296
,15,1204,25:48,1548,6.252,56,167.7,135.1,,0.430,1.042,1.211,0.139,0.574,,,,,,0.521,2.060,,4.582,1.042,1.211,0.0234,0.0284,0.0368,0.823,,15,0.005932,1.042,36,0.000185,1.204
,16,1451,26:51,1611,5.743,58,156.3,138.9,,0.401,0.957,1.073,0.108,0.642,,,,,,0.717,2.325,,3.262,0.957,1.073,0.0235,0.0265,0.0354,0.888,,23,0.005483,0.957,36,0.000667,1.049
,17,1745,27:54,1674,5.531,63,110.4,141.3,,0.283,0.922,0.984,0.063,0.776,,,,,,0.872,2.535,,2.158,0.922,0.984,0.0175,0.0229,0.0288,0.763,,16,0.004266,0.922,36,-0.000522,1.003
,18,2094,28:57,1737,5.130,61,176.3,142.7,,0.452,0.855,0.934,0.084,0.691,,,,,,0.973,2.672,,2.067,0.855,0.934,0.0237,0.0297,0.0380,0.798,,18,0.004422,0.855,36,0.000570,0.913
,19,2508,30:00,1800,5.047,65,179.8,143.4,,0.461,0.841,0.906,0.072,0.731,,,,,,1.033,2.753,,1.634,0.841,0.906,0.0245,0.0314,0.0398,0.780,,22,0.000605,0.841,36,0.001011,0.870
,20,3000,31:03,1863,,71,-3701999,143.6,,,,,,,,,,,,,,,,0.825,0.801,0.0413,0.0309,0.0516,1.334,,14,0.000831,0.825,36,-0.002008,0.873
,21,0,32:06,1926,5.190,31,0.000000,0.000000,0.000000,0.000000,0.865,1.309,0.339,,0.238,0.0705,7.046,0.818,1232,0.407,1.905,,42.11,0.883,1.274,0.005917,0.007169,0.009296,0.825,,12,0.0168,0.883,36,-0.000107,1.278
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,6.178,56,0.000000,0.000000,0.000000,0.000000,0.844,1.440,0.414,,0.314,0.0841,5.605,0.754,1872,0.049,1.250,,73.15,0.864,1.383,0.005990,0.003804,0.007096,1.575,,12,0.0265,0.864,36,-0.000131,1.388
,2,22,12:08,728,7.046,63,8.117,7.997,69.65,0.0169,0.942,1.492,0.369,0.186,0.334,0.0789,5.257,0.620,2397,0.012,1.206,,23.21,0.963,1.435,0.0149,0.0138,0.0203,1.082,,12,0.0230,0.963,36,-0.000643,1.458
,3,49,13:11,791,7.495,65,17.32,17.19,153.0,0.0360,0.977,1.511,0.353,0.226,0.232,0.0778,5.184,0.582,2371,0.000,1.191,,27.92,0.994,1.466,0.0117,0.0122,0.0169,0.951,,13,0.0243,0.994,36,-0.000240,1.475
,4,81,14:14,854,7.384,65,24.61,27.27,247.6,0.0511,1.044,1.499,0.304,0.332,0.449,0.0761,5.076,0.479,2717,0.007,1.200,,16.04,1.035,1.455,0.0183,0.0187,0.0262,0.974,,12,0.0203,1.035,36,-0.000553,1.475
,5,118,15:17,917,7.620,66,39.49,37.91,394.7,0.0820,1.001,1.504,0.335,0.265,0.231,0.0833,5.554,0.606,2640,0.004,1.196,,24.41,1.031,1.466,0.008795,0.0155,0.0178,0.568,,12,0.0209,1.031,36,0.000357,1.453
,6,163,16:20,980,7.498,65,48.78,49.51,463.7,0.101,1.036,1.479,0.299,0.337,0.166,0.0709,4.724,0.562,2461,0.021,1.217,,16.46,1.056,1.447,0.0154,0.0181,0.0238,0.853,,12,0.0178,1.056,36,0.000416,1.432
,7,216,17:23,1043,7.615,65,63.47,61.50,692.0,0.132,1.025,1.452,0.294,0.342,0.081,0.0798,5.320,0.633,1731,0.041,1.240,,15.28,1.055,1.412,0.0187,0.0140,0.0233,1.337,,12,0.0184,1.055,36,-0.000238,1.420
,8,279,18:26,1106,7.739,64,76.86,73.73,911.0,0.160,1.017,1.403,0.275,0.371,0.089,0.0813,5.422,0.618,1872,0.076,1.282,,14.92,1.039,1.364,0.0126,0.0177,0.0218,0.713,,12,0.0182,1.039,36,-0.000443,1.380
,9,353,19:29,1169,7.523,65,83.44,85.71,992.2,0.173,1.044,1.367,0.236,0.452,0.208,0.0700,4.667,0.576,2000,0.105,1.317,,11.84,1.049,1.342,0.0181,0.0170,0.0248,1.062,,12,0.0139,1.049,36,-0.000104,1.346
,10,442,20:33,1233,7.501,64,99.92,87.41,1520,0.207,1.020,1.318,0.226,0.465,0.243,0.0857,5.712,0.477,1629,0.146,1.365,,9.334,1.032,1.294,0.0211,0.0186,0.0282,1.135,,12,0.0138,1.032,36,0.000183,1.288
,11,547,21:36,1296,7.562,64,101.3,84.81,1644,0.210,1.034,1.269,0.185,0.552,0.156,0.0749,4.991,0.585,1603,0.191,1.418,,8.908,1.045,1.247,0.0160,0.0160,0.0226,0.994,,12,0.009761,1.045,36,-0.000194,1.254
,12,671,22:39,1359,7.339,65,107.3,81.81,1641,0.223,1.035,1.233,0.160,0.607,0.230,0.0609,4.061,0.826,1757,0.226,1.460,,8.672,1.041,1.217,0.0129,0.0156,0.0202,0.827,,13,0.006819,1.041,36,-0.000043,1.218
,13,819,23:42,1422,7.326,64,121.2,78.56,2262,0.252,0.990,1.162,0.148,0.623,0.129,0.0688,4.586,0.360,1360,0.299,1.548,,7.233,0.996,1.149,0.0143,0.0157,0.0213,0.909,,12,0.008092,0.996,36,0.000011,1.149
,14,995,24:45,1485,6.877,63,130.1,75.28,,0.270,0.919,1.058,0.131,0.647,,,,,,0.428,1.701,,5.182,0.919,1.058,0.0210,0.0164,0.0267,1.280,,14,0.009002,0.919,36,0.000193,1.051
,15,1204,25:48,1548,6.252,62,155.5,72.23,3578,0.323,0.855,0.982,0.129,0.634,0.180,0.0740,4.935,0.730,1309,0.538,1.832,,6.167,0.849,0.972,0.0133,0.0149,0.0200,0.894,,12,0.007839,0.849,36,-0.000233,0.980
,16,1451,26:51,1611,5.743,62,76.07,69.65,,0.158,0.830,0.876,0.052,0.840,,,,,,0.724,2.054,,1.451,0.830,0.876,0.0249,0.0195,0.0317,1.277,,15,0.003744,0.830,36,-0.000030,0.877
,17,1745,27:54,1674,5.531,66,80.22,67.67,,0.167,0.779,0.816,0.046,0.853,,,,,,0.851,2.205,,1.333,0.779,0.816,0.0183,0.0214,0.0281,0.854,,15,0.001876,0.779,36,-0.000443,0.832
,18,2094,28:57,1737,5.130,69,115.7,66.32,,0.240,0.726,0.769,0.055,0.815,,,,,,0.965,2.341,,1.298,0.726,0.769,0.0245,0.0217,0.0327,1.128,,17,0.001937,0.726,36,0.000648,0.745
,19,2508,30:00,1800,5.047,71,16.82,65.53,,0.0349,0.704,0.709,0.007,0.976,,,,,,1.131,2.539,,0.152,0.704,0.709,0.0163,0.0266,0.0312,0.611,,26,0.001533,0.704,36,-0.001283,0.755
,20,3000,31:03,1863,,78,214.3,65.13,,0.445,0.643,0.693,0.071,0.743,,,,,,1.180,2.597,,1.516,0.643,0.693,0.0246,0.0215,0.0327,1.143,,12,0.002696,0.643,36,0.000389,0.679
,21,0,32:06,1926,5.190,36,0.000000,0.000000,0.000000,0.000000,0.714,1.095,0.347,,0.282,0.0833,5.555,0.851,1283,0.380,1.644,,41.05,0.731,1.058,0.005957,0.005277,0.007958,1.129,,12,0.0167,0.731,36,-0.000123,1.062
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,6.178,55,0.000000,0.000000,0.000000,0.000000,0.681,1.171,0.419,,0.275,0.0825,4.583,0.758,1808,0.048,1.271,,65.36,0.701,1.122,0.005274,0.003708,0.006447,1.423,,12,0.0214,0.701,36,-0.000193,1.129
,2,22,12:08,728,7.046,62,8.243,8.146,55.19,0.0137,0.758,1.212,0.375,0.165,0.247,0.0750,4.166,0.694,2243,0.012,1.228,,22.32,0.778,1.172,0.0102,0.0145,0.0177,0.703,,12,0.0191,0.778,36,-0.000240,1.181
,3,49,13:11,791,7.495,62,18.09,17.42,131.3,0.0300,0.774,1.227,0.369,0.183,0.215,0.0801,4.449,0.636,2448,0.000,1.213,,22.92,0.801,1.185,0.0106,0.0130,0.0168,0.819,,12,0.0188,0.801,36,-0.000042,1.187
,4,81,14:14,854,7.384,63,25.69,27.45,208.6,0.0426,0.831,1.217,0.317,0.295,0.337,0.0770,4.276,0.692,2397,0.008,1.223,,21.84,0.827,1.181,0.009229,0.0133,0.0162,0.693,,13,0.0178,0.827,36,-0.000377,1.194
,5,118,15:17,917,7.620,65,38.65,37.88,331.9,0.0641,0.820,1.219,0.328,0.273,0.187,0.0841,4.671,0.606,1808,0.006,1.220,,16.55,0.849,1.184,0.0113,0.0168,0.0202,0.671,,14,0.0165,0.849,36,-0.000033,1.185
,6,163,16:20,980,7.498,64,46.18,49.06,444.8,0.0765,0.851,1.188,0.283,0.362,0.354,0.0816,4.532,0.482,2448,0.033,1.252,,13.74,0.855,1.160,0.0157,0.0156,0.0222,1.007,,12,0.0154,0.855,36,0.000087,1.157
,7,216,17:23,1043,7.615,63,57.22,60.38,560.5,0.0948,0.851,1.157,0.265,0.395,0.226,0.0776,4.309,0.578,1949,0.060,1.286,,14.66,0.851,1.136,0.009793,0.0168,0.0195,0.582,,12,0.0150,0.851,36,0.000002,1.136
,8,279,18:26,1106,7.739,63,71.54,71.64,704.2,0.119,0.847,1.138,0.256,0.409,0.221,0.0754,4.191,0.655,1731,0.078,1.307,,13.31,0.849,1.115,0.0114,0.0164,0.0199,0.694,,12,0.0141,0.849,36,-0.000019,1.116
,9,353,19:29,1169,7.523,62,87.45,82.08,836.9,0.145,0.829,1.102,0.248,0.418,0.212,0.0709,3.937,0.646,2243,0.113,1.350,,12.73,0.835,1.087,0.0153,0.0125,0.0198,1.223,,13,0.0117,0.835,36,0.000254,1.078
,10,442,20:33,1233,7.501,65,98.14,91.34,1002,0.163,0.835,1.074,0.222,0.470,0.202,0.0678,3.766,0.622,2128,0.142,1.385,,12.13,0.825,1.051,0.0122,0.0141,0.0186,0.868,,12,0.0120,0.825,36,-0.000248,1.060
,11,547,21:36,1296,7.562,62,94.65,99.31,1454,0.157,0.848,1.025,0.173,0.576,0.269,0.0795,4.415,0.660,1168,0.197,1.452,,9.406,0.844,1.009,0.0114,0.0132,0.0175,0.865,,12,0.008178,0.844,36,-0.000139,1.014
,12,671,22:39,1359,7.339,62,114.7,105.7,1827,0.190,0.824,0.994,0.171,0.573,0.236,0.0814,4.522,0.810,1360,0.235,1.497,,7.330,0.820,0.973,0.0127,0.0165,0.0208,0.774,,13,0.008630,0.820,36,-0.000307,0.984
,13,819,23:42,1422,7.326,63,125.1,110.6,1547,0.207,0.794,0.938,0.153,0.605,0.024,0.0565,3.137,0.656,2320,0.308,1.587,,8.676,0.791,0.936,0.0102,0.0132,0.0167,0.770,,15,0.006621,0.791,36,0.000409,0.921
,14,995,24:45,1485,6.877,61,115.2,113.8,,0.191,0.758,0.857,0.116,0.683,,,,,,0.432,1.737,,5.116,0.758,0.857,0.0152,0.0120,0.0194,1.267,,14,0.004967,0.758,36,0.000452,0.840
,15,1204,25:48,1548,6.252,64,122.4,115.7,,0.203,0.703,0.782,0.102,0.705,,,,,,0.569,1.902,,4.048,0.703,0.782,0.0136,0.0142,0.0196,0.962,,13,0.003717,0.703,36,-0.000167,0.788
,16,1451,26:51,1611,5.743,61,112.8,116.5,,0.187,0.645,0.700,0.078,0.757,,,,,,0.753,2.126,,3.020,0.645,0.700,0.009273,0.0154,0.0180,0.600,,19,0.002362,0.645,36,-0.000010,0.700
,17,1745,27:54,1674,5.531,65,98.06,116.6,,0.163,0.618,0.654,0.056,0.816,,,,,,0.875,2.273,,1.708,0.618,0.654,0.0165,0.0138,0.0215,1.195,,12,0.003447,0.618,36,-0.000827,0.684
,18,2094,28:57,1737,5.130,67,-2583995,116.3,,,,,,,,,,,,,,,,0.599,0.590,0.0168,0.0163,0.0234,1.029,,15,0.001621,0.599,36,-0.001137,0.631
,19,2508,30:00,1800,5.047,70,125.3,115.9,,0.208,0.551,0.580,0.050,0.822,,,,,,1.115,2.565,,1.119,0.551,0.580,0.0167,0.0198,0.0259,0.845,,13,0.003113,0.551,36,0.000056,0.578
,20,3000,31:03,1863,,79,124.4,115.6,,0.206,0.535,0.558,0.041,0.848,,,,,,1.198,2.666,,0.891,0.535,0.558,0.0174,0.0193,0.0260,0.899,,17,0.002418,0.535,36,-0.000269,0.568
,21,0,32:06,1926,5.190,36,0.000000,0.000000,0.000000,0.000000,0.586,0.890,0.342,,0.315,0.0805,4.470,0.727,1309,0.378,1.671,,42.91,0.594,0.861,0.004934,0.003788,0.006220,1.302,,12,0.0135,0.594,36,-0.000183,0.868
,LED combination D (450 + 530 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,6.178,64,0.000000,0.000000,0.000000,0.000000,0.655,1.091,0.399,,0.367,0.0904,3.932,0.741,1923,0.046,1.321,,71.00,0.659,1.045,0.004856,0.002432,0.005431,1.997,,12,0.0216,0.659,36,-0.000212,1.052
,2,22,12:08,728,7.046,71,8.659,8.179,53.32,0.0145,0.688,1.135,0.394,0.107,0.266,0.0926,4.024,0.718,1949,0.005,1.270,,28.76,0.714,1.087,0.007889,0.0103,0.0130,0.767,,12,0.0206,0.714,36,-0.000268,1.096
,3,49,13:11,791,7.495,74,16.79,17.55,107.8,0.0281,0.750,1.141,0.343,0.225,0.268,0.0840,3.653,0.564,2320,0.000,1.263,,24.05,0.767,1.103,0.009108,0.0106,0.0140,0.857,,12,0.0178,0.767,36,-0.000106,1.107
,4,81,14:14,854,7.384,75,26.99,27.78,180.6,0.0452,0.760,1.140,0.333,0.245,0.288,0.0851,3.702,0.550,2640,0.001,1.265,,21.97,0.774,1.101,0.009432,0.0115,0.0149,0.820,,13,0.0171,0.774,36,-0.000084,1.104
,5,118,15:17,917,7.620,74,38.30,38.51,284.8,0.0641,0.766,1.134,0.325,0.263,0.273,0.0922,4.008,0.602,2371,0.007,1.272,,22.32,0.784,1.100,0.008862,0.0111,0.0142,0.802,,12,0.0173,0.784,36,0.000247,1.091
,6,163,16:20,980,7.498,74,49.66,50.15,377.6,0.0831,0.776,1.115,0.305,0.302,0.276,0.0885,3.847,0.627,2243,0.023,1.292,,18.40,0.789,1.083,0.0106,0.0119,0.0159,0.896,,12,0.0159,0.789,36,-0.000003,1.083
,7,216,17:23,1043,7.615,72,57.56,62.10,474.2,0.0963,0.795,1.084,0.266,0.379,0.359,0.0838,3.646,0.481,2563,0.053,1.330,,15.58,0.793,1.067,0.0102,0.0143,0.0176,0.713,,12,0.0139,0.793,36,0.000257,1.057
,8,279,18:26,1106,7.739,72,73.61,74.18,617.1,0.123,0.779,1.059,0.264,0.377,0.176,0.0845,3.673,0.622,1808,0.078,1.362,,16.16,0.795,1.029,0.0106,0.009929,0.0145,1.066,,15,0.0125,0.795,36,-0.000220,1.037
,9,353,19:29,1169,7.523,71,85.58,85.90,854.6,0.143,0.776,1.025,0.242,0.417,0.201,0.0925,4.020,0.579,1821,0.114,1.407,,15.62,0.785,0.998,0.006463,0.0120,0.0136,0.538,,12,0.0126,0.785,36,-0.000160,1.004
,10,442,20:33,1233,7.501,71,96.83,94.49,1036,0.162,0.778,0.996,0.219,0.464,0.057,0.0895,3.892,0.658,1283,0.146,1.447,,10.83,0.800,0.971,0.0108,0.0115,0.0158,0.939,,12,0.009670,0.800,36,-0.000124,0.976
,11,547,21:36,1296,7.562,72,132.3,101.5,1589,0.221,0.737,0.972,0.242,0.399,0.118,0.111,4.825,0.641,1117,0.174,1.482,,10.01,0.763,0.948,0.0128,0.0132,0.0184,0.972,,12,0.0113,0.763,36,0.000100,0.944
,12,671,22:39,1359,7.339,71,100.6,106.7,1146,0.168,0.783,0.921,0.150,0.615,0.215,0.0652,2.837,0.459,2051,0.240,1.566,,7.654,0.781,0.914,0.0118,0.0128,0.0174,0.922,,12,0.005806,0.781,36,0.000150,0.909
,13,819,23:42,1422,7.326,70,107.0,109.8,1518,0.179,0.758,0.872,0.131,0.654,0.163,0.0708,3.078,0.880,1360,0.308,1.652,,6.930,0.753,0.864,0.009379,0.0129,0.0159,0.727,,12,0.005779,0.753,36,-0.000106,0.867
,14,995,24:45,1485,6.877,70,132.6,110.8,1777,0.222,0.702,0.810,0.133,0.630,0.135,0.0682,2.965,0.643,2243,0.410,1.780,,6.671,0.695,0.800,0.0103,0.0120,0.0158,0.854,,12,0.006426,0.695,36,-0.000029,0.801
,15,1204,25:48,1548,6.252,70,133.6,109.7,,0.224,0.649,0.730,0.111,0.670,,,,,,0.564,1.975,,5.108,0.649,0.730,0.0102,0.0122,0.0159,0.838,,12,0.004349,0.649,36,-0.000180,0.736
,16,1451,26:51,1611,5.743,70,125.4,107.0,,0.210,0.600,0.657,0.086,0.724,,,,,,0.737,2.194,,2.906,0.600,0.657,0.0165,0.0105,0.0195,1.572,,15,0.004209,0.600,36,-0.000080,0.660
,17,1745,27:54,1674,5.531,68,132.8,102.8,,0.222,0.573,0.621,0.076,0.747,,,,,,0.839,2.323,,2.502,0.573,0.621,0.0127,0.0140,0.0189,0.908,,23,0.001974,0.573,36,0.000076,0.618
,18,2094,28:57,1737,5.130,73,137.2,97.85,,0.230,0.543,0.581,0.066,0.772,,,,,,0.964,2.480,,2.020,0.543,0.581,0.008384,0.0169,0.0189,0.496,,14,0.002253,0.543,36,0.000181,0.575
,19,2508,30:00,1800,5.047,76,67.00,92.43,,0.112,0.527,0.542,0.027,0.902,,,,,,1.107,2.661,,0.796,0.527,0.542,0.0137,0.0119,0.0182,1.153,,12,0.002400,0.527,36,-0.000437,0.557
