File path:,
File note:,
File date:,19/06/17
File time:,07:48:18
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.366,0.389,0.394,0.390
Ek:,271.3,253.9,224.6,261.0
Pm:,62.78,85.34,84.57,88.70
Em:,,820.4,1217,902.7
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.086,0.163,0.137,0.150
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,15.70,57,0.000000,0.000000,0.000000,0.000000,2.616,4.449,0.412,,0.280,0.0633,6.334,0.714,1872,0.115,1.432,,148.3,2.675,4.312,0.006056,0.009233,0.0110,0.656,,12,0.0648,2.675,36,-0.000178,4.318
,2,22,12:06,726,18.58,62,7.650,7.736,75.22,0.0495,3.096,4.747,0.348,0.186,0.307,0.0568,5.678,0.570,2909,0.045,1.342,,37.22,3.085,4.656,0.0223,0.0358,0.0422,0.624,,14,0.0573,3.085,36,0.000928,4.622
,3,49,13:09,789,19.70,65,16.07,16.41,180.7,0.104,3.284,4.886,0.328,0.244,0.280,0.0612,6.122,0.540,3088,0.015,1.304,,26.38,3.288,4.808,0.0370,0.0441,0.0576,0.839,,13,0.0611,3.288,36,0.001610,4.750
,4,81,14:12,852,19.85,65,26.98,25.64,305.1,0.175,3.309,4.962,0.333,0.239,0.048,0.0625,6.254,0.594,2717,0.000,1.284,,30.45,3.409,4.831,0.0264,0.0385,0.0467,0.685,,12,0.0613,3.409,36,-0.000199,4.838
,5,118,15:15,915,20.96,66,34.23,35.03,460.7,0.222,3.494,4.922,0.290,0.334,0.246,0.0648,6.484,0.550,2640,0.008,1.294,,29.89,3.488,4.837,0.0285,0.0350,0.0451,0.816,,12,0.0609,3.488,36,0.001139,4.796
,6,163,16:18,978,21.20,65,44.99,44.85,637.0,0.291,3.533,4.880,0.276,0.364,0.234,0.0649,6.489,0.566,2448,0.017,1.305,,26.61,3.543,4.794,0.0293,0.0368,0.0470,0.796,,12,0.0560,3.543,36,0.000251,4.785
,7,216,17:21,1041,21.48,64,55.50,54.52,819.4,0.359,3.580,4.818,0.257,0.403,0.220,0.0630,6.300,0.570,2243,0.030,1.322,,21.92,3.576,4.732,0.0366,0.0380,0.0527,0.963,,12,0.0545,3.576,36,-0.000073,4.734
,8,279,18:24,1104,21.75,64,63.36,63.66,1098,0.410,3.625,4.690,0.227,0.464,0.194,0.0653,6.535,0.642,2128,0.058,1.358,,21.01,3.616,4.643,0.0304,0.0382,0.0489,0.795,,12,0.0475,3.616,36,0.000796,4.614
,9,353,19:28,1168,21.61,63,69.91,71.00,1323,0.453,3.601,4.491,0.198,0.521,0.249,0.0622,6.223,0.559,2077,0.105,1.419,,15.93,3.595,4.451,0.0399,0.0359,0.0537,1.111,,12,0.0368,3.595,36,0.001412,4.400
,10,442,20:31,1231,21.07,61,81.07,77.68,1659,0.525,3.512,4.300,0.183,0.545,0.158,0.0623,6.233,0.676,1808,0.154,1.481,,16.45,3.526,4.260,0.0353,0.0273,0.0446,1.296,,12,0.0320,3.526,36,0.000888,4.228
