File path:,
File note:,
File date:,19/06/17
File time:,11:05:42
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.409,0.413,0.418,0.421
Ek:,291.3,307.4,290.2,306.8
Pm:,108.8,102.2,123.8,129.3
Em:,1121,840.6,,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.083,0.214,0.080,0.068
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,18.81,42,0.000000,0.000000,0.000000,0.000000,3.135,5.407,0.420,,0.346,0.0670,6.703,0.695,1821,0.127,1.297,,186.7,3.180,5.233,0.005894,0.009284,0.0110,0.635,,12,0.0850,3.180,36,-0.000663,5.257
,2,22,12:08,728,20.78,50,8.731,8.661,82.30,0.0664,3.463,5.741,0.397,0.118,0.234,0.0621,6.212,0.656,2320,0.061,1.222,,44.81,3.529,5.576,0.0203,0.0409,0.0457,0.497,,13,0.0830,3.529,36,-0.000406,5.591
,3,49,13:11,791,22.50,53,18.52,18.43,193.4,0.141,3.750,6.029,0.378,0.182,0.162,0.0656,6.556,0.618,2499,0.010,1.164,,31.09,3.843,5.863,0.0499,0.0417,0.0650,1.196,,12,0.0870,3.843,36,-0.000335,5.875
,4,81,14:14,854,23.49,54,28.94,28.90,331.4,0.220,3.916,6.092,0.357,0.231,0.206,0.0679,6.793,0.584,2512,0.000,1.152,,39.72,3.978,5.946,0.0334,0.0366,0.0495,0.911,,12,0.0892,3.978,36,-0.000277,5.956
,5,118,15:17,917,24.33,54,38.18,39.66,467.1,0.290,4.055,5.995,0.324,0.298,0.279,0.0657,6.574,0.602,2371,0.016,1.170,,41.63,4.054,5.864,0.0227,0.0371,0.0435,0.614,,12,0.0785,4.054,36,-0.000442,5.880
,6,163,16:21,981,23.75,52,52.03,51.02,643.8,0.396,3.958,5.814,0.319,0.296,0.108,0.0656,6.559,0.589,2051,0.048,1.207,,25.16,4.045,5.653,0.0493,0.0407,0.0639,1.213,,12,0.0714,4.045,36,-0.001011,5.689
,7,216,17:23,1043,24.29,51,60.26,62.34,834.0,0.458,4.048,5.614,0.279,0.372,0.241,0.0641,6.412,0.577,2243,0.085,1.250,,26.27,4.033,5.516,0.0376,0.0421,0.0564,0.891,,12,0.0671,4.033,36,-0.000373,5.529
,8,279,18:27,1107,24.05,50,73.85,73.37,1112,0.562,4.009,5.452,0.265,0.395,0.260,0.0662,6.621,0.560,2000,0.117,1.287,,23.88,4.017,5.341,0.0422,0.0360,0.0555,1.170,,14,0.0580,4.017,36,-0.000517,5.360
,9,353,19:30,1170,23.94,49,85.91,83.01,1441,0.654,3.989,5.273,0.243,0.433,0.204,0.0678,6.778,0.571,1821,0.155,1.331,,19.67,3.983,5.175,0.0411,0.0446,0.0606,0.922,,12,0.0580,3.983,36,0.000042,5.174
,10,442,20:33,1233,23.68,48,92.89,91.47,1781,0.707,3.947,4.998,0.210,0.495,0.270,0.0669,6.690,0.533,1821,0.219,1.404,,19.23,3.882,4.950,0.0240,0.0501,0.0555,0.480,,12,0.0555,3.882,36,0.000888,4.918
,11,547,21:36,1296,23.34,46,100.4,98.37,2116,0.764,3.891,4.766,0.184,0.546,0.167,0.0642,6.423,0.677,1629,0.278,1.472,,14.29,3.894,4.727,0.0312,0.0492,0.0583,0.634,,12,0.0368,3.894,36,0.000867,4.695
,12,671,22:39,1359,22.74,46,105.2,103.5,2495,0.800,3.791,4.496,0.157,0.599,0.204,0.0617,6.174,0.468,1437,0.355,1.561,,12.11,3.770,4.444,0.0398,0.0389,0.0556,1.023,,13,0.0300,3.770,36,-0.000271,4.454
,13,819,23:42,1422,21.25,43,123.1,106.9,2937,0.936,3.542,4.168,0.150,0.597,0.129,0.0596,5.955,0.530,1680,0.462,1.683,,9.107,3.541,4.110,0.0511,0.0361,0.0626,1.417,,12,0.0263,3.541,36,-0.000752,4.137
,14,995,24:45,1485,19.90,41,125.3,108.5,3524,0.954,3.317,3.795,0.126,0.641,0.165,0.0588,5.881,0.747,1629,0.605,1.849,,10.17,3.288,3.760,0.0236,0.0400,0.0465,0.591,,13,0.0231,3.288,36,-0.000245,3.769
,15,1204,25:48,1548,18.48,39,108.3,108.7,,0.824,3.079,3.384,0.090,0.724,,,,,,0.801,2.073,,5.272,3.079,3.384,0.0401,0.0415,0.0577,0.968,,12,0.0179,3.079,36,-0.000514,3.402
