File path:,
File note:,
File date:,19/06/17
File time:,14:47:34
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.434,0.435,0.454,0.423
Ek:,495.9,501.9,451.0,562.9
Pm:,149.5,138.2,129.5,159.8
Em:,964.6,,,984.4
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.186,0.137,1.514,0.162
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,7.972,39,0.000000,0.000000,0.000000,0.000000,1.329,2.451,0.458,,0.370,0.0746,7.460,0.762,1552,0.086,1.165,,122.6,1.356,2.343,0.005446,0.005930,0.008051,0.918,,12,0.0444,1.356,36,-0.000608,2.365
,2,22,12:06,726,8.976,43,9.279,9.343,92.71,0.0274,1.496,2.587,0.422,0.113,0.354,0.0700,6.998,0.624,2320,0.029,1.104,,32.52,1.519,2.503,0.0164,0.0254,0.0303,0.647,,14,0.0418,1.519,36,-0.000107,2.507
,3,49,13:09,789,9.286,44,20.28,20.26,202.4,0.0600,1.548,2.641,0.414,0.138,0.227,0.0686,6.859,0.614,1872,0.008,1.081,,30.25,1.581,2.545,0.0247,0.0201,0.0319,1.232,,12,0.0436,1.581,36,-0.000732,2.571
,4,81,14:12,852,9.694,45,31.32,32.44,347.8,0.0926,1.616,2.634,0.387,0.194,0.387,0.0713,7.130,0.611,2141,0.010,1.084,,29.95,1.626,2.569,0.0166,0.0267,0.0315,0.622,,12,0.0407,1.626,36,-0.000065,2.571
,5,118,15:15,915,9.805,45,45.53,45.59,523.5,0.135,1.634,2.661,0.386,0.200,0.273,0.0737,7.368,0.606,1808,0.000,1.073,,24.54,1.667,2.570,0.0265,0.0255,0.0368,1.039,,12,0.0414,1.667,36,-0.000387,2.584
,6,163,16:19,979,9.864,46,62.16,60.31,749.5,0.184,1.644,2.657,0.381,0.209,0.261,0.0764,7.635,0.584,1872,0.001,1.075,,23.97,1.693,2.565,0.0275,0.0238,0.0364,1.157,,12,0.0417,1.693,36,-0.000425,2.580
,7,216,17:22,1042,10.08,47,79.04,76.02,975.7,0.234,1.680,2.649,0.366,0.240,0.274,0.0750,7.501,0.587,1923,0.004,1.078,,19.03,1.711,2.545,0.0354,0.0258,0.0438,1.375,,13,0.0408,1.711,36,-0.001040,2.582
,8,279,18:24,1104,10.62,47,91.12,92.64,1060,0.270,1.770,2.629,0.327,0.319,0.224,0.0631,6.307,0.618,1808,0.012,1.086,,16.61,1.798,2.562,0.0297,0.0352,0.0460,0.842,,15,0.0308,1.798,36,-0.000187,2.569
,9,353,19:28,1168,10.41,47,115.7,109.6,1474,0.342,1.735,2.582,0.328,0.310,0.048,0.0693,6.934,0.711,1309,0.031,1.106,,21.94,1.778,2.500,0.0205,0.0258,0.0329,0.794,,12,0.0358,1.778,36,-0.000807,2.529
,10,442,20:31,1231,10.85,46,118.5,127.0,1678,0.351,1.808,2.471,0.268,0.422,0.253,0.0630,6.304,0.599,1731,0.077,1.156,,16.45,1.807,2.420,0.0186,0.0323,0.0373,0.577,,12,0.0265,1.807,36,-0.000110,2.424
,11,547,21:34,1294,10.71,46,135.7,139.4,2360,0.401,1.785,2.374,0.248,0.454,0.364,0.0716,7.165,0.654,1680,0.121,1.203,,14.21,1.767,2.353,0.0289,0.0294,0.0412,0.981,,13,0.0270,1.767,36,0.000775,2.325
,12,671,22:37,1357,10.45,46,159.0,145.1,2633,0.470,1.742,2.283,0.237,0.467,0.281,0.0651,6.515,0.626,1552,0.166,1.251,,12.25,1.743,2.239,0.0246,0.0322,0.0405,0.762,,13,0.0226,1.743,36,-0.000236,2.248
,13,819,23:40,1420,9.961,44,183.1,148.6,3703,0.542,1.660,2.138,0.224,0.478,0.155,0.0751,7.507,0.664,1040,0.244,1.336,,10.38,1.672,2.100,0.0279,0.0304,0.0413,0.920,,13,0.0226,1.672,36,-0.000216,2.108
,14,995,24:43,1483,9.352,44,195.9,149.5,3701,0.579,1.559,1.941,0.197,0.513,0.090,0.0618,6.177,0.666,1411,0.371,1.471,,9.187,1.556,1.939,0.0276,0.0312,0.0416,0.884,,13,0.0180,1.556,36,0.001177,1.896
