File path:,
File note:,
File date:,19/06/17
File time:,22:10:28
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.432,0.427,0.433,0.430
Ek:,469.6,537.6,490.1,548.8
Pm:,171.9,159.6,141.5,151.7
Em:,2169,1050,839.7,770.1
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.103,0.093,0.183,0.182
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,7.327,41,0.000000,0.000000,0.000000,0.000000,1.221,2.163,0.436,,0.322,0.0685,6.846,0.845,1283,0.121,1.305,,99.04,1.259,2.090,0.005309,0.006486,0.008382,0.819,,12,0.0342,1.259,36,-0.000258,2.099
,2,22,12:08,728,8.318,45,8.549,9.288,86.24,0.0244,1.386,2.267,0.389,0.128,0.404,0.0651,6.509,0.762,1488,0.069,1.245,,21.91,1.382,2.210,0.0199,0.0321,0.0378,0.621,,15,0.0324,1.382,36,-0.000430,2.225
,3,49,13:11,791,8.354,46,19.30,20.11,192.3,0.0552,1.392,2.297,0.394,0.122,0.283,0.0652,6.516,0.767,1309,0.055,1.229,,26.51,1.411,2.239,0.0219,0.0222,0.0312,0.988,,15,0.0337,1.411,36,0.000005,2.239
,4,81,14:14,854,8.414,47,31.97,32.15,334.6,0.0914,1.402,2.316,0.395,0.124,0.349,0.0686,6.859,0.614,1488,0.047,1.219,,25.26,1.436,2.246,0.0192,0.0257,0.0321,0.746,,12,0.0338,1.436,36,-0.000094,2.250
,5,118,15:17,917,8.895,48,44.81,45.09,448.1,0.128,1.483,2.390,0.380,0.172,0.246,0.0631,6.306,0.737,1411,0.014,1.181,,27.73,1.500,2.318,0.0209,0.0208,0.0295,1.003,,12,0.0344,1.500,36,-0.000060,2.320
,6,163,16:20,980,9.246,50,59.23,59.52,600.1,0.169,1.541,2.421,0.363,0.213,0.237,0.0611,6.114,0.786,1411,0.002,1.166,,21.13,1.562,2.350,0.0283,0.0243,0.0373,1.167,,13,0.0320,1.562,36,-0.000436,2.366
,7,216,17:24,1044,9.455,51,75.06,74.82,878.9,0.215,1.576,2.415,0.347,0.246,0.242,0.0676,6.757,0.782,1181,0.004,1.169,,17.91,1.603,2.342,0.0311,0.0271,0.0412,1.146,,12,0.0325,1.603,36,-0.000128,2.346
,8,279,18:27,1107,9.583,50,92.32,90.91,1063,0.264,1.597,2.387,0.331,0.278,0.233,0.0632,6.324,0.757,1181,0.016,1.183,,22.24,1.627,2.329,0.0135,0.0286,0.0316,0.471,,14,0.0292,1.627,36,-0.000002,2.329
,9,353,19:30,1170,9.990,53,110.6,107.2,1436,0.316,1.665,2.425,0.313,0.322,0.219,0.0676,6.756,0.808,988.8,0.000,1.165,,17.57,1.693,2.368,0.0262,0.0281,0.0384,0.933,,13,0.0287,1.693,36,0.000154,2.362
,10,442,20:33,1233,10.16,53,122.4,123.8,1698,0.350,1.693,2.341,0.277,0.389,0.386,0.0638,6.378,0.680,1360,0.036,1.206,,16.50,1.685,2.298,0.0259,0.0266,0.0372,0.974,,12,0.0260,1.685,36,-0.000186,2.305
,11,547,21:36,1296,10.45,56,141.2,136.4,2159,0.404,1.742,2.348,0.258,0.431,0.220,0.0655,6.554,1.000,912.0,0.032,1.202,,14.51,1.739,2.300,0.0256,0.0290,0.0387,0.881,,12,0.0280,1.739,36,-0.000149,2.306
,12,671,22:39,1359,10.29,55,158.1,146.5,2464,0.452,1.714,2.243,0.236,0.468,0.319,0.0610,6.099,0.738,1232,0.081,1.259,,14.38,1.695,2.219,0.0272,0.0241,0.0364,1.128,,12,0.0226,1.695,36,0.000146,2.214
,13,819,23:42,1422,10.41,54,160.3,155.2,3018,0.458,1.736,2.158,0.196,0.548,0.249,0.0612,6.119,0.730,1040,0.124,1.308,,11.29,1.732,2.145,0.0211,0.0299,0.0366,0.705,,12,0.0169,1.732,36,0.001072,2.107
,14,995,24:45,1485,10.08,55,176.9,162.0,3118,0.506,1.680,2.043,0.178,0.576,0.028,0.0520,5.204,0.797,1309,0.187,1.382,,7.870,1.689,2.029,0.0309,0.0303,0.0433,1.018,,12,0.0155,1.689,36,0.000655,2.006
,15,1204,25:48,1548,9.631,55,159.1,166.9,,0.455,1.605,1.849,0.132,0.666,,,,,,0.311,1.527,,5.009,1.605,1.849,0.0363,0.0326,0.0488,1.112,,17,0.0107,1.605,36,0.000172,1.843
,16,1451,26:51,1611,8.854,55,168.7,169.9,,0.482,1.476,1.670,0.116,0.687,,,,,,0.452,1.691,,4.941,1.476,1.670,0.0282,0.0274,0.0393,1.028,,13,0.008761,1.476,36,-0.000188,1.677
,17,1745,27:54,1674,8.266,54,156.1,171.4,,0.446,1.378,1.513,0.089,0.744,,,,,,0.602,1.866,,2.872,1.378,1.513,0.0351,0.0315,0.0471,1.116,,32,0.002182,1.378,36,0.000964,1.478
,18,2094,28:57,1737,7.725,56,193.2,171.9,,0.552,1.287,1.418,0.092,0.724,,,,,,0.710,1.991,,2.627,1.287,1.418,0.0334,0.0369,0.0498,0.905,,27,0.003240,1.287,36,0.001197,1.375
,19,2508,30:01,1801,7.455,61,143.1,171.8,,0.409,1.242,1.318,0.057,0.821,,,,,,0.840,2.143,,1.600,1.242,1.318,0.0319,0.0344,0.0470,0.927,,35,0.001324,1.242,36,-0.000510,1.336
,20,3000,31:04,1864,6.822,65,258.2,171.4,,0.738,1.137,1.244,0.086,0.719,,,,,,0.949,2.269,,1.898,1.137,1.244,0.0363,0.0432,0.0564,0.841,,12,0.003433,1.137,36,0.001533,1.189
,21,0,32:06,1926,7.639,30,0.000000,0.000000,0.000000,0.000000,1.273,2.030,0.373,,0.259,0.0649,6.492,0.899,1091,0.195,1.391,,74.98,1.303,1.968,0.005493,0.006958,0.008865,0.789,,12,0.0271,1.303,36,-0.000177,1.974
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,7.327,50,0.000000,0.000000,0.000000,0.000000,1.032,1.816,0.432,,0.389,0.0796,5.309,0.843,1309,0.104,1.362,,115.0,1.047,1.735,0.003669,0.004734,0.005989,0.775,,12,0.0334,1.047,36,-0.000520,1.754
