File path:,
File note:,
File date:,20/06/17
File time:,00:37:36
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.410,0.419,0.410,0.420
Ek:,494.2,519.2,547.6,540.7
Pm:,131.1,137.5,180.1,147.2
Em:,733.8,,1568,1098
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.299,0.120,0.084,0.150
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:49,49,8.305,47,0.000000,0.000000,0.000000,0.000000,1.384,2.397,0.422,,0.348,0.0644,6.442,0.805,1309,0.122,1.476,,91.16,1.405,2.324,0.007913,0.006251,0.0101,1.266,,12,0.0367,1.405,36,-0.000140,2.329
,2,22,12:08,728,9.007,48,8.620,8.816,83.42,0.0288,1.501,2.468,0.392,0.047,0.344,0.0630,6.296,0.778,1437,0.090,1.433,,25.42,1.494,2.408,0.0207,0.0294,0.0359,0.706,,12,0.0371,1.494,36,-0.000087,2.411
,3,49,13:11,791,9.704,52,18.70,19.11,181.0,0.0625,1.617,2.616,0.382,0.102,0.272,0.0614,6.135,0.717,1411,0.028,1.353,,25.13,1.637,2.556,0.0231,0.0284,0.0366,0.812,,13,0.0353,1.637,36,0.000642,2.533
,4,81,14:14,854,9.786,52,31.22,30.61,299.1,0.104,1.631,2.654,0.385,0.101,0.262,0.0613,6.133,0.693,1437,0.014,1.333,,35.61,1.656,2.565,0.009936,0.0235,0.0255,0.423,,12,0.0381,1.656,36,-0.000612,2.587
,5,118,15:17,917,9.752,53,45.50,43.01,456.7,0.152,1.625,2.645,0.386,0.099,0.197,0.0643,6.427,0.783,1411,0.017,1.337,,26.91,1.671,2.563,0.0200,0.0265,0.0332,0.755,,12,0.0369,1.671,36,-0.000354,2.576
,6,163,16:20,980,10.48,55,55.56,56.88,636.4,0.186,1.747,2.650,0.341,0.204,0.325,0.0648,6.484,0.751,1283,0.015,1.335,,20.64,1.748,2.599,0.0291,0.0292,0.0412,0.997,,15,0.0347,1.748,36,0.000135,2.594
,7,216,17:23,1043,10.80,57,71.42,71.69,780.1,0.239,1.801,2.690,0.331,0.235,0.232,0.0600,5.997,0.722,1232,0.000,1.315,,20.01,1.806,2.618,0.0239,0.0328,0.0406,0.727,,14,0.0340,1.806,36,-0.000613,2.640
,8,279,18:26,1106,10.68,56,90.03,87.34,1043,0.301,1.781,2.629,0.323,0.243,0.230,0.0621,6.209,0.782,1232,0.023,1.346,,22.00,1.826,2.579,0.0245,0.0239,0.0343,1.027,,13,0.0289,1.826,36,0.000259,2.570
,9,353,19:29,1169,10.94,56,100.7,103.4,1426,0.336,1.824,2.552,0.285,0.319,0.270,0.0671,6.708,0.882,912.0,0.054,1.386,,17.54,1.826,2.491,0.0186,0.0331,0.0379,0.561,,13,0.0293,1.826,36,-0.000655,2.515
,10,442,20:32,1232,11.39,58,110.6,119.7,1701,0.369,1.899,2.533,0.250,0.400,0.355,0.0639,6.390,0.706,963.2,0.062,1.397,,13.18,1.879,2.477,0.0345,0.0294,0.0453,1.176,,13,0.0249,1.879,36,-0.000252,2.486
,11,547,21:35,1295,11.23,57,137.3,129.3,1905,0.459,1.871,2.499,0.251,0.393,0.248,0.0578,5.784,0.606,1232,0.077,1.416,,12.94,1.862,2.460,0.0358,0.0293,0.0462,1.222,,12,0.0257,1.862,36,0.000191,2.453
,12,671,22:38,1358,11.31,59,149.2,130.9,2411,0.498,1.885,2.424,0.222,0.453,0.191,0.0597,5.967,0.850,912.0,0.110,1.459,,12.62,1.897,2.391,0.0223,0.0322,0.0391,0.693,,12,0.0193,1.897,36,-0.000083,2.394
,13,819,23:41,1421,11.31,59,158.5,130.8,3094,0.529,1.884,2.336,0.194,0.513,0.285,0.0627,6.272,0.488,784.0,0.151,1.514,,7.211,1.881,2.280,0.0451,0.0320,0.0553,1.408,,12,0.0179,1.881,36,-0.001315,2.327
,14,995,24:44,1484,11.24,61,159.5,128.9,3691,0.533,1.874,2.231,0.160,0.586,0.223,0.0616,6.160,0.722,1091,0.206,1.586,,7.438,1.850,2.214,0.0363,0.0328,0.0490,1.105,,13,0.0181,1.850,36,0.000400,2.199
,15,1204,25:47,1547,10.18,62,228.2,125.3,3907,0.762,1.697,2.094,0.189,0.490,0.028,0.0539,5.389,1.000,1181,0.285,1.690,,7.973,1.743,2.099,0.0283,0.0346,0.0447,0.818,,12,0.0142,1.743,36,0.001016,2.062
