File path:,
File note:,
File date:,20/06/17
File time:,03:41:33
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.401,0.408,0.408,0.415
Ek:,407.0,417.0,421.4,413.9
Pm:,115.6,109.8,108.7,135.9
Em:,839.9,606.1,,1085
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.220,0.315,0.124,0.184
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:51,51,8.690,48,0.000000,0.000000,0.000000,0.000000,1.448,2.488,0.418,,0.302,0.0619,6.192,0.775,1501,0.063,1.436,,99.19,1.469,2.422,0.005544,0.007846,0.009607,0.707,,12,0.0373,1.469,36,-0.000222,2.430
,2,22,12:08,728,9.472,51,8.498,8.580,77.16,0.0300,1.579,2.572,0.386,0.077,0.276,0.0582,5.824,0.704,1680,0.028,1.389,,26.16,1.595,2.510,0.0238,0.0256,0.0350,0.930,,12,0.0337,1.595,36,0.000208,2.503
,3,49,13:11,791,9.853,52,17.91,18.50,172.1,0.0633,1.642,2.588,0.366,0.130,0.334,0.0583,5.834,0.644,1872,0.021,1.380,,27.95,1.643,2.528,0.0214,0.0233,0.0317,0.918,,14,0.0329,1.643,36,0.000050,2.526
,4,81,14:15,855,9.853,53,30.21,29.43,298.5,0.107,1.642,2.619,0.373,0.118,0.241,0.0612,6.120,0.707,1603,0.010,1.364,,26.93,1.679,2.551,0.0247,0.0209,0.0324,1.178,,13,0.0349,1.679,36,0.000304,2.540
,5,118,15:18,918,10.08,55,43.01,41.04,396.4,0.152,1.680,2.644,0.364,0.143,0.136,0.0558,5.578,0.749,1731,0.000,1.351,,25.06,1.704,2.569,0.0188,0.0290,0.0345,0.647,,12,0.0337,1.704,36,-0.000170,2.575
,6,163,16:20,980,10.64,54,51.89,53.81,546.8,0.183,1.774,2.602,0.318,0.245,0.273,0.0557,5.570,0.678,1437,0.016,1.373,,19.94,1.764,2.559,0.0214,0.0337,0.0399,0.635,,13,0.0302,1.764,36,0.000275,2.549
,7,216,17:24,1044,10.40,54,70.60,67.15,804.7,0.250,1.734,2.576,0.327,0.220,0.288,0.0619,6.187,0.606,1552,0.027,1.387,,18.21,1.732,2.520,0.0298,0.0314,0.0433,0.952,,12,0.0337,1.732,36,0.000217,2.512
,8,279,18:27,1107,11.18,56,74.40,80.90,957.8,0.263,1.863,2.540,0.267,0.358,0.386,0.0570,5.701,0.583,1411,0.041,1.406,,16.59,1.833,2.524,0.0274,0.0313,0.0416,0.875,,17,0.0255,1.833,36,0.000985,2.489
,9,353,19:30,1170,11.16,56,91.02,94.56,1335,0.322,1.860,2.506,0.258,0.375,0.235,0.0628,6.282,0.644,1040,0.055,1.425,,14.88,1.851,2.458,0.0281,0.0295,0.0408,0.953,,12,0.0278,1.851,36,-0.000071,2.460
,10,442,20:33,1233,11.20,57,109.8,105.5,1665,0.388,1.867,2.485,0.248,0.394,0.333,0.0626,6.256,0.754,1168,0.064,1.438,,15.98,1.873,2.434,0.0215,0.0278,0.0351,0.770,,12,0.0227,1.873,36,-0.000446,2.450
