File path:,
File note:,
File date:,20/06/17
File time:,04:55:08
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.391,0.404,0.409,0.415
Ek:,408.6,392.7,366.2,407.3
Pm:,119.6,119.6,116.8,106.7
Em:,951.0,929.8,2731,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.236,0.122,0.205,0.317
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:51,51,8.007,46,0.000000,0.000000,0.000000,0.000000,1.335,2.330,0.427,,0.306,0.0611,6.112,0.794,1552,0.077,1.357,,90.37,1.357,2.258,0.006820,0.007271,0.009970,0.938,,12,0.0348,1.357,36,-0.000132,2.263
,2,22,12:08,728,8.936,48,8.400,8.375,78.21,0.0267,1.489,2.409,0.382,0.117,0.336,0.0590,5.903,0.690,1872,0.041,1.313,,28.59,1.472,2.349,0.0178,0.0250,0.0307,0.711,,12,0.0356,1.472,36,-0.000025,2.350
,3,49,13:11,791,9.365,49,17.59,18.06,175.5,0.0560,1.561,2.435,0.359,0.175,0.312,0.0595,5.949,0.657,1629,0.030,1.299,,22.84,1.578,2.369,0.0241,0.0249,0.0346,0.968,,15,0.0295,1.578,36,-0.000733,2.396
,4,81,14:15,855,9.500,50,28.96,28.73,292.9,0.0922,1.583,2.465,0.358,0.184,0.312,0.0600,6.004,0.781,1629,0.018,1.283,,20.75,1.582,2.420,0.0216,0.0341,0.0403,0.632,,12,0.0334,1.582,36,0.000588,2.398
,5,118,15:18,918,9.775,51,40.33,40.07,425.0,0.128,1.629,2.475,0.342,0.221,0.337,0.0598,5.981,0.728,1552,0.014,1.278,,24.35,1.618,2.421,0.0215,0.0250,0.0330,0.860,,13,0.0319,1.618,36,-0.000226,2.430
,6,163,16:21,981,10.14,53,53.26,52.56,602.9,0.170,1.689,2.509,0.327,0.261,0.229,0.0614,6.142,0.759,1411,0.000,1.260,,22.13,1.704,2.435,0.0156,0.0291,0.0330,0.537,,15,0.0299,1.704,36,-0.000775,2.463
,7,216,17:24,1044,10.50,54,63.70,65.60,726.0,0.203,1.751,2.483,0.295,0.329,0.247,0.0558,5.582,0.657,1181,0.011,1.274,,24.46,1.750,2.437,0.0143,0.0242,0.0281,0.589,,12,0.0266,1.750,36,0.000120,2.433
,8,279,18:27,1107,10.48,55,83.71,79.05,907.5,0.267,1.746,2.495,0.300,0.320,0.177,0.0540,5.402,0.749,1501,0.006,1.268,,16.99,1.750,2.457,0.0259,0.0326,0.0416,0.792,,13,0.0275,1.750,36,0.000158,2.451
,9,353,19:30,1170,10.83,56,90.19,92.42,1295,0.287,1.805,2.425,0.256,0.411,0.305,0.0609,6.093,0.513,1168,0.035,1.304,,15.17,1.807,2.411,0.0275,0.0288,0.0398,0.956,,15,0.0222,1.807,36,0.001107,2.371
,10,442,20:33,1233,11.02,58,108.9,103.8,1388,0.347,1.837,2.438,0.246,0.434,0.211,0.0522,5.215,0.742,1232,0.029,1.297,,15.24,1.837,2.414,0.0266,0.0270,0.0379,0.986,,13,0.0207,1.837,36,0.000216,2.407
,11,547,21:36,1296,11.13,58,116.7,110.8,2087,0.372,1.855,2.359,0.213,0.500,0.221,0.0634,6.336,0.840,912.0,0.064,1.341,,12.28,1.856,2.327,0.0140,0.0358,0.0384,0.391,,12,0.0211,1.856,36,0.000175,2.321
,12,671,22:39,1359,11.24,59,131.2,115.9,2189,0.418,1.874,2.330,0.196,0.539,0.158,0.0542,5.416,0.814,1117,0.077,1.358,,13.83,1.871,2.329,0.009553,0.0317,0.0331,0.301,,12,0.0177,1.871,36,0.000912,2.296
,13,819,23:42,1422,11.52,59,117.0,118.9,1161,0.373,1.920,2.240,0.143,0.655,0.022,0.0235,2.354,1.000,1040,0.120,1.412,,8.013,1.850,2.193,0.0323,0.0281,0.0428,1.148,,16,0.0116,1.850,36,0.000804,2.164
,14,995,24:45,1485,10.82,61,121.2,119.5,,0.386,1.803,2.053,0.122,0.690,,,,,,0.222,1.540,,5.744,1.803,2.053,0.0279,0.0334,0.0436,0.835,,18,0.0111,1.803,36,-0.000043,2.055
,15,1204,25:48,1548,10.38,63,125.1,117.9,,0.398,1.730,1.930,0.104,0.726,,,,,,0.300,1.639,,3.765,1.730,1.930,0.0291,0.0446,0.0533,0.652,,12,0.0108,1.730,36,-0.000020,1.931
,16,1451,26:51,1611,11.22,71,108.7,114.2,,0.346,1.870,2.022,0.075,0.808,,,,,,0.241,1.564,,3.030,1.870,2.022,0.0308,0.0394,0.0500,0.782,,12,0.0129,1.870,36,-0.002085,2.097
,17,1745,27:54,1674,10.58,76,173.0,109.0,,0.551,1.763,1.957,0.099,0.741,,,,,,0.282,1.616,,3.147,1.763,1.957,0.0451,0.0421,0.0617,1.072,,12,0.0153,1.763,36,-0.000271,1.967
,18,2094,28:58,1738,9.992,81,193.9,103.0,,0.617,1.665,1.835,0.093,0.748,,,,,,0.367,1.723,,3.120,1.665,1.835,0.0417,0.0350,0.0545,1.193,,16,0.006537,1.665,36,0.002298,1.753
,19,2508,30:00,1800,8.977,80,65.76,96.73,,0.209,1.496,1.537,0.026,0.920,,,,,,0.633,2.058,,0.572,1.496,1.537,0.0549,0.0441,0.0704,1.246,,12,0.007092,1.496,36,0.000057,1.534
,20,3000,31:03,1863,8.375,89,276.0,90.81,,0.879,1.396,1.537,0.092,0.719,,,,,,0.632,2.057,,1.765,1.396,1.537,0.0619,0.0509,0.0801,1.215,,13,0.007267,1.396,36,0.002709,1.440
,21,0,32:07,1927,7.960,33,0.000000,0.000000,0.000000,0.000000,1.327,2.112,0.372,,0.265,0.0625,6.254,0.790,1309,0.188,1.497,,60.09,1.353,2.062,0.007343,0.009240,0.0118,0.795,,12,0.0279,1.353,36,0.000019,2.062
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:51,51,8.007,56,0.000000,0.000000,0.000000,0.000000,1.108,1.942,0.429,,0.366,0.0727,4.849,0.812,1488,0.068,1.298,,104.4,1.122,1.867,0.004491,0.005545,0.007136,0.810,,12,0.0334,1.122,36,-0.000566,1.887
,2,22,12:08,728,8.936,57,8.436,8.637,61.14,0.0222,1.230,1.995,0.383,0.132,0.359,0.0692,4.615,0.660,1680,0.040,1.264,,29.57,1.239,1.927,0.0147,0.0180,0.0233,0.819,,12,0.0302,1.239,36,-0.000505,1.945
,3,49,13:11,791,9.365,58,18.58,18.60,145.4,0.0489,1.263,2.035,0.379,0.151,0.397,0.0739,4.929,0.662,1808,0.019,1.239,,26.83,1.285,1.948,0.0180,0.0169,0.0247,1.068,,15,0.0297,1.285,36,-0.001213,1.992
,4,81,14:15,855,9.500,60,30.88,29.55,253.2,0.0813,1.255,2.029,0.381,0.145,0.285,0.0779,5.190,0.649,1437,0.022,1.243,,28.16,1.303,1.953,0.0132,0.0190,0.0231,0.694,,12,0.0304,1.303,36,-0.000479,1.970
,5,118,15:18,918,9.775,62,39.19,41.14,315.6,0.103,1.370,2.051,0.332,0.260,0.349,0.0666,4.442,0.667,1629,0.011,1.229,,23.83,1.357,2.001,0.0167,0.0212,0.0270,0.786,,13,0.0281,1.357,36,-0.000172,2.007
,6,163,16:21,981,10.14,63,55.13,53.85,472.9,0.145,1.373,2.074,0.338,0.251,0.234,0.0723,4.817,0.790,1360,0.000,1.215,,21.80,1.405,2.012,0.0221,0.0170,0.0279,1.300,,12,0.0268,1.405,36,-0.000368,2.025
,7,216,17:24,1044,10.50,63,68.66,67.07,611.6,0.181,1.397,2.047,0.318,0.291,0.124,0.0705,4.702,0.734,1117,0.013,1.231,,18.85,1.440,1.988,0.0182,0.0226,0.0290,0.807,,12,0.0256,1.440,36,-0.000227,1.996
,8,279,18:27,1107,10.48,64,75.51,80.62,753.7,0.199,1.491,2.044,0.271,0.396,0.368,0.0673,4.486,0.600,1232,0.015,1.233,,19.86,1.486,1.992,0.0160,0.0199,0.0255,0.805,,12,0.0230,1.486,36,-0.000676,2.017
,9,353,19:30,1170,10.83,67,99.71,94.00,919.8,0.262,1.465,2.042,0.282,0.369,0.242,0.0649,4.327,0.804,1360,0.016,1.235,,20.17,1.454,1.996,0.0196,0.0183,0.0269,1.073,,12,0.0261,1.454,36,-0.000399,2.010
,10,442,20:33,1233,11.02,68,104.1,104.5,1262,0.274,1.530,2.001,0.236,0.468,0.242,0.0711,4.740,0.681,1181,0.036,1.260,,11.85,1.521,1.969,0.0283,0.0251,0.0378,1.129,,12,0.0221,1.521,36,-0.000057,1.971
,11,547,21:36,1296,11.13,67,116.2,111.4,1554,0.306,1.543,1.960,0.212,0.514,0.306,0.0707,4.716,0.760,912.0,0.058,1.286,,14.95,1.530,1.915,0.0146,0.0212,0.0257,0.688,,12,0.0192,1.530,36,-0.000809,1.944
,12,671,22:39,1359,11.24,67,136.5,116.3,2060,0.359,1.539,1.932,0.203,0.531,0.230,0.0765,5.098,0.588,988.8,0.074,1.305,,9.785,1.529,1.900,0.0304,0.0227,0.0380,1.338,,12,0.0206,1.529,36,0.000092,1.897
,13,819,23:42,1422,11.52,71,129.7,119.1,2444,0.341,1.521,1.807,0.158,0.621,0.162,0.0743,4.955,0.648,860.8,0.148,1.395,,9.426,1.511,1.793,0.0152,0.0257,0.0298,0.592,,13,0.0153,1.511,36,0.000291,1.782
,14,995,24:45,1485,10.82,69,115.6,119.4,1409,0.304,1.507,1.705,0.116,0.712,0.020,0.0353,2.351,0.800,912.0,0.216,1.478,,6.937,1.468,1.684,0.0229,0.0209,0.0311,1.096,,15,0.009052,1.468,36,-0.000255,1.693
,15,1204,25:48,1548,10.38,71,165.7,117.5,3444,0.436,1.410,1.636,0.138,0.650,0.119,0.0713,4.750,0.498,1283,0.268,1.541,,6.039,1.411,1.615,0.0218,0.0258,0.0337,0.843,,12,0.0123,1.411,36,-0.000319,1.627
,16,1451,26:51,1611,11.22,82,106.2,113.6,,0.280,1.600,1.726,0.073,0.820,,,,,,0.202,1.461,,3.845,1.600,1.726,0.0147,0.0294,0.0329,0.501,,12,0.005196,1.600,36,0.000822,1.697
,17,1745,27:54,1674,10.58,78,94.25,108.3,,0.248,1.480,1.565,0.054,0.859,,,,,,0.326,1.611,,2.227,1.480,1.565,0.0267,0.0269,0.0380,0.992,,16,0.004215,1.480,36,0.000041,1.563
,18,2094,28:58,1738,9.992,84,145.5,102.3,,0.383,1.377,1.480,0.070,0.812,,,,,,0.402,1.704,,2.267,1.377,1.480,0.0292,0.0347,0.0454,0.842,,19,0.003676,1.377,36,0.000226,1.472
,19,2508,30:00,1800,8.977,89,83.69,96.01,,0.220,1.261,1.304,0.033,0.902,,,,,,0.590,1.933,,0.953,1.261,1.304,0.0331,0.0314,0.0457,1.054,,32,0.001264,1.261,36,-0.000079,1.307
,20,3000,31:03,1863,8.375,92,-3701999,90.13,,,,,,,,,,,,,,,,1.181,1.181,0.0264,0.0261,0.0371,1.012,,17,0.001049,1.181,36,-0.000843,1.211
,21,0,32:07,1927,7.960,39,0.000000,0.000000,0.000000,0.000000,1.109,1.776,0.375,,0.330,0.0744,4.958,0.845,1309,0.168,1.419,,69.73,1.129,1.715,0.006092,0.005799,0.008411,1.051,,12,0.0271,1.129,36,-0.000404,1.730
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:51,51,8.007,55,0.000000,0.000000,0.000000,0.000000,0.883,1.576,0.440,,0.279,0.0705,3.915,0.815,1437,0.064,1.351,,112.5,0.911,1.519,0.003447,0.004161,0.005404,0.828,,12,0.0263,0.911,36,-0.000253,1.528
,2,22,12:08,728,8.936,57,8.635,8.741,49.85,0.0177,0.988,1.626,0.392,0.094,0.327,0.0677,3.763,0.710,1680,0.031,1.309,,27.25,1.008,1.583,0.0141,0.0156,0.0211,0.904,,12,0.0241,1.008,36,0.000195,1.576
