File path:,
File note:,
File date:,20/06/17
File time:,06:08:42
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.408,0.417,0.415,0.430
Ek:,385.9,397.9,384.7,383.9
Pm:,110.6,106.1,100.8,104.3
Em:,772.9,539.4,,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.243,0.383,0.426,0.583
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,8.421,49,0.000000,0.000000,0.000000,0.000000,1.404,2.475,0.433,,0.299,0.0611,6.105,0.774,1603,0.070,1.257,,106.7,1.426,2.401,0.006920,0.005965,0.009136,1.160,,12,0.0379,1.426,36,-0.000112,2.405
,2,22,12:08,728,9.082,50,8.783,8.732,77.95,0.0290,1.514,2.520,0.399,0.108,0.284,0.0588,5.884,0.739,1731,0.051,1.234,,31.10,1.543,2.462,0.0149,0.0255,0.0296,0.586,,13,0.0337,1.543,36,0.000432,2.447
,3,49,13:11,791,9.679,52,18.88,18.79,180.0,0.0624,1.613,2.624,0.385,0.158,0.274,0.0610,6.100,0.670,1680,0.009,1.185,,31.78,1.633,2.553,0.0154,0.0245,0.0289,0.629,,13,0.0361,1.633,36,0.000151,2.547
,4,81,14:14,854,10.19,54,28.95,29.83,295.2,0.0957,1.698,2.643,0.357,0.222,0.310,0.0605,6.052,0.709,1731,0.002,1.177,,25.57,1.698,2.601,0.0223,0.0274,0.0353,0.812,,15,0.0344,1.698,36,0.000663,2.577
,5,118,15:18,918,10.28,55,41.67,41.51,381.9,0.138,1.713,2.649,0.353,0.232,0.277,0.0537,5.374,0.726,1731,0.000,1.174,,21.33,1.715,2.594,0.0245,0.0331,0.0412,0.741,,12,0.0324,1.715,36,-0.000321,2.605
,6,163,16:21,981,10.52,55,54.28,54.29,594.8,0.179,1.754,2.630,0.333,0.273,0.338,0.0606,6.060,0.668,1488,0.007,1.183,,24.16,1.739,2.579,0.0193,0.0289,0.0348,0.667,,13,0.0339,1.739,36,-0.000226,2.587
,7,216,17:23,1043,10.60,55,69.51,67.54,687.6,0.230,1.767,2.605,0.322,0.294,0.279,0.0529,5.286,0.626,1680,0.017,1.194,,20.40,1.758,2.552,0.0229,0.0314,0.0389,0.729,,14,0.0298,1.758,36,-0.000037,2.553
,8,279,18:27,1107,11.22,58,76.85,81.10,943.9,0.254,1.870,2.581,0.275,0.393,0.375,0.0562,5.618,0.601,1629,0.026,1.205,,17.77,1.855,2.553,0.0313,0.0237,0.0393,1.322,,13,0.0246,1.855,36,0.000529,2.534
,9,353,19:30,1170,10.94,58,99.09,94.45,1208,0.328,1.823,2.535,0.281,0.375,0.244,0.0568,5.684,0.711,1309,0.045,1.227,,14.28,1.818,2.511,0.0413,0.0254,0.0485,1.626,,12,0.0280,1.818,36,0.000916,2.478
,10,442,20:33,1233,11.35,58,108.1,103.1,1496,0.357,1.892,2.505,0.244,0.452,0.189,0.0562,5.622,0.758,1488,0.058,1.242,,12.67,1.896,2.473,0.0332,0.0311,0.0455,1.067,,14,0.0233,1.896,36,0.000337,2.461
