File path:,
File note:,
File date:,21/06/17
File time:,08:36:16
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.461,0.460,0.466,0.448
Ek:,486.4,517.3,498.8,564.3
Pm:,167.6,170.5,146.9,159.8
Em:,2590,1089,,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.101,0.134,0.433,0.170
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.392,56,0.000000,0.000000,0.000000,0.000000,1.565,2.955,0.470,,0.390,0.0690,6.904,0.739,1731,0.062,1.154,,122.6,1.589,2.851,0.006898,0.007635,0.0103,0.903,,12,0.0524,1.589,36,-0.000418,2.866
,2,22,12:08,728,10.49,59,9.351,9.906,85.58,0.0317,1.749,3.042,0.425,0.099,0.389,0.0646,6.460,0.662,2051,0.032,1.121,,32.17,1.754,2.970,0.0259,0.0275,0.0378,0.939,,15,0.0475,1.754,36,0.000206,2.962
,3,49,13:11,791,10.68,61,21.02,21.47,195.7,0.0713,1.781,3.118,0.429,0.102,0.359,0.0663,6.633,0.663,1949,0.007,1.093,,35.47,1.798,3.027,0.0203,0.0281,0.0347,0.723,,12,0.0503,1.798,36,0.000244,3.019
,4,81,14:14,854,10.87,61,34.06,34.36,330.1,0.116,1.812,3.126,0.420,0.121,0.346,0.0677,6.768,0.649,1757,0.004,1.091,,37.49,1.837,3.034,0.0168,0.0271,0.0319,0.620,,13,0.0500,1.837,36,0.000184,3.027
,5,118,15:17,917,11.10,62,48.42,48.25,462.6,0.164,1.851,3.139,0.410,0.144,0.274,0.0651,6.510,0.682,1731,0.000,1.086,,30.48,1.890,3.032,0.0217,0.0305,0.0374,0.713,,12,0.0487,1.890,36,-0.000976,3.067
,6,163,16:20,980,11.64,64,62.07,63.79,646.9,0.211,1.940,3.134,0.381,0.205,0.272,0.0659,6.590,0.631,1603,0.002,1.088,,29.88,1.972,3.055,0.0204,0.0300,0.0363,0.680,,12,0.0450,1.972,36,-0.000300,3.066
,7,216,17:24,1044,11.46,64,84.26,80.33,826.5,0.286,1.910,3.132,0.390,0.185,0.213,0.0635,6.354,0.680,1680,0.002,1.089,,30.35,1.961,3.031,0.0252,0.0247,0.0353,1.018,,13,0.0437,1.961,36,-0.000559,3.051
,8,279,18:27,1107,11.81,64,100.5,97.78,1128,0.341,1.969,3.077,0.360,0.241,0.188,0.0671,6.712,0.693,1437,0.020,1.108,,24.40,2.015,2.993,0.0225,0.0332,0.0401,0.678,,12,0.0434,2.015,36,-0.000330,3.005
,9,353,19:30,1170,12.11,64,118.6,115.6,1323,0.403,2.018,3.040,0.336,0.287,0.102,0.0622,6.223,0.742,1232,0.033,1.122,,20.66,2.040,2.960,0.0288,0.0340,0.0446,0.845,,14,0.0415,2.040,36,-0.000260,2.970
,10,442,20:33,1233,12.12,65,139.9,133.7,1847,0.475,2.021,2.957,0.317,0.318,0.197,0.0694,6.941,0.624,1181,0.062,1.153,,22.53,2.054,2.886,0.0190,0.0317,0.0369,0.600,,12,0.0390,2.054,36,0.000262,2.876
