File path:,
File note:,
File date:,21/06/17
File time:,10:26:38
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.482,0.469,0.478,0.470
Ek:,470.2,570.1,487.3,548.4
Pm:,143.3,185.9,182.9,183.3
Em:,,1111,1325,1132
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.113,0.102,0.138,0.079
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,9.747,58,0.000000,0.000000,0.000000,0.000000,1.624,3.189,0.491,,0.383,0.0700,6.999,0.754,1680,0.033,0.989,,135.4,1.669,3.059,0.006246,0.008139,0.0103,0.767,,12,0.0583,1.669,36,-0.000867,3.090
,2,22,12:08,728,10.90,63,9.823,10.36,85.98,0.0332,1.817,3.283,0.446,0.125,0.382,0.0649,6.490,0.666,2051,0.004,0.960,,35.55,1.833,3.147,0.0218,0.0299,0.0370,0.728,,12,0.0538,1.833,36,-0.001248,3.192
,3,49,13:12,792,10.80,64,22.10,22.43,198.5,0.0746,1.800,3.278,0.451,0.115,0.273,0.0673,6.726,0.684,1872,0.005,0.962,,32.47,1.857,3.167,0.0296,0.0274,0.0403,1.082,,12,0.0558,1.857,36,-0.000220,3.175
,4,81,14:14,854,11.06,63,35.69,35.87,322.0,0.120,1.843,3.295,0.441,0.138,0.320,0.0660,6.601,0.640,2000,0.000,0.957,,45.01,1.872,3.176,0.0147,0.0250,0.0290,0.590,,12,0.0549,1.872,36,-0.000730,3.202
,5,118,15:17,917,11.36,65,49.74,50.31,481.4,0.168,1.893,3.273,0.422,0.172,0.304,0.0677,6.775,0.644,1872,0.007,0.963,,28.70,1.938,3.177,0.0331,0.0277,0.0432,1.196,,12,0.0513,1.938,36,0.000362,3.164
,6,163,16:20,980,11.41,65,68.74,66.40,666.3,0.232,1.902,3.289,0.422,0.174,0.234,0.0679,6.788,0.672,1552,0.002,0.959,,29.50,1.946,3.176,0.0309,0.0280,0.0417,1.104,,13,0.0555,1.946,36,-0.000517,3.195
,7,216,17:24,1044,11.91,65,83.03,83.48,895.1,0.280,1.985,3.225,0.384,0.240,0.275,0.0688,6.882,0.662,1552,0.022,0.978,,30.10,2.018,3.129,0.0269,0.0252,0.0369,1.068,,12,0.0486,2.018,36,-0.000676,3.153
,8,279,18:27,1107,12.09,64,100.3,101.4,1162,0.339,2.015,3.145,0.359,0.280,0.253,0.0692,6.916,0.628,1488,0.048,1.002,,23.82,2.057,3.035,0.0281,0.0300,0.0411,0.936,,13,0.0421,2.057,36,-0.001988,3.106
,9,353,19:30,1170,11.97,64,125.4,119.7,1541,0.423,1.995,3.094,0.355,0.283,0.181,0.0725,7.250,0.626,1232,0.065,1.019,,22.36,2.063,3.018,0.0326,0.0275,0.0427,1.186,,12,0.0431,2.063,36,-0.000239,3.026
,10,442,20:33,1233,12.34,65,143.9,138.1,1697,0.486,2.056,3.049,0.326,0.338,0.162,0.0637,6.374,0.677,1309,0.081,1.034,,20.22,2.088,2.971,0.0272,0.0342,0.0437,0.795,,12,0.0386,2.088,36,-0.000384,2.985
