File path:,
File note:,
File date:,22/06/17
File time:,12:54:52
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.491,0.493,0.493,0.485
Ek:,493.4,520.2,526.3,547.8
Pm:,158.6,194.6,205.9,190.7
Em:,776.7,1248,5257,1156
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.198,0.110,0.113,0.085
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,12.57,44,0.000000,0.000000,0.000000,0.000000,2.095,4.137,0.494,,0.431,0.0671,6.712,0.746,1552,0.084,0.954,,151.0,2.110,3.981,0.007148,0.0101,0.0124,0.706,,12,0.0754,2.110,36,-0.001017,4.017
,2,22,12:08,728,13.47,46,10.42,10.57,84.01,0.0451,2.245,4.267,0.474,0.088,0.383,0.0634,6.341,0.680,1680,0.051,0.925,,46.95,2.270,4.122,0.0177,0.0353,0.0395,0.502,,14,0.0716,2.270,36,-0.000485,4.139
,3,49,13:11,791,13.92,48,22.95,22.91,190.9,0.0993,2.320,4.363,0.468,0.108,0.358,0.0647,6.471,0.690,1731,0.027,0.905,,35.80,2.349,4.221,0.0333,0.0404,0.0523,0.824,,12,0.0753,2.349,36,0.000007,4.221
,4,81,14:14,854,14.50,49,36.47,36.69,315.4,0.158,2.417,4.396,0.450,0.145,0.389,0.0647,6.466,0.696,1680,0.020,0.898,,39.74,2.459,4.221,0.0332,0.0294,0.0443,1.132,,12,0.0700,2.459,36,-0.001809,4.286
,5,118,15:18,918,15.05,50,51.38,51.55,457.9,0.222,2.508,4.441,0.435,0.178,0.366,0.0644,6.444,0.658,1603,0.009,0.889,,43.01,2.527,4.302,0.0233,0.0341,0.0413,0.684,,13,0.0710,2.527,36,-0.000812,4.331
,6,163,16:20,980,15.39,51,69.75,68.18,624.6,0.302,2.565,4.483,0.428,0.195,0.249,0.0636,6.363,0.658,1552,0.000,0.881,,37.50,2.621,4.339,0.0360,0.0284,0.0458,1.268,,12,0.0710,2.621,36,-0.000147,4.344
,7,216,17:23,1043,16.31,51,84.17,85.91,850.4,0.364,2.719,4.454,0.390,0.265,0.375,0.0654,6.538,0.674,1488,0.006,0.886,,41.38,2.699,4.322,0.0214,0.0329,0.0392,0.649,,12,0.0689,2.699,36,-0.001337,4.370
,8,279,18:26,1106,16.30,51,108.4,104.7,1122,0.469,2.717,4.444,0.388,0.266,0.237,0.0668,6.677,0.672,1283,0.009,0.888,,25.84,2.782,4.329,0.0457,0.0387,0.0599,1.181,,12,0.0650,2.782,36,-0.000202,4.337
,9,353,19:30,1170,16.93,52,125.0,123.8,1285,0.541,2.822,4.370,0.354,0.326,0.303,0.0605,6.047,0.623,1501,0.026,0.903,,32.76,2.808,4.274,0.0257,0.0367,0.0448,0.701,,12,0.0592,2.808,36,-0.000178,4.281
,10,442,20:33,1233,17.18,50,145.9,143.4,1792,0.631,2.864,4.276,0.330,0.365,0.202,0.0673,6.732,0.680,1040,0.048,0.923,,26.12,2.898,4.150,0.0332,0.0346,0.0479,0.961,,13,0.0587,2.898,36,-0.000824,4.180
