File path:,
File note:,
File date:,22/06/17
File time:,15:58:25
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.407,0.413,0.439,0.416
Ek:,345.9,339.7,290.8,312.9
Pm:,88.99,122.5,80.79,82.32
Em:,,1134,,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,1.222,0.139,0.143,0.132
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,3.878,38,0.000000,0.000000,0.000000,0.000000,0.646,1.071,0.396,,0.223,0.0464,4.642,0.811,1603,0.038,1.837,,73.14,0.652,1.047,0.003986,0.003635,0.005395,1.096,,14,0.0124,0.652,36,0.000325,1.035
,2,22,12:07,727,4.011,40,8.564,8.676,59.43,0.0142,0.669,1.095,0.389,,0.231,0.0449,4.486,0.757,1757,0.016,1.797,,17.92,0.672,1.074,0.0132,0.0181,0.0224,0.730,,17,0.0125,0.672,36,0.000431,1.058
,3,49,13:10,790,4.177,42,18.32,18.60,119.5,0.0304,0.696,1.112,0.374,,0.188,0.0405,4.050,0.644,1680,0.000,1.770,,17.42,0.681,1.071,0.0154,0.0162,0.0224,0.951,,17,0.0125,0.681,36,-0.000250,1.080
,4,81,14:12,852,4.177,42,30.17,29.39,223.5,0.0501,0.696,1.109,0.372,,0.216,0.0458,4.582,0.583,1731,0.002,1.774,,17.60,0.709,1.080,0.0146,0.0152,0.0211,0.959,,12,0.0120,0.709,36,-0.000091,1.084
,5,118,15:15,915,4.361,42,39.65,40.69,351.0,0.0659,0.727,1.095,0.336,0.060,0.317,0.0494,4.940,0.527,1539,0.016,1.797,,16.52,0.723,1.084,0.0166,0.0141,0.0218,1.179,,15,0.0119,0.723,36,0.000389,1.070
,6,163,16:18,978,4.403,43,54.15,52.90,442.0,0.0900,0.734,1.099,0.332,0.073,0.284,0.0450,4.503,0.655,1757,0.012,1.790,,15.20,0.735,1.082,0.0143,0.0178,0.0228,0.803,,18,0.0101,0.735,36,0.000247,1.073
,7,216,17:22,1042,4.389,43,67.07,65.39,606.0,0.111,0.732,1.061,0.311,0.114,0.270,0.0466,4.659,0.575,1603,0.048,1.854,,15.13,0.733,1.039,0.0114,0.0167,0.0202,0.681,,12,0.009765,0.733,36,-0.000197,1.046
,8,279,18:25,1105,4.365,44,81.70,77.94,751.0,0.136,0.727,1.029,0.293,0.147,0.200,0.0447,4.470,0.562,1808,0.081,1.913,,8.660,0.730,1.012,0.0215,0.0244,0.0325,0.882,,15,0.009136,0.730,36,0.000127,1.007
,9,353,19:28,1168,4.438,43,88.99,88.80,1085,0.148,0.740,0.989,0.252,0.246,0.320,0.0510,5.104,0.682,1283,0.124,1.989,,9.835,0.731,0.985,0.0170,0.0193,0.0257,0.879,,12,0.009734,0.731,36,0.000471,0.968
,10,442,20:31,1231,4.319,42,97.69,86.42,1297,0.162,0.720,0.924,0.221,0.308,0.189,0.0487,4.873,0.796,1360,0.203,2.129,,6.522,0.721,0.904,0.0173,0.0220,0.0280,0.784,,17,0.006630,0.721,36,-0.000505,0.922
,11,547,21:34,1294,4.144,41,104.9,83.59,,0.174,0.691,0.854,0.192,0.367,,,,,,0.301,2.303,,5.171,0.691,0.854,0.0216,0.0232,0.0317,0.931,,15,0.004378,0.691,36,0.000494,0.837
,12,671,22:37,1357,3.973,42,98.11,80.43,,0.163,0.662,0.776,0.146,0.483,,,,,,0.433,2.537,,4.307,0.662,0.776,0.0184,0.0188,0.0263,0.980,,13,0.005633,0.662,36,-0.000009,0.776
,13,819,23:40,1420,3.753,43,82.97,77.10,,0.138,0.626,0.696,0.101,0.612,,,,,,0.597,2.827,,2.524,0.626,0.696,0.0160,0.0229,0.0279,0.696,,30,0.002426,0.626,36,-0.000237,0.705
,14,995,24:43,1483,3.461,43,149.0,73.86,,0.248,0.577,0.678,0.150,0.416,,,,,,0.639,2.900,,3.437,0.577,0.678,0.0179,0.0235,0.0296,0.763,,12,0.004388,0.577,36,0.000129,0.674
,15,1204,25:46,1546,3.412,43,60.58,70.97,,0.101,0.569,0.599,0.050,0.784,,,,,,0.856,3.285,,0.941,0.569,0.599,0.0224,0.0229,0.0320,0.977,,28,0.001565,0.569,36,-0.000554,0.619
,16,1451,26:49,1609,3.205,50,188.8,68.65,,0.314,0.534,0.614,0.130,0.453,,,,,,0.811,3.204,,2.642,0.534,0.614,0.0180,0.0243,0.0303,0.738,,12,0.002618,0.534,36,0.000574,0.593
,17,1745,27:52,1672,,55,-2153329,66.95,,,,,,,,,,,,,,,,0.566,0.565,0.0282,0.0272,0.0391,1.037,,22,0.001278,0.566,36,-0.000544,0.585
,18,2094,28:55,1735,3.391,59,91.24,65.87,,0.152,0.565,0.591,0.044,0.811,,,,,,0.882,3.330,,0.749,0.565,0.591,0.0238,0.0248,0.0344,0.962,,18,0.001416,0.565,36,-0.000822,0.620
,19,2508,29:59,1799,3.248,69,10.72,65.28,,0.0178,0.541,0.544,0.004,0.980,,,,,,1.045,3.619,,0.0588,0.541,0.544,0.0252,0.0304,0.0395,0.829,,17,0.000987,0.541,36,-0.000849,0.574
,20,3000,31:02,1862,3.034,74,93.57,65.01,,0.155,0.506,0.522,0.031,0.851,,,,,,1.130,3.769,,0.404,0.506,0.522,0.0270,0.0300,0.0403,0.900,,13,0.002312,0.506,36,-0.002042,0.595
,21,0,32:05,1925,3.202,23,0.000000,0.000000,0.000000,0.000000,0.534,0.769,0.306,,0.261,0.0456,4.561,0.866,1437,0.445,2.557,,29.19,0.538,0.756,0.005533,0.004998,0.007456,1.107,,17,0.006468,0.538,36,0.000040,0.754
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,3.878,47,0.000000,0.000000,0.000000,0.000000,0.544,0.904,0.399,,0.286,0.0584,3.896,0.802,1488,0.038,1.644,,87.17,0.553,0.883,0.002619,0.002737,0.003788,0.957,,12,0.0122,0.553,36,0.000009,0.883
,2,22,12:07,727,4.011,49,8.216,8.795,49.91,0.0114,0.574,0.916,0.373,0.020,0.380,0.0565,3.767,0.639,1731,0.024,1.623,,20.20,0.570,0.904,0.0129,0.0104,0.0166,1.233,,13,0.0120,0.570,36,0.000337,0.892
,3,49,13:10,790,4.177,49,18.84,18.84,108.6,0.0262,0.571,0.927,0.385,,0.265,0.0552,3.680,0.683,1629,0.012,1.604,,21.35,0.579,0.903,0.007685,0.0131,0.0152,0.588,,12,0.0121,0.579,36,-0.000091,0.906
,4,81,14:12,852,4.177,51,29.56,29.75,175.7,0.0411,0.596,0.939,0.365,0.057,0.234,0.0540,3.601,0.706,1552,0.000,1.584,,16.22,0.605,0.910,0.009714,0.0161,0.0188,0.602,,12,0.0111,0.605,36,-0.000091,0.913
,5,118,15:15,915,4.361,52,39.87,41.16,267.3,0.0554,0.613,0.925,0.338,0.119,0.396,0.0564,3.762,0.544,1872,0.014,1.607,,18.54,0.604,0.915,0.0103,0.0132,0.0168,0.777,,12,0.0118,0.604,36,0.000257,0.906
,6,163,16:18,978,4.403,51,52.34,53.45,369.2,0.0728,0.623,0.918,0.321,0.159,0.367,0.0564,3.761,0.599,1757,0.022,1.620,,14.05,0.622,0.898,0.0126,0.0151,0.0197,0.833,,12,0.009968,0.622,36,-0.000130,0.903
,7,216,17:22,1042,4.389,52,72.68,65.99,430.8,0.101,0.599,0.902,0.336,0.109,0.092,0.0497,3.312,0.784,1872,0.040,1.648,,12.92,0.605,0.895,0.0143,0.0174,0.0225,0.824,,16,0.0101,0.605,36,0.000571,0.875
