File path:,
File note:,
File date:,22/06/17
File time:,20:27:27
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.435,0.468,0.461,0.437
Ek:,542.5,375.8,414.3,476.6
Pm:,149.1,138.7,123.1,131.6
Em:,,2415,723.3,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.239,0.208,0.252,0.212
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,3.090,30,0.000000,0.000000,0.000000,0.000000,0.515,0.890,0.422,,0.303,0.0461,4.614,0.809,1437,0.143,1.815,,72.20,0.522,0.871,0.001878,0.004458,0.004837,0.421,,16,0.0101,0.522,36,0.000240,0.863
,2,22,12:07,727,3.384,43,9.330,9.371,62.77,0.0116,0.564,0.979,0.424,,0.351,0.0474,4.738,0.639,1501,0.039,1.650,,16.23,0.568,0.953,0.0142,0.0190,0.0237,0.744,,22,0.0115,0.568,36,-0.000153,0.959
,3,49,13:10,790,3.452,46,20.52,20.36,147.2,0.0256,0.575,0.990,0.419,,0.266,0.0499,4.990,0.669,1437,0.028,1.632,,23.87,0.584,0.966,0.007961,0.0139,0.0160,0.573,,13,0.0121,0.584,36,0.000217,0.958
,4,81,14:13,853,3.454,47,35.18,32.70,234.2,0.0438,0.576,1.018,0.434,,0.197,0.0480,4.802,0.738,1629,0.000,1.588,,16.98,0.579,0.999,0.0178,0.0172,0.0247,1.033,,16,0.0141,0.579,36,0.000306,0.988
,5,118,15:16,916,3.657,49,46.63,46.09,352.8,0.0581,0.610,1.008,0.395,,0.329,0.0496,4.965,0.676,1808,0.010,1.604,,19.11,0.598,0.993,0.0144,0.0148,0.0206,0.974,,13,0.0132,0.598,36,0.000320,0.981
,6,163,16:19,979,3.671,49,64.28,61.20,475.4,0.0801,0.612,1.010,0.394,,0.061,0.0484,4.843,0.750,1360,0.007,1.600,,15.57,0.631,1.004,0.0161,0.0178,0.0239,0.905,,14,0.0131,0.631,36,0.000927,0.970
,7,216,17:22,1042,3.870,50,74.65,77.45,483.4,0.0930,0.645,0.986,0.346,0.088,0.177,0.0372,3.717,0.720,1680,0.032,1.639,,10.99,0.641,0.978,0.0214,0.0220,0.0307,0.970,,15,0.009254,0.641,36,0.000896,0.946
,8,279,18:25,1105,3.958,49,81.16,94.81,958.1,0.101,0.660,0.930,0.291,0.204,0.413,0.0570,5.703,0.499,1283,0.094,1.737,,10.44,0.659,0.911,0.0169,0.0172,0.0241,0.982,,15,0.009042,0.659,36,-0.000105,0.915
,9,353,19:28,1168,3.891,52,104.9,112.8,1011,0.131,0.649,0.923,0.297,0.182,0.441,0.0476,4.758,0.712,1488,0.103,1.751,,9.465,0.650,0.904,0.0160,0.0215,0.0268,0.744,,14,0.007291,0.650,36,-0.000322,0.915
,10,442,20:31,1231,3.842,53,109.8,131.4,1523,0.137,0.640,0.852,0.248,0.281,0.346,0.0572,5.720,1.000,1232,0.195,1.897,,8.646,0.642,0.840,0.0133,0.0187,0.0230,0.710,,12,0.007411,0.642,36,0.000351,0.828
,11,547,21:34,1294,3.602,54,128.9,149.0,,0.161,0.600,0.785,0.236,0.280,,,,,,0.296,2.058,,5.667,0.600,0.785,0.0217,0.0244,0.0327,0.890,,12,0.007743,0.600,36,-0.000564,0.806
,12,671,22:37,1357,3.380,56,141.0,149.3,,0.176,0.563,0.713,0.210,0.314,,,,,,0.427,2.266,,4.954,0.563,0.713,0.0224,0.0203,0.0302,1.108,,18,0.004711,0.563,36,0.000179,0.707
