File path:,
File note:,
File date:,22/06/17
File time:,23:20:30
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.432,0.873,0.422,0.375
Ek:,423.7,2508,473.5,3872
Pm:,132.9,1261,126.2,836.0
Em:,919.3,,,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.144,3.573,0.220,0.864
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:49,49,3.162,35,0.000000,0.000000,0.000000,0.000000,0.527,0.924,0.430,,0.270,0.0487,4.870,0.846,1360,0.111,1.589,,71.51,0.533,0.904,0.002696,0.004431,0.005187,0.608,,16,0.0118,0.533,36,0.000254,0.895
,2,22,12:07,727,3.509,51,9.253,9.270,63.23,0.0116,0.585,1.009,0.421,,0.266,0.0477,4.773,0.834,1360,0.017,1.454,,17.68,0.592,0.984,0.0169,0.0144,0.0222,1.170,,20,0.0121,0.592,36,0.000047,0.983
,3,49,13:09,789,3.658,53,19.27,20.01,148.1,0.0241,0.610,1.005,0.393,0.032,0.410,0.0502,5.019,0.699,1501,0.022,1.461,,16.30,0.609,0.994,0.0171,0.0163,0.0236,1.051,,17,0.0114,0.609,36,0.000391,0.980
,4,81,14:12,852,3.697,54,31.89,31.88,239.5,0.0399,0.616,1.016,0.394,0.038,0.414,0.0491,4.911,0.710,1680,0.010,1.444,,17.74,0.615,0.999,0.0159,0.0147,0.0216,1.080,,20,0.0116,0.615,36,0.000183,0.992
,5,118,15:16,916,3.663,56,47.81,44.53,334.9,0.0598,0.611,1.026,0.405,0.015,0.064,0.0471,4.713,0.734,1168,0.000,1.430,,16.53,0.618,1.013,0.0173,0.0165,0.0239,1.049,,12,0.0137,0.618,36,0.000719,0.988
,6,163,16:19,979,3.909,56,59.16,58.50,462.5,0.0740,0.652,1.023,0.363,0.116,0.311,0.0471,4.712,0.846,1360,0.004,1.435,,17.50,0.634,1.006,0.0123,0.0173,0.0212,0.713,,12,0.0142,0.634,36,0.000101,1.002
,7,216,17:22,1042,4.075,60,69.66,73.17,694.9,0.0871,0.679,1.003,0.322,0.205,0.461,0.0534,5.342,0.568,1411,0.024,1.464,,11.35,0.674,0.991,0.0183,0.0211,0.0280,0.869,,15,0.0103,0.674,36,0.000232,0.983
,8,279,18:25,1105,3.990,59,87.21,88.37,725.9,0.109,0.665,0.967,0.313,0.213,0.321,0.0432,4.321,0.699,1411,0.061,1.517,,13.27,0.654,0.959,0.0114,0.0199,0.0229,0.575,,14,0.009601,0.654,36,0.000381,0.945
,9,353,19:28,1168,4.047,58,98.88,103.6,1074,0.124,0.674,0.937,0.280,0.281,0.230,0.0505,5.052,1.000,732.8,0.095,1.567,,9.669,0.673,0.939,0.0140,0.0237,0.0275,0.589,,12,0.009226,0.673,36,0.000798,0.910
,10,442,20:31,1231,3.816,57,123.9,117.4,1374,0.155,0.636,0.884,0.280,0.254,0.222,0.0516,5.164,0.536,1360,0.162,1.661,,8.428,0.634,0.875,0.0158,0.0239,0.0286,0.659,,12,0.008969,0.634,36,0.000367,0.862
,11,547,21:34,1294,3.844,59,119.3,124.5,1517,0.149,0.641,0.819,0.218,0.391,0.034,0.0461,4.607,0.628,1091,0.253,1.792,,7.946,0.628,0.812,0.0149,0.0176,0.0231,0.845,,12,0.007905,0.628,36,0.000432,0.796
,12,671,22:37,1357,3.632,61,131.9,129.7,1785,0.165,0.605,0.753,0.197,0.421,0.184,0.0442,4.418,1.000,835.2,0.362,1.948,,6.741,0.603,0.751,0.0120,0.0184,0.0220,0.653,,12,0.005770,0.603,36,0.000364,0.738
,13,819,23:40,1420,3.161,63,191.2,132.5,,0.239,0.527,0.687,0.233,0.268,,,,,,0.494,2.136,,5.781,0.527,0.687,0.0188,0.0204,0.0278,0.923,,12,0.006299,0.527,36,0.000113,0.683
,14,995,24:43,1483,3.173,63,137.7,132.7,,0.172,0.529,0.614,0.138,0.531,,,,,,0.672,2.392,,3.305,0.529,0.614,0.0127,0.0224,0.0257,0.567,,19,0.003532,0.529,36,-0.000260,0.623
,15,1204,25:46,1546,2.888,66,105.7,130.4,,0.132,0.481,0.528,0.088,0.668,,,,,,0.945,2.782,,1.515,0.481,0.528,0.0196,0.0234,0.0306,0.839,,22,0.002593,0.481,36,0.000357,0.515
,16,1451,26:49,1609,2.732,73,209.7,126.0,,0.262,0.455,0.532,0.145,0.457,,,,,,0.928,2.758,,1.691,0.455,0.532,0.0348,0.0293,0.0455,1.188,,20,0.001674,0.455,36,0.000651,0.509
,17,1745,27:52,1672,2.627,86,112.9,120.0,,0.141,0.438,0.468,0.065,0.732,,,,,,1.192,3.135,,0.930,0.438,0.468,0.0215,0.0245,0.0326,0.877,,13,0.003082,0.438,36,-0.000427,0.484
,18,2094,28:56,1736,,87,-2583995,113.2,,,,,,,,,,,,,,,,0.361,0.355,0.0283,0.0238,0.0370,1.191,,17,0.000444,0.361,36,-0.000293,0.366
,19,2508,29:59,1799,,97,-3094871,106.4,,,,,,,,,,,,,,,,0.242,0.234,0.0302,0.0267,0.0403,1.130,,13,0.001935,0.242,36,0.000133,0.229
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:49,49,3.162,43,0.000000,0.000000,0.000000,0.000000,0.453,0.801,0.435,,0.286,0.0590,3.932,0.883,1309,0.104,1.354,,77.62,0.463,0.776,0.001761,0.003627,0.004032,0.486,,12,0.0117,0.463,36,-0.000029,0.777
,2,22,12:07,727,3.509,63,9.331,19.12,51.39,0.009912,0.502,0.872,0.424,0.048,0.368,0.0582,3.879,0.769,1411,0.014,1.244,,24.20,0.503,0.845,0.007937,0.0117,0.0141,0.681,,13,0.0131,0.503,36,-0.000233,0.853
,3,49,13:09,789,3.658,65,20.27,42.36,113.3,0.0215,0.512,0.874,0.414,0.073,0.291,0.0576,3.838,0.843,1309,0.011,1.241,,19.46,0.520,0.850,0.0127,0.0112,0.0169,1.129,,12,0.0120,0.520,36,-0.000071,0.853
,4,81,14:12,852,3.697,66,34.39,69.57,194.6,0.0365,0.507,0.882,0.425,0.053,0.258,0.0598,3.990,0.811,1309,0.002,1.230,,26.66,0.513,0.853,0.008955,0.009092,0.0128,0.985,,12,0.0141,0.513,36,-0.000122,0.857
,5,118,15:16,916,3.663,69,49.35,100.6,246.1,0.0524,0.514,0.884,0.418,0.069,0.066,0.0519,3.463,0.853,1411,0.000,1.227,,17.28,0.525,0.871,0.0159,0.0121,0.0200,1.314,,12,0.0130,0.525,36,0.000570,0.850
,6,163,16:19,979,3.909,69,57.88,137.8,339.7,0.0615,0.560,0.869,0.355,0.202,0.252,0.0519,3.461,0.785,1309,0.018,1.249,,20.37,0.557,0.846,0.009865,0.0102,0.0142,0.967,,15,0.0105,0.557,36,-0.000099,0.850
,7,216,17:22,1042,4.075,68,80.52,180.6,507.3,0.0855,0.550,0.877,0.373,0.167,0.257,0.0585,3.900,0.888,1232,0.007,1.236,,17.80,0.551,0.867,0.0118,0.0133,0.0177,0.885,,16,0.0118,0.551,36,0.000432,0.852
,8,279,18:25,1105,3.990,70,97.15,230.5,665.9,0.103,0.554,0.850,0.348,0.207,0.181,0.0595,3.964,0.994,988.8,0.040,1.276,,15.20,0.553,0.832,0.0130,0.0129,0.0183,1.015,,12,0.0127,0.553,36,0.000031,0.831
,9,353,19:28,1168,4.047,71,110.3,287.4,851.3,0.117,0.549,0.799,0.312,0.263,0.201,0.0601,4.005,0.624,1283,0.106,1.357,,12.64,0.557,0.791,0.0119,0.0143,0.0185,0.832,,14,0.008845,0.557,36,0.000423,0.776
,10,442,20:31,1231,3.816,74,112.0,353.7,812.9,0.119,0.564,0.756,0.253,0.383,0.176,0.0458,3.054,0.858,1283,0.169,1.435,,10.43,0.556,0.744,0.0104,0.0147,0.0180,0.705,,12,0.007448,0.556,36,-0.000038,0.745
,11,547,21:34,1294,3.844,70,129.8,429.0,903.5,0.138,0.553,0.725,0.237,0.408,0.267,0.0411,2.743,1.000,1232,0.218,1.495,,8.532,0.551,0.717,0.0134,0.0141,0.0195,0.953,,17,0.004902,0.551,36,-0.000007,0.717
,12,671,22:37,1357,3.632,71,141.8,513.9,1606,0.151,0.506,0.642,0.211,0.432,0.182,0.0596,3.975,0.851,988.8,0.376,1.689,,6.585,0.497,0.634,0.0165,0.0126,0.0208,1.310,,13,0.006984,0.497,36,0.000012,0.634
,13,819,23:40,1420,3.161,73,155.6,609.9,,0.165,0.475,0.586,0.190,0.459,,,,,,0.507,1.849,,5.638,0.475,0.586,0.0157,0.0120,0.0198,1.305,,21,0.003347,0.475,36,0.000090,0.583
,14,995,24:43,1483,3.173,71,136.7,716.9,,0.145,0.442,0.512,0.137,0.572,,,,,,0.726,2.118,,3.757,0.442,0.512,0.0144,0.0120,0.0187,1.204,,12,0.003460,0.442,36,-0.000310,0.523
,15,1204,25:46,1546,2.888,80,157.6,834.6,,0.167,0.422,0.486,0.131,0.577,,,,,,0.819,2.232,,2.838,0.422,0.486,0.0130,0.0182,0.0224,0.714,,31,0.001033,0.422,36,0.001003,0.450
,16,1451,26:49,1609,2.732,80,77.41,961.7,,0.0822,0.427,0.451,0.053,0.818,,,,,,0.960,2.406,,0.847,0.427,0.451,0.0200,0.0201,0.0284,0.996,,14,0.001226,0.427,36,0.000103,0.447
,17,1745,27:52,1672,2.627,90,238.8,1097,,0.254,0.348,0.404,0.137,0.495,,,,,,1.190,2.687,,2.517,0.348,0.404,0.0124,0.0181,0.0219,0.689,,17,0.001890,0.348,36,-0.000741,0.430
,18,2094,28:56,1736,,92,276.3,1239,,0.293,0.271,0.312,0.132,0.410,,,,,,1.829,3.471,,1.506,0.271,0.312,0.0210,0.0175,0.0274,1.200,,34,0.001080,0.271,36,-0.000333,0.324
,19,2508,29:59,1799,,96,840.7,1384,,0.893,0.149,0.225,0.335,,,,,,,2.933,4.826,,2.772,0.149,0.225,0.0173,0.0209,0.0272,0.830,,14,0.002862,0.149,36,0.001174,0.182
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:49,49,3.162,43,0.000000,0.000000,0.000000,0.000000,0.372,0.646,0.424,,0.344,0.0587,3.259,0.846,1360,0.095,1.554,,81.73,0.379,0.630,0.001667,0.002583,0.003074,0.645,,14,0.008965,0.379,36,-0.000024,0.631
,2,22,12:07,727,3.509,62,9.075,9.063,40.70,0.008132,0.413,0.704,0.412,,0.299,0.0553,3.072,0.858,1232,0.006,1.428,,25.80,0.419,0.689,0.005838,0.008688,0.0105,0.672,,16,0.009189,0.419,36,0.000006,0.689
,3,49,13:09,789,3.658,63,19.32,19.63,83.55,0.0173,0.427,0.705,0.394,0.044,0.336,0.0510,2.832,0.824,1360,0.004,1.426,,21.99,0.425,0.684,0.006316,0.009981,0.0118,0.633,,13,0.008947,0.425,36,-0.000187,0.691
