File path:,
File note:,
File date:,23/06/17
File time:,08:38:04
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.428,0.448,0.429,0.442
Ek:,365.3,319.1,334.6,313.8
Pm:,98.92,106.9,90.66,100.00
Em:,,925.5,,671.7
AlphaW:,2.000,2.000,2.000,2.000
SErP:,10.17,0.181,0.123,0.177
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,4.596,45,0.000000,0.000000,0.000000,0.000000,0.766,1.371,0.441,,0.319,0.0564,5.645,0.771,1603,0.061,1.182,,80.32,0.779,1.335,0.005166,0.004603,0.006919,1.122,,14,0.0194,0.779,36,-0.000094,1.338
,2,22,12:08,728,5.001,49,8.999,9.146,73.44,0.0159,0.834,1.411,0.409,0.121,0.392,0.0554,5.543,0.712,1808,0.031,1.149,,22.75,0.830,1.372,0.0148,0.0187,0.0238,0.789,,12,0.0192,0.830,36,-0.000310,1.384
,3,49,13:11,791,5.082,51,20.41,19.64,155.5,0.0361,0.847,1.452,0.416,0.119,0.274,0.0527,5.269,0.605,1923,0.002,1.116,,19.67,0.858,1.409,0.0175,0.0218,0.0280,0.802,,13,0.0195,0.858,36,-0.000176,1.416
,4,81,14:14,854,5.449,52,30.44,31.12,261.2,0.0539,0.908,1.455,0.376,0.206,0.377,0.0535,5.354,0.663,1757,0.000,1.114,,19.72,0.895,1.414,0.0164,0.0205,0.0263,0.801,,15,0.0189,0.895,36,-0.000723,1.440
,5,118,15:17,917,5.500,53,42.37,43.20,371.8,0.0750,0.917,1.430,0.359,0.234,0.370,0.0523,5.232,0.557,1949,0.017,1.133,,18.42,0.911,1.417,0.0161,0.0222,0.0275,0.727,,16,0.0166,0.911,36,0.000701,1.392
,6,163,16:20,980,5.632,53,54.03,56.33,495.5,0.0956,0.939,1.404,0.331,0.286,0.375,0.0505,5.048,0.670,1757,0.036,1.154,,15.92,0.933,1.371,0.0197,0.0192,0.0275,1.029,,20,0.0144,0.933,36,-0.000279,1.381
,7,216,17:24,1044,5.382,52,72.49,69.85,613.6,0.128,0.897,1.350,0.336,0.262,0.177,0.0472,4.717,0.671,1923,0.077,1.200,,15.18,0.912,1.347,0.0196,0.0209,0.0286,0.938,,12,0.0127,0.912,36,0.001183,1.304
,8,279,18:27,1107,5.549,51,80.43,83.58,823.1,0.142,0.925,1.300,0.288,0.352,0.214,0.0490,4.899,0.758,1283,0.119,1.247,,12.43,0.920,1.269,0.0190,0.0207,0.0281,0.921,,14,0.0129,0.920,36,-0.000568,1.290
,9,353,19:30,1170,5.322,51,99.39,96.95,1126,0.176,0.887,1.235,0.282,0.349,0.102,0.0530,5.299,0.782,1283,0.178,1.312,,12.31,0.894,1.203,0.0175,0.0180,0.0251,0.971,,13,0.0124,0.894,36,-0.000132,1.208
,10,442,20:33,1233,5.303,52,105.3,96.72,1255,0.186,0.884,1.160,0.238,0.429,0.076,0.0471,4.714,0.484,1488,0.254,1.397,,7.826,0.880,1.150,0.0265,0.0220,0.0344,1.202,,14,0.0101,0.880,36,0.000388,1.136
