File path:,
File note:,
File date:,23/06/17
File time:,12:13:20
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.452,0.463,0.470,0.472
Ek:,322.1,296.6,288.5,295.6
Pm:,94.94,125.5,95.23,88.11
Em:,495.4,4897,579.6,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.385,0.113,0.358,0.099
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,5.354,39,0.000000,0.000000,0.000000,0.000000,0.892,1.648,0.458,,0.334,0.0572,5.722,0.750,1680,0.103,1.210,,79.61,0.901,1.604,0.006396,0.006092,0.008833,1.050,,13,0.0251,0.901,36,0.000082,1.601
,2,22,12:08,728,5.900,44,9.701,9.622,72.67,0.0193,0.983,1.759,0.441,0.059,0.306,0.0549,5.485,0.654,1949,0.033,1.134,,26.64,1.000,1.707,0.0165,0.0208,0.0266,0.796,,13,0.0242,1.000,36,-0.000124,1.712
,3,49,13:11,791,6.374,45,20.25,20.57,156.2,0.0402,1.062,1.810,0.413,0.132,0.359,0.0529,5.293,0.595,2141,0.004,1.102,,30.56,1.046,1.768,0.0122,0.0202,0.0236,0.602,,12,0.0263,1.046,36,0.000059,1.766
,4,81,14:15,855,6.535,45,32.32,32.40,258.7,0.0641,1.089,1.812,0.399,0.162,0.252,0.0530,5.304,0.641,1923,0.003,1.100,,21.45,1.098,1.764,0.0215,0.0224,0.0310,0.958,,13,0.0240,1.098,36,-0.000281,1.774
,5,118,15:17,917,6.731,47,45.15,44.70,363.2,0.0896,1.122,1.817,0.383,0.197,0.326,0.0511,5.111,0.582,2000,0.000,1.098,,23.15,1.118,1.788,0.0188,0.0220,0.0289,0.857,,16,0.0225,1.118,36,0.000516,1.769
,6,163,16:20,980,6.931,48,58.36,57.88,534.9,0.116,1.155,1.800,0.358,0.245,0.173,0.0545,5.449,0.657,1731,0.010,1.108,,18.25,1.172,1.750,0.0184,0.0258,0.0317,0.710,,12,0.0220,1.172,36,-0.000360,1.763
,7,216,17:23,1043,6.929,48,72.56,71.21,704.8,0.144,1.155,1.739,0.336,0.279,0.235,0.0542,5.418,0.699,1757,0.045,1.147,,15.69,1.163,1.697,0.0259,0.0220,0.0340,1.178,,12,0.0196,1.163,36,-0.000053,1.699
,8,279,18:27,1107,7.042,47,81.13,84.45,838.5,0.161,1.174,1.655,0.291,0.359,0.253,0.0499,4.991,0.577,1629,0.098,1.205,,14.70,1.158,1.631,0.0188,0.0261,0.0322,0.721,,14,0.0181,1.158,36,0.000168,1.625
,9,353,19:30,1170,6.982,46,93.40,93.13,1213,0.185,1.164,1.582,0.265,0.402,0.228,0.0571,5.707,0.705,1309,0.148,1.260,,14.15,1.161,1.556,0.0187,0.0207,0.0279,0.903,,12,0.0173,1.161,36,-0.000013,1.557
,10,442,20:33,1233,6.447,43,117.9,94.72,1304,0.234,1.075,1.466,0.267,0.370,0.059,0.0490,4.900,0.714,1360,0.240,1.361,,11.79,1.075,1.442,0.0208,0.0231,0.0311,0.899,,15,0.0148,1.075,36,0.000155,1.436
,11,547,21:36,1296,6.464,43,103.3,94.77,1203,0.205,1.077,1.328,0.189,0.528,0.032,0.0365,3.653,0.638,1488,0.368,1.502,,7.616,1.064,1.319,0.0170,0.0288,0.0335,0.591,,23,0.007464,1.064,36,0.001084,1.280
,12,671,22:39,1359,5.989,42,120.5,93.27,1874,0.239,0.998,1.217,0.180,0.526,0.225,0.0464,4.638,0.853,1437,0.493,1.639,,8.900,0.996,1.214,0.0129,0.0209,0.0246,0.617,,12,0.007180,0.996,36,0.000557,1.194
,13,819,23:42,1422,5.467,41,139.0,90.39,2936,0.276,0.911,1.097,0.170,0.522,0.090,0.0595,5.953,0.400,1232,0.656,1.817,,6.055,0.909,1.098,0.0241,0.0200,0.0313,1.207,,13,0.008916,0.909,36,0.000583,1.077
,14,995,24:45,1485,5.208,43,123.2,86.50,,0.244,0.868,0.991,0.124,0.627,,,,,,0.834,2.013,,3.765,0.868,0.991,0.0222,0.0238,0.0326,0.933,,12,0.005370,0.868,36,0.000299,0.980
,15,1204,25:48,1548,4.848,45,171.9,82.11,,0.341,0.808,0.943,0.143,0.555,,,,,,0.928,2.116,,2.670,0.808,0.943,0.0389,0.0320,0.0504,1.217,,13,0.003069,0.808,36,0.000128,0.938
,16,1451,26:51,1611,4.590,48,165.6,77.82,,0.329,0.765,0.864,0.114,0.622,,,,,,1.104,2.309,,2.551,0.765,0.864,0.0277,0.0269,0.0386,1.029,,14,0.005324,0.765,36,0.000588,0.842
,17,1745,27:54,1674,4.619,47,38.51,74.08,,0.0764,0.770,0.787,0.022,0.922,,,,,,1.308,2.533,,0.507,0.770,0.787,0.0216,0.0266,0.0343,0.810,,17,0.001566,0.770,36,-0.000570,0.808
,18,2094,28:57,1737,4.533,55,160.4,71.20,,0.318,0.755,0.818,0.077,0.737,,,,,,1.221,2.437,,1.505,0.755,0.818,0.0307,0.0282,0.0417,1.088,,13,0.001183,0.755,36,0.001637,0.759
,19,2508,30:00,1800,4.362,59,120.2,69.25,,0.239,0.727,0.764,0.048,0.827,,,,,,1.379,2.611,,0.709,0.727,0.764,0.0407,0.0318,0.0516,1.280,,12,0.005126,0.727,36,0.000754,0.737
,20,3000,31:03,1863,4.029,68,311.8,68.11,,0.619,0.672,0.749,0.104,0.620,,,,,,1.425,2.661,,1.708,0.672,0.749,0.0357,0.0284,0.0456,1.257,,12,0.004317,0.672,36,0.000312,0.738
,21,0,32:06,1926,4.435,25,0.000000,0.000000,0.000000,0.000000,0.739,1.206,0.387,,0.278,0.0573,5.732,0.787,1283,0.506,1.653,,42.97,0.752,1.178,0.007470,0.006501,0.009902,1.149,,12,0.0157,0.752,36,0.000014,1.177
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,5.354,47,0.000000,0.000000,0.000000,0.000000,0.732,1.389,0.473,,0.344,0.0693,4.618,0.747,1629,0.091,1.148,,103.6,0.752,1.338,0.003741,0.004252,0.005663,0.880,,12,0.0246,0.752,36,-0.000270,1.348
,2,22,12:08,728,5.900,53,9.600,9.813,57.24,0.0152,0.826,1.465,0.436,0.089,0.316,0.0648,4.320,0.678,1821,0.034,1.088,,32.08,0.838,1.421,0.0142,0.0114,0.0182,1.244,,16,0.0234,0.838,36,-0.000259,1.430
,3,49,13:11,791,6.374,55,21.08,20.90,128.1,0.0333,0.855,1.501,0.430,0.113,0.311,0.0651,4.342,0.600,2000,0.009,1.063,,36.24,0.870,1.462,0.009236,0.0135,0.0163,0.685,,14,0.0241,0.870,36,0.000101,1.458
,4,81,14:15,855,6.535,56,33.58,32.80,208.2,0.0530,0.887,1.515,0.415,0.149,0.220,0.0640,4.268,0.694,1949,0.000,1.053,,25.00,0.902,1.474,0.0138,0.0182,0.0229,0.758,,13,0.0240,0.902,36,0.000096,1.471
