File path:,
File note:,
File date:,23/06/17
File time:,15:17:17
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.465,0.467,0.459,0.462
Ek:,343.0,348.9,333.3,356.6
Pm:,153.5,103.0,113.2,107.1
Em:,1518,,820.1,543.3
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.107,0.147,0.225,0.378
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,5.058,37,0.000000,0.000000,0.000000,0.000000,0.843,1.546,0.455,,0.372,0.0550,5.501,0.686,1680,0.084,1.170,,107.5,0.854,1.508,0.004316,0.004290,0.006085,1.006,,12,0.0217,0.854,36,-0.000006,1.509
,2,22,12:08,728,5.550,40,9.497,9.916,69.17,0.0180,0.925,1.628,0.432,0.089,0.316,0.0522,5.221,0.618,1949,0.030,1.111,,22.73,0.939,1.595,0.0198,0.0210,0.0289,0.942,,14,0.0213,0.939,36,0.000395,1.581
,3,49,13:11,791,5.627,42,21.41,21.25,158.5,0.0405,0.938,1.665,0.437,0.089,0.267,0.0537,5.371,0.646,2000,0.006,1.085,,23.73,0.958,1.614,0.0178,0.0211,0.0276,0.841,,12,0.0233,0.958,36,-0.000271,1.623
,4,81,14:14,854,5.808,43,34.22,33.57,262.0,0.0647,0.968,1.676,0.422,0.122,0.269,0.0537,5.371,0.628,1872,0.000,1.079,,21.83,0.977,1.637,0.0191,0.0234,0.0302,0.816,,12,0.0242,0.977,36,0.000318,1.625
,5,118,15:17,917,6.171,44,45.15,46.46,357.9,0.0853,1.028,1.666,0.383,0.202,0.268,0.0504,5.037,0.608,1872,0.006,1.085,,20.50,1.025,1.644,0.0233,0.0193,0.0302,1.207,,13,0.0214,1.025,36,0.000391,1.630
,6,163,16:20,980,6.346,44,59.27,60.37,504.4,0.112,1.058,1.662,0.364,0.241,0.308,0.0514,5.139,0.589,1821,0.008,1.088,,22.34,1.052,1.637,0.0180,0.0190,0.0262,0.951,,19,0.0194,1.052,36,0.000557,1.617
,7,216,17:23,1043,6.458,43,74.00,74.58,655.6,0.140,1.076,1.637,0.343,0.279,0.299,0.0504,5.040,0.534,1808,0.024,1.104,,18.80,1.065,1.613,0.0170,0.0236,0.0291,0.722,,12,0.0196,1.065,36,0.000240,1.605
,8,279,18:27,1107,6.676,44,86.59,88.85,920.4,0.164,1.113,1.613,0.310,0.342,0.368,0.0548,5.478,0.601,1629,0.039,1.120,,15.01,1.111,1.590,0.0203,0.0246,0.0319,0.824,,14,0.0167,1.111,36,0.000331,1.578
,9,353,19:29,1169,6.489,44,106.5,102.6,1167,0.201,1.081,1.548,0.302,0.346,0.213,0.0549,5.492,0.757,1731,0.082,1.168,,14.39,1.075,1.528,0.0218,0.0227,0.0315,0.961,,12,0.0187,1.075,36,0.000477,1.511
,10,442,20:32,1232,6.286,42,124.8,115.4,1412,0.236,1.048,1.460,0.282,0.368,0.044,0.0531,5.306,0.869,1411,0.148,1.239,,12.68,1.081,1.463,0.0239,0.0183,0.0301,1.303,,12,0.0125,1.081,36,0.001304,1.416
