File path:,
File note:,
File date:,23/06/17
File time:,15:54:04
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.472,0.465,0.447,0.454
Ek:,329.8,333.4,384.2,384.0
Pm:,155.5,114.8,127.6,110.3
Em:,,757.8,883.7,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.158,0.272,0.161,0.112
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,7.284,47,0.000000,0.000000,0.000000,0.000000,1.214,2.170,0.440,,0.364,0.0579,5.792,0.734,1552,0.094,1.175,,92.57,1.231,2.104,0.005339,0.007779,0.009435,0.686,,14,0.0308,1.231,36,-0.000074,2.107
,2,22,12:09,729,8.138,55,9.114,10.04,73.62,0.0256,1.356,2.316,0.414,0.130,0.357,0.0556,5.557,0.668,1872,0.025,1.101,,30.25,1.366,2.250,0.0192,0.0221,0.0292,0.869,,13,0.0315,1.366,36,-0.000430,2.265
,3,49,13:12,792,8.338,57,20.10,21.47,162.3,0.0565,1.390,2.356,0.410,0.146,0.296,0.0550,5.500,0.657,1949,0.008,1.082,,24.89,1.391,2.301,0.0250,0.0267,0.0366,0.936,,14,0.0333,1.391,36,0.000261,2.291
,4,81,14:15,855,8.240,58,34.15,33.87,282.9,0.0960,1.373,2.374,0.422,0.126,0.256,0.0580,5.800,0.650,1872,0.000,1.074,,24.85,1.409,2.297,0.0246,0.0260,0.0358,0.947,,13,0.0329,1.409,36,-0.000391,2.312
,5,118,15:17,917,8.620,58,46.51,46.78,402.8,0.131,1.437,2.372,0.394,0.182,0.251,0.0567,5.668,0.662,1757,0.001,1.075,,28.01,1.471,2.317,0.0201,0.0226,0.0302,0.891,,12,0.0317,1.471,36,0.000162,2.312
,6,163,16:20,980,8.587,57,60.99,60.65,550.2,0.171,1.431,2.287,0.374,0.209,0.246,0.0561,5.605,0.630,1757,0.038,1.115,,18.91,1.447,2.227,0.0295,0.0288,0.0413,1.025,,12,0.0292,1.447,36,-0.000119,2.231
,7,216,17:24,1044,9.056,58,73.18,74.73,733.1,0.206,1.509,2.283,0.339,0.283,0.328,0.0564,5.636,0.515,1603,0.040,1.117,,23.66,1.501,2.252,0.0208,0.0239,0.0317,0.870,,12,0.0281,1.501,36,0.000636,2.229
,8,279,18:27,1107,9.297,58,89.55,88.78,910.0,0.252,1.549,2.282,0.321,0.320,0.274,0.0542,5.416,0.656,1360,0.041,1.117,,20.51,1.548,2.240,0.0183,0.0283,0.0337,0.646,,15,0.0251,1.548,36,0.000380,2.226
,9,353,19:30,1170,9.427,58,99.47,102.2,1222,0.280,1.571,2.188,0.282,0.390,0.344,0.0575,5.750,0.450,1360,0.085,1.165,,13.96,1.574,2.156,0.0262,0.0324,0.0417,0.807,,12,0.0209,1.574,36,0.000590,2.135
,10,442,20:33,1233,8.669,55,120.4,114.8,1453,0.338,1.445,1.986,0.272,0.378,0.234,0.0546,5.459,0.510,1360,0.196,1.284,,15.24,1.422,1.969,0.0212,0.0289,0.0359,0.734,,12,0.0226,1.422,36,0.000709,1.944
,11,547,21:36,1296,8.623,52,117.8,125.9,1742,0.331,1.437,1.832,0.215,0.485,0.214,0.0529,5.288,0.755,1091,0.296,1.392,,11.43,1.421,1.800,0.0202,0.0263,0.0331,0.769,,15,0.0161,1.421,36,-0.000530,1.819
,12,671,22:39,1359,8.174,50,129.9,135.2,2113,0.365,1.362,1.689,0.194,0.514,0.245,0.0523,5.229,0.448,988.8,0.406,1.509,,9.738,1.362,1.675,0.0187,0.0263,0.0322,0.711,,15,0.0116,1.362,36,0.000404,1.661
,13,819,23:42,1422,7.498,49,145.6,142.5,2503,0.409,1.250,1.520,0.178,0.524,0.176,0.0508,5.076,0.676,1232,0.562,1.677,,7.072,1.254,1.515,0.0252,0.0270,0.0369,0.936,,14,0.008505,1.254,36,0.000113,1.511
,14,995,24:45,1485,7.007,48,165.4,147.9,,0.465,1.168,1.401,0.166,0.531,,,,,,0.695,1.820,,5.705,1.168,1.401,0.0294,0.0283,0.0408,1.036,,18,0.008351,1.168,36,0.000315,1.389
,15,1204,25:48,1548,6.822,49,139.9,151.5,,0.393,1.137,1.287,0.116,0.653,,,,,,0.845,1.981,,3.931,1.137,1.287,0.0249,0.0288,0.0380,0.864,,12,0.006526,1.137,36,0.001458,1.234
,16,1451,26:51,1611,6.049,50,184.0,153.6,,0.517,1.008,1.155,0.127,0.593,,,,,,1.056,2.208,,3.654,1.008,1.155,0.0310,0.0254,0.0401,1.223,,15,0.007511,1.008,36,0.000586,1.134
,17,1745,27:54,1674,5.915,56,139.4,154.7,,0.392,0.986,1.071,0.080,0.730,,,,,,1.216,2.379,,2.483,0.986,1.071,0.0199,0.0281,0.0345,0.707,,20,0.002879,0.986,36,0.000373,1.058
,18,2094,28:58,1738,5.864,54,130.1,155.3,,0.366,0.977,1.042,0.062,0.786,,,,,,1.279,2.446,,1.619,0.977,1.042,0.0231,0.0327,0.0400,0.706,,25,0.001200,0.977,36,0.000278,1.032
,19,2508,30:00,1800,5.360,60,247.0,155.5,,0.694,0.893,0.991,0.099,0.648,,,,,,1.396,2.573,,2.159,0.893,0.991,0.0310,0.0329,0.0452,0.943,,13,0.003895,0.893,36,-0.000198,0.998
,20,3000,31:03,1863,5.362,61,106.2,155.5,,0.298,0.894,0.927,0.035,0.867,,,,,,1.563,2.751,,0.609,0.894,0.927,0.0398,0.0364,0.0539,1.095,,14,0.002449,0.894,36,-0.000476,0.944
,21,0,32:06,1926,5.435,29,0.000000,0.000000,0.000000,0.000000,0.906,1.480,0.388,,0.277,0.0560,5.601,0.798,1232,0.604,1.722,,52.42,0.921,1.442,0.006360,0.007633,0.009936,0.833,,14,0.0185,0.921,36,-0.000091,1.445
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
