File path:,
File note:,
File date:,23/06/17
File time:,16:30:51
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.457,0.445,0.462,0.459
Ek:,383.7,394.5,346.2,371.5
Pm:,133.7,143.4,132.6,134.5
Em:,1286,1126,1478,990.1
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.140,0.121,0.112,0.081
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,5.453,40,0.000000,0.000000,0.000000,0.000000,0.909,1.629,0.442,,0.360,0.0537,5.370,0.718,1552,0.096,1.407,,101.9,0.919,1.590,0.004116,0.005137,0.006582,0.801,,14,0.0219,0.919,36,0.000131,1.585
,2,22,12:09,729,5.773,42,9.661,9.769,71.48,0.0203,0.962,1.716,0.439,,0.334,0.0540,5.395,0.674,1808,0.041,1.335,,25.16,0.977,1.664,0.0154,0.0226,0.0273,0.680,,12,0.0240,0.977,36,-0.000460,1.680
,3,49,13:11,791,5.901,44,21.45,21.02,161.6,0.0450,0.983,1.749,0.438,,0.252,0.0548,5.478,0.642,1808,0.021,1.310,,24.02,1.003,1.704,0.0168,0.0238,0.0292,0.706,,12,0.0255,1.003,36,0.000180,1.697
,4,81,14:14,854,6.396,45,32.20,33.36,227.2,0.0675,1.066,1.769,0.398,0.088,0.192,0.0466,4.657,0.673,1731,0.009,1.295,,22.54,1.063,1.723,0.0190,0.0222,0.0293,0.854,,14,0.0227,1.063,36,0.000183,1.716
,5,118,15:17,917,6.405,46,47.45,46.41,375.4,0.0995,1.068,1.785,0.402,0.082,0.267,0.0528,5.282,0.644,1872,0.000,1.283,,22.93,1.085,1.734,0.0158,0.0235,0.0283,0.670,,13,0.0226,1.085,36,-0.000285,1.745
,6,163,16:21,981,6.670,47,60.46,60.68,535.1,0.127,1.112,1.767,0.371,0.148,0.327,0.0545,5.451,0.599,1757,0.010,1.296,,21.16,1.102,1.742,0.0213,0.0215,0.0302,0.989,,12,0.0229,1.102,36,0.000263,1.732
,7,216,17:24,1044,6.925,46,75.38,75.47,653.7,0.158,1.154,1.773,0.349,0.200,0.302,0.0503,5.026,0.550,1680,0.007,1.292,,18.67,1.154,1.741,0.0181,0.0257,0.0315,0.705,,13,0.0198,1.154,36,0.000220,1.734
,8,279,18:27,1107,6.932,47,90.82,90.58,989.7,0.190,1.155,1.713,0.326,0.239,0.232,0.0589,5.891,0.568,1117,0.042,1.338,,18.46,1.174,1.683,0.0200,0.0190,0.0276,1.054,,16,0.0189,1.174,36,0.000164,1.677
,9,353,19:30,1170,6.911,47,109.8,105.4,1016,0.230,1.152,1.672,0.311,0.263,0.048,0.0478,4.778,0.707,1603,0.068,1.370,,14.76,1.173,1.658,0.0206,0.0255,0.0328,0.807,,12,0.0158,1.173,36,0.001154,1.616
,10,442,20:33,1233,6.960,45,118.6,115.6,1330,0.249,1.160,1.585,0.268,0.344,0.187,0.0500,4.996,0.514,1360,0.126,1.445,,13.49,1.156,1.569,0.0206,0.0225,0.0305,0.915,,12,0.0157,1.156,36,0.000152,1.563
,11,547,21:36,1296,6.832,45,130.7,122.0,1765,0.274,1.139,1.496,0.239,0.395,0.207,0.0536,5.359,0.672,1552,0.193,1.531,,10.31,1.128,1.482,0.0265,0.0218,0.0343,1.214,,13,0.0150,1.128,36,0.000316,1.471
,12,671,22:39,1359,6.444,44,146.1,127.1,2304,0.306,1.074,1.373,0.218,0.419,0.270,0.0570,5.701,0.620,1680,0.301,1.669,,10.34,1.079,1.353,0.0133,0.0228,0.0264,0.585,,17,0.0101,1.079,36,0.000107,1.349
,13,819,23:42,1422,6.026,43,160.5,130.7,2759,0.337,1.004,1.249,0.196,0.445,0.260,0.0559,5.594,0.367,1232,0.429,1.834,,8.302,1.005,1.237,0.0186,0.0208,0.0279,0.892,,14,0.008886,1.005,36,0.000171,1.231
,14,995,24:45,1485,5.903,44,128.5,132.8,,0.269,0.984,1.130,0.129,0.609,,,,,,0.580,2.028,,4.293,0.984,1.130,0.0198,0.0276,0.0340,0.717,,12,0.005743,0.984,36,-0.000306,1.141
,15,1204,25:48,1548,5.546,44,105.7,133.7,,0.222,0.924,1.013,0.088,0.714,,,,,,0.762,2.261,,2.475,0.924,1.013,0.0221,0.0284,0.0359,0.777,,12,0.004695,0.924,36,-0.000811,1.042
,16,1451,26:51,1611,5.061,44,168.2,133.6,,0.353,0.844,0.954,0.116,0.606,,,,,,0.871,2.401,,2.832,0.844,0.954,0.0305,0.0245,0.0391,1.245,,22,0.003438,0.844,36,-0.000251,0.963
,17,1745,27:54,1674,5.123,49,102.3,133.0,,0.214,0.854,0.907,0.059,0.793,,,,,,0.969,2.526,,1.583,0.854,0.907,0.0224,0.0250,0.0336,0.895,,18,0.001717,0.854,36,-0.000044,0.909
,18,2094,28:58,1738,4.818,51,182.0,132.2,,0.382,0.803,0.879,0.087,0.687,,,,,,1.030,2.605,,1.974,0.803,0.879,0.0271,0.0277,0.0387,0.978,,12,0.003684,0.803,36,0.001252,0.834
,19,2508,30:00,1800,4.696,52,150.5,131.6,,0.316,0.783,0.833,0.060,0.775,,,,,,1.144,2.751,,1.026,0.783,0.833,0.0359,0.0330,0.0487,1.089,,16,0.003966,0.783,36,0.000367,0.819
,20,3000,31:03,1863,,59,-3701999,131.1,,,,,,,,,,,,,,,,0.808,0.798,0.0297,0.0388,0.0489,0.765,,19,0.001706,0.808,36,-0.000426,0.813
,21,0,32:06,1926,4.662,25,0.000000,0.000000,0.000000,0.000000,0.777,1.257,0.382,,0.276,0.0524,5.240,0.794,1309,0.421,1.823,,41.84,0.788,1.231,0.007086,0.007856,0.0106,0.902,,15,0.0149,0.788,36,0.000039,1.229
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,5.453,49,0.000000,0.000000,0.000000,0.000000,0.760,1.396,0.456,,0.352,0.0649,4.325,0.746,1501,0.077,1.575,,103.4,0.781,1.346,0.003489,0.004210,0.005468,0.829,,12,0.0220,0.781,36,-0.000233,1.355
,2,22,12:09,729,5.773,52,9.240,9.531,53.27,0.0157,0.849,1.464,0.420,,0.374,0.0603,4.021,0.698,1808,0.027,1.502,,24.38,0.859,1.430,0.0162,0.0169,0.0235,0.957,,17,0.0205,0.859,36,0.000236,1.422
,3,49,13:11,791,5.901,53,20.40,20.52,119.4,0.0347,0.867,1.486,0.416,,0.294,0.0607,4.046,0.660,1680,0.011,1.479,,22.70,0.883,1.437,0.0164,0.0180,0.0244,0.913,,18,0.0203,0.883,36,-0.000268,1.446
