File path:,
File note:,
File date:,23/06/17
File time:,18:31:34
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.446,0.442,0.449,0.456
Ek:,380.2,436.2,395.1,375.1
Pm:,117.2,124.8,114.3,131.2
Em:,727.4,647.3,566.2,919.2
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.250,0.207,0.291,0.120
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,5.735,29,0.000000,0.000000,0.000000,0.000000,0.956,1.687,0.433,,0.388,0.0533,5.331,0.707,1629,0.091,1.380,,75.12,0.963,1.647,0.005952,0.006886,0.009102,0.864,,15,0.0221,0.963,36,0.000021,1.646
,2,22,12:08,728,6.372,32,8.939,9.541,65.46,0.0201,1.062,1.789,0.406,0.065,0.350,0.0494,4.941,0.699,1731,0.029,1.302,,25.41,1.051,1.752,0.0157,0.0227,0.0276,0.693,,14,0.0224,1.051,36,0.000189,1.745
,3,49,13:11,791,6.301,32,20.50,20.52,160.3,0.0461,1.050,1.805,0.418,0.042,0.373,0.0543,5.432,0.605,1923,0.020,1.290,,23.66,1.053,1.754,0.0187,0.0230,0.0296,0.811,,16,0.0246,1.053,36,-0.000575,1.775
,4,81,14:14,854,6.486,33,32.57,32.56,259.0,0.0732,1.081,1.808,0.402,0.080,0.311,0.0531,5.309,0.579,1757,0.018,1.288,,21.05,1.106,1.747,0.0217,0.0214,0.0305,1.018,,12,0.0221,1.106,36,-0.000689,1.772
,5,118,15:17,917,6.906,34,44.01,45.28,371.4,0.0990,1.151,1.836,0.373,0.154,0.356,0.0523,5.226,0.682,1552,0.003,1.269,,18.01,1.153,1.793,0.0193,0.0299,0.0356,0.644,,12,0.0209,1.153,36,-0.000504,1.811
,6,163,16:20,980,6.963,34,60.23,59.17,481.6,0.135,1.161,1.841,0.370,0.163,0.212,0.0491,4.906,0.661,1603,0.000,1.265,,19.48,1.169,1.794,0.0232,0.0221,0.0321,1.048,,14,0.0212,1.169,36,-0.000284,1.805
,7,216,17:24,1044,7.179,35,74.57,73.55,666.0,0.168,1.196,1.827,0.345,0.215,0.385,0.0512,5.120,0.523,1731,0.007,1.275,,22.24,1.173,1.806,0.0174,0.0225,0.0285,0.775,,12,0.0235,1.173,36,0.000662,1.783
,8,279,18:27,1107,7.369,35,87.71,88.23,868.6,0.197,1.228,1.791,0.314,0.277,0.319,0.0517,5.170,0.532,1552,0.028,1.300,,17.49,1.228,1.767,0.0204,0.0231,0.0308,0.886,,14,0.0177,1.228,36,0.000462,1.750
,9,353,19:30,1170,7.339,35,106.7,102.6,1206,0.240,1.223,1.753,0.302,0.296,0.257,0.0568,5.675,0.564,1360,0.050,1.328,,18.81,1.224,1.727,0.0150,0.0221,0.0268,0.680,,12,0.0189,1.224,36,0.000089,1.724
,10,442,20:33,1233,7.390,34,121.1,111.0,1506,0.272,1.232,1.696,0.274,0.350,0.239,0.0566,5.656,0.668,1117,0.085,1.373,,12.38,1.240,1.661,0.0221,0.0258,0.0340,0.856,,12,0.0168,1.240,36,-0.000679,1.686
