File path:,
File note:,
File date:,23/06/17
File time:,19:45:09
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.430,0.448,0.447,0.447
Ek:,494.2,427.9,395.5,436.3
Pm:,134.7,121.2,111.8,123.1
Em:,582.9,,,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.260,0.103,0.131,0.106
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:51,51,5.944,29,0.000000,0.000000,0.000000,0.000000,0.991,1.742,0.431,,0.312,0.0526,5.261,0.769,1501,0.188,1.343,,97.31,1.004,1.701,0.004094,0.005886,0.007169,0.696,,15,0.0227,1.004,36,0.000041,1.700
,2,22,12:08,728,6.806,33,8.864,9.245,70.55,0.0208,1.134,1.900,0.403,0.101,0.435,0.0533,5.325,0.674,1872,0.089,1.231,,23.73,1.137,1.853,0.0207,0.0219,0.0302,0.944,,15,0.0226,1.137,36,0.000123,1.849
,3,49,13:11,791,7.044,35,19.73,20.04,151.8,0.0462,1.174,1.966,0.403,0.118,0.288,0.0515,5.146,0.602,1808,0.053,1.190,,24.50,1.181,1.901,0.0141,0.0258,0.0294,0.547,,13,0.0245,1.181,36,-0.000814,1.931
,4,81,14:15,855,7.317,36,31.62,32.10,234.3,0.0741,1.220,2.000,0.390,0.153,0.282,0.0480,4.804,0.628,1872,0.035,1.169,,19.81,1.218,1.973,0.0254,0.0283,0.0381,0.897,,12,0.0251,1.218,36,0.000927,1.940
,5,118,15:17,917,7.603,37,44.42,45.10,367.1,0.104,1.267,2.032,0.376,0.190,0.325,0.0517,5.167,0.649,1731,0.018,1.151,,28.17,1.253,1.986,0.0122,0.0230,0.0260,0.529,,12,0.0269,1.253,36,-0.000129,1.991
,6,163,16:21,981,7.638,38,62.17,59.66,488.1,0.146,1.273,2.058,0.381,0.185,0.187,0.0497,4.972,0.679,1731,0.006,1.137,,26.02,1.272,2.001,0.0171,0.0222,0.0280,0.772,,13,0.0278,1.272,36,-0.000328,2.013
,7,216,17:24,1044,7.802,38,80.04,75.19,648.9,0.187,1.300,2.066,0.371,0.210,0.240,0.0499,4.989,0.609,1757,0.002,1.132,,22.39,1.316,2.014,0.0208,0.0232,0.0312,0.899,,13,0.0240,1.316,36,-0.000101,2.018
,8,279,18:27,1107,7.975,38,99.81,91.60,912.7,0.234,1.329,2.070,0.358,0.238,0.053,0.0543,5.433,0.798,1232,0.000,1.130,,20.04,1.357,2.021,0.0229,0.0239,0.0331,0.955,,12,0.0274,1.357,36,0.000032,2.020
,9,353,19:30,1170,8.464,40,109.9,108.4,994.9,0.258,1.411,2.049,0.311,0.333,0.163,0.0468,4.680,0.786,1360,0.010,1.142,,14.27,1.401,2.025,0.0338,0.0278,0.0438,1.216,,12,0.0239,1.401,36,0.001069,1.987
,10,442,20:33,1233,8.395,39,124.6,125.5,1373,0.292,1.399,1.948,0.282,0.380,0.189,0.0516,5.158,0.646,1168,0.062,1.201,,14.10,1.391,1.931,0.0215,0.0317,0.0383,0.678,,14,0.0205,1.391,36,0.000679,1.906
