File path:,
File note:,
File date:,23/06/17
File time:,20:21:56
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.442,0.455,0.439,0.451
Ek:,419.1,415.2,425.3,413.0
Pm:,117.0,141.6,156.5,134.1
Em:,,971.8,1673,879.0
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.942,0.145,0.116,0.115
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,6.647,31,0.000000,0.000000,0.000000,0.000000,1.108,1.949,0.432,,0.311,0.0525,5.254,0.772,1488,0.162,1.413,,99.78,1.125,1.903,0.005240,0.005772,0.007796,0.908,,15,0.0251,1.125,36,-0.000057,1.905
,2,22,12:08,728,7.405,36,9.316,9.469,70.09,0.0244,1.234,2.141,0.423,0.032,0.286,0.0529,5.290,0.675,1603,0.058,1.287,,27.58,1.261,2.088,0.0211,0.0213,0.0300,0.988,,12,0.0286,1.261,36,0.000024,2.087
,3,49,13:11,791,7.599,38,20.81,20.43,153.6,0.0545,1.267,2.201,0.425,0.044,0.207,0.0521,5.205,0.722,1501,0.029,1.251,,24.05,1.289,2.142,0.0198,0.0294,0.0354,0.676,,12,0.0291,1.289,36,-0.000017,2.142
,4,81,14:14,854,8.120,39,31.27,32.54,256.9,0.0818,1.353,2.204,0.386,0.132,0.390,0.0527,5.266,0.563,1949,0.028,1.250,,27.88,1.352,2.170,0.0188,0.0225,0.0293,0.839,,12,0.0261,1.352,36,0.000342,2.157
,5,118,15:17,917,8.431,39,43.74,45.44,374.8,0.114,1.405,2.233,0.371,0.172,0.344,0.0527,5.274,0.601,1603,0.015,1.234,,25.97,1.397,2.185,0.0172,0.0250,0.0304,0.686,,13,0.0271,1.397,36,0.000223,2.177
,6,163,16:20,980,8.372,40,62.59,59.66,517.3,0.164,1.395,2.265,0.384,0.149,0.216,0.0527,5.270,0.655,1437,0.000,1.216,,26.54,1.421,2.211,0.0198,0.0222,0.0297,0.896,,12,0.0270,1.421,36,-0.000047,2.212
,7,216,17:23,1043,8.802,40,72.62,74.57,697.2,0.190,1.467,2.210,0.336,0.245,0.293,0.0536,5.360,0.585,1437,0.025,1.246,,20.21,1.453,2.193,0.0278,0.0238,0.0366,1.168,,12,0.0275,1.453,36,0.001140,2.152
,8,279,18:26,1106,8.917,41,91.49,90.00,838.2,0.239,1.486,2.211,0.328,0.264,0.148,0.0499,4.989,0.742,1283,0.024,1.246,,19.84,1.492,2.175,0.0250,0.0237,0.0344,1.055,,14,0.0240,1.492,36,0.000266,2.165
,9,353,19:29,1169,8.899,41,111.3,105.4,1062,0.291,1.483,2.166,0.315,0.284,0.090,0.0500,4.998,0.698,1309,0.046,1.272,,18.90,1.493,2.140,0.0192,0.0283,0.0342,0.677,,12,0.0242,1.493,36,0.000680,2.115
,10,442,20:32,1232,9.068,41,125.6,116.4,1318,0.329,1.511,2.111,0.284,0.345,0.242,0.0495,4.952,0.579,1168,0.073,1.305,,15.04,1.511,2.069,0.0238,0.0285,0.0371,0.838,,16,0.0198,1.511,36,-0.000756,2.096
