File path:,
File note:,
File date:,23/06/17
File time:,23:25:52
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.427,0.435,0.422,0.434
Ek:,422.3,443.9,447.4,460.1
Pm:,180.3,166.0,119.4,145.1
Em:,,1418,,999.1
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.104,0.110,0.136,0.090
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,7.703,36,0.000000,0.000000,0.000000,0.000000,1.284,2.222,0.422,,0.304,0.0545,5.449,0.759,1437,0.079,1.297,,111.5,1.308,2.163,0.004916,0.005893,0.007674,0.834,,15,0.0292,1.308,36,-0.000241,2.172
,2,22,12:08,728,8.314,40,8.890,9.151,70.63,0.0276,1.386,2.325,0.404,0.095,0.289,0.0533,5.332,0.731,1603,0.031,1.239,,26.96,1.401,2.269,0.0250,0.0203,0.0322,1.228,,12,0.0306,1.401,36,0.000305,2.258
,3,49,13:11,791,8.303,40,20.32,19.75,149.7,0.0630,1.384,2.364,0.415,0.080,0.113,0.0507,5.072,0.704,1488,0.014,1.219,,23.63,1.424,2.299,0.0251,0.0272,0.0370,0.924,,12,0.0315,1.424,36,-0.000036,2.300
,4,81,14:14,854,8.950,41,30.00,31.46,253.7,0.0930,1.492,2.369,0.370,0.179,0.328,0.0520,5.200,0.610,1680,0.012,1.216,,23.98,1.491,2.329,0.0240,0.0254,0.0349,0.949,,12,0.0280,1.491,36,0.000663,2.305
,5,118,15:17,917,9.082,42,42.83,43.95,381.5,0.133,1.514,2.376,0.363,0.197,0.325,0.0537,5.369,0.650,1488,0.009,1.213,,25.26,1.505,2.331,0.0184,0.0271,0.0327,0.679,,13,0.0300,1.505,36,-0.000268,2.340
,6,163,16:20,980,9.242,42,58.32,57.73,487.5,0.181,1.540,2.398,0.358,0.212,0.183,0.0497,4.966,0.730,1360,0.000,1.201,,26.84,1.545,2.343,0.0196,0.0224,0.0297,0.875,,12,0.0283,1.545,36,0.000201,2.336
,7,216,17:23,1043,9.293,42,75.19,72.18,678.6,0.233,1.549,2.376,0.348,0.230,0.298,0.0522,5.217,0.671,1501,0.009,1.213,,22.62,1.534,2.340,0.0225,0.0276,0.0356,0.817,,13,0.0294,1.534,36,0.000565,2.320
,8,279,18:26,1106,9.619,43,87.23,87.16,875.5,0.270,1.603,2.333,0.313,0.301,0.341,0.0521,5.211,0.594,1552,0.028,1.235,,21.02,1.587,2.306,0.0200,0.0278,0.0342,0.722,,13,0.0257,1.587,36,0.000785,2.278
,9,353,19:29,1169,9.840,43,100.6,102.1,1082,0.312,1.640,2.293,0.285,0.357,0.366,0.0509,5.092,0.514,1488,0.046,1.256,,18.87,1.628,2.263,0.0228,0.0247,0.0336,0.922,,13,0.0218,1.628,36,0.000573,2.242
,10,442,20:32,1232,9.695,43,121.4,117.0,1390,0.376,1.616,2.227,0.275,0.370,0.327,0.0522,5.220,0.606,1411,0.077,1.294,,21.48,1.595,2.204,0.0182,0.0217,0.0283,0.838,,14,0.0229,1.595,36,0.000491,2.186
