File path:,
File note:,
File date:,24/06/17
File time:,04:56:57
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.444,0.444,0.445,0.467
Ek:,403.8,405.3,416.5,361.3
Pm:,113.4,142.6,137.9,135.0
Em:,443.8,1099,956.2,1449
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.344,0.088,0.139,0.097
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,8.586,41,0.000000,0.000000,0.000000,0.000000,1.431,2.523,0.433,,0.314,0.0538,5.381,0.788,1488,0.078,1.311,,139.8,1.448,2.461,0.004953,0.005293,0.007249,0.936,,12,0.0340,1.448,36,-0.000101,2.465
,2,22,12:08,728,9.220,44,9.137,9.504,70.58,0.0308,1.537,2.628,0.415,0.062,0.348,0.0533,5.327,0.660,1680,0.034,1.258,,34.83,1.563,2.558,0.0180,0.0222,0.0286,0.813,,14,0.0326,1.563,36,-0.000675,2.582
,3,49,13:11,791,9.276,45,20.62,20.48,161.6,0.0695,1.546,2.669,0.421,0.058,0.241,0.0548,5.476,0.718,1552,0.018,1.239,,31.86,1.566,2.607,0.0238,0.0224,0.0327,1.061,,12,0.0387,1.566,36,0.000205,2.599
,4,81,14:14,854,9.969,46,31.00,32.58,257.6,0.105,1.661,2.691,0.383,0.147,0.329,0.0528,5.282,0.688,1488,0.010,1.228,,29.82,1.650,2.641,0.0256,0.0212,0.0332,1.207,,12,0.0341,1.650,36,0.000645,2.618
,5,118,15:17,917,9.983,46,45.78,45.42,363.6,0.154,1.664,2.718,0.388,0.140,0.176,0.0512,5.117,0.686,1360,0.000,1.216,,26.16,1.668,2.653,0.0233,0.0296,0.0377,0.790,,12,0.0362,1.668,36,0.000426,2.638
,6,163,16:21,981,10.18,47,61.01,59.53,539.0,0.206,1.697,2.712,0.374,0.169,0.247,0.0549,5.491,0.659,1411,0.002,1.219,,26.55,1.723,2.648,0.0197,0.0287,0.0348,0.686,,13,0.0335,1.723,36,0.000013,2.647
,7,216,17:24,1044,10.55,47,76.05,74.26,671.7,0.256,1.758,2.713,0.352,0.219,0.200,0.0516,5.164,0.742,1283,0.002,1.219,,22.66,1.790,2.652,0.0282,0.0256,0.0381,1.099,,13,0.0293,1.790,36,0.000351,2.640
,8,279,18:27,1107,10.89,48,90.99,89.42,844.1,0.307,1.815,2.693,0.326,0.274,0.278,0.0502,5.024,0.670,1360,0.009,1.228,,27.19,1.808,2.651,0.0174,0.0257,0.0310,0.677,,14,0.0287,1.808,36,0.000439,2.635
,9,353,19:30,1170,11.01,48,105.6,104.5,1190,0.356,1.835,2.618,0.299,0.323,0.254,0.0560,5.597,0.744,1168,0.038,1.263,,19.22,1.831,2.574,0.0244,0.0301,0.0387,0.812,,12,0.0286,1.831,36,0.000599,2.553
,10,442,20:33,1233,11.14,48,118.0,113.4,1326,0.398,1.856,2.532,0.267,0.385,0.229,0.0498,4.982,0.648,1283,0.074,1.306,,15.87,1.844,2.505,0.0277,0.0311,0.0416,0.893,,15,0.0236,1.844,36,0.000424,2.490
