File path:,
File note:,
File date:,24/06/17
File time:,06:47:19
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.438,0.453,0.443,0.467
Ek:,436.0,404.9,416.5,382.5
Pm:,120.8,117.2,116.8,139.4
Em:,,540.1,466.8,1043
AlphaW:,2.000,2.000,2.000,2.000
SErP:,6.464,0.426,0.394,0.085
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,8.788,42,0.000000,0.000000,0.000000,0.000000,1.465,2.602,0.437,,0.315,0.0543,5.431,0.772,1488,0.073,1.349,,118.8,1.492,2.542,0.005285,0.007085,0.008839,0.746,,13,0.0353,1.492,36,0.000174,2.536
,2,22,12:08,728,9.483,45,9.111,9.405,66.64,0.0311,1.581,2.698,0.414,0.047,0.296,0.0503,5.030,0.754,1680,0.035,1.301,,28.43,1.594,2.636,0.0258,0.0260,0.0367,0.992,,12,0.0336,1.594,36,0.000567,2.616
,3,49,13:11,791,9.759,47,20.18,20.32,154.0,0.0689,1.627,2.765,0.412,0.066,0.257,0.0522,5.220,0.752,1552,0.010,1.269,,23.81,1.647,2.709,0.0312,0.0319,0.0446,0.977,,15,0.0355,1.647,36,0.000842,2.679
,4,81,14:14,854,10.03,47,32.34,32.41,253.7,0.110,1.672,2.783,0.399,0.097,0.252,0.0520,5.201,0.722,1488,0.003,1.261,,30.61,1.694,2.718,0.0219,0.0253,0.0335,0.864,,15,0.0351,1.694,36,0.000289,2.708
,5,118,15:18,918,10.12,47,46.68,45.32,398.3,0.159,1.687,2.791,0.396,0.107,0.220,0.0561,5.605,0.664,1360,0.000,1.257,,34.11,1.718,2.724,0.0200,0.0217,0.0295,0.923,,12,0.0385,1.718,36,0.000156,2.719
,6,163,16:21,981,10.69,48,58.95,59.62,508.5,0.201,1.781,2.791,0.362,0.183,0.257,0.0518,5.180,0.666,1411,0.000,1.258,,25.82,1.787,2.714,0.0246,0.0261,0.0359,0.942,,15,0.0331,1.787,36,-0.000171,2.720
,7,216,17:23,1043,10.72,48,77.31,74.68,680.0,0.264,1.787,2.784,0.358,0.191,0.151,0.0523,5.228,0.778,1168,0.003,1.261,,27.97,1.793,2.720,0.0187,0.0274,0.0331,0.683,,15,0.0356,1.793,36,0.000191,2.713
,8,279,18:26,1106,10.84,48,96.34,90.35,902.1,0.329,1.807,2.761,0.345,0.216,0.077,0.0537,5.369,0.766,1181,0.011,1.271,,27.34,1.844,2.701,0.0192,0.0247,0.0313,0.777,,15,0.0319,1.844,36,0.000673,2.676
,9,353,19:30,1170,11.33,48,105.7,106.1,1106,0.361,1.888,2.695,0.300,0.310,0.250,0.0520,5.203,0.664,1360,0.036,1.302,,18.92,1.884,2.674,0.0269,0.0320,0.0418,0.841,,12,0.0280,1.884,36,0.001599,2.617
,10,442,20:33,1233,11.51,48,119.5,120.7,1424,0.408,1.918,2.629,0.270,0.369,0.236,0.0535,5.351,0.714,1168,0.062,1.335,,18.05,1.923,2.604,0.0247,0.0285,0.0377,0.864,,13,0.0252,1.923,36,0.000621,2.581
,11,547,21:36,1296,11.51,48,129.9,117.7,1714,0.444,1.919,2.516,0.237,0.431,0.195,0.0520,5.203,0.848,1168,0.109,1.395,,15.48,1.941,2.508,0.0208,0.0302,0.0366,0.688,,13,0.0180,1.941,36,0.001643,2.448
,12,671,22:39,1359,11.07,47,141.9,114.2,2228,0.485,1.845,2.340,0.212,0.471,0.213,0.0551,5.514,0.774,1117,0.193,1.500,,13.41,1.834,2.319,0.0239,0.0273,0.0362,0.876,,12,0.0211,1.834,36,0.000429,2.304
,13,819,23:42,1422,10.33,45,159.5,110.1,2915,0.545,1.721,2.137,0.195,0.485,0.030,0.0591,5.910,1.000,707.2,0.306,1.642,,8.063,1.779,2.125,0.0312,0.0295,0.0429,1.059,,21,0.0115,1.779,36,0.000236,2.116
,14,995,24:45,1485,9.946,44,143.6,105.7,3640,0.490,1.658,1.937,0.144,0.594,0.202,0.0607,6.074,0.000,400.0,0.441,1.811,,6.810,1.663,1.909,0.0284,0.0225,0.0362,1.262,,12,0.0106,1.663,36,-0.000429,1.925
,15,1204,25:48,1548,9.096,43,142.0,101.3,4975,0.485,1.516,1.719,0.118,0.641,0.019,0.0686,6.862,0.488,604.8,0.624,2.042,,6.814,1.520,1.731,0.0242,0.0193,0.0310,1.251,,12,0.0125,1.520,36,0.001138,1.690
,16,1451,26:51,1611,8.313,43,145.8,97.37,,0.498,1.385,1.540,0.101,0.670,,,,,,0.812,2.278,,3.492,1.385,1.540,0.0324,0.0303,0.0443,1.070,,27,0.006867,1.385,36,-0.000651,1.564
,17,1745,27:54,1674,7.856,42,178.4,94.03,,0.609,1.309,1.458,0.102,0.652,,,,,,0.914,2.406,,3.120,1.309,1.458,0.0382,0.0287,0.0478,1.328,,12,0.007281,1.309,36,0.000637,1.436
,18,2094,28:57,1737,7.479,46,188.0,91.50,,0.642,1.247,1.370,0.090,0.680,,,,,,1.038,2.562,,2.963,1.247,1.370,0.0277,0.0309,0.0415,0.896,,14,0.003560,1.247,36,0.001245,1.325
,19,2508,30:00,1800,7.439,49,3.081,89.82,,0.0105,1.240,1.241,0.001,0.995,,,,,,1.249,2.827,,0.0282,1.240,1.241,0.0344,0.0418,0.0541,0.823,,20,0.004045,1.240,36,-0.001057,1.279
,20,3000,31:03,1863,7.087,52,271.9,88.85,,0.929,1.181,1.299,0.091,0.665,,,,,,1.149,2.702,,2.790,1.181,1.299,0.0271,0.0323,0.0422,0.839,,22,0.001803,1.181,36,0.000936,1.265
,21,0,32:06,1926,7.409,26,0.000000,0.000000,0.000000,0.000000,1.235,2.005,0.384,,0.242,0.0528,5.279,0.854,1232,0.392,1.750,,62.84,1.260,1.952,0.006650,0.008773,0.0110,0.758,,12,0.0237,1.260,36,-0.000089,1.955
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,8.788,52,0.000000,0.000000,0.000000,0.000000,1.248,2.245,0.444,,0.368,0.0652,4.347,0.772,1488,0.056,1.304,,142.9,1.265,2.168,0.003819,0.005035,0.006319,0.759,,12,0.0362,1.265,36,-0.000320,2.180
,2,22,12:08,728,9.483,55,9.560,9.699,56.23,0.0274,1.307,2.312,0.435,0.015,0.330,0.0637,4.244,0.688,1552,0.025,1.266,,38.02,1.326,2.230,0.0138,0.0193,0.0238,0.716,,12,0.0361,1.326,36,-0.000523,2.249
,3,49,13:11,791,9.759,57,20.98,20.90,127.8,0.0601,1.347,2.356,0.428,0.040,0.285,0.0650,4.332,0.677,1629,0.006,1.243,,43.73,1.387,2.276,0.0141,0.0147,0.0203,0.958,,12,0.0366,1.387,36,-0.000302,2.287
