File path:,
File note:,
File date:,24/06/17
File time:,11:41:38
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.456,0.460,0.460,0.464
Ek:,336.1,381.0,381.1,382.5
Pm:,140.7,120.7,145.9,145.6
Em:,1567,722.5,1126,1140
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.084,0.245,0.111,0.123
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,10.23,47,0.000000,0.000000,0.000000,0.000000,1.705,3.053,0.441,,0.348,0.0557,5.572,0.744,1552,0.099,1.350,,121.2,1.733,2.975,0.006638,0.007805,0.0102,0.850,,12,0.0424,1.733,36,-0.000098,2.978
,2,22,12:08,728,11.03,52,9.360,9.711,69.91,0.0369,1.839,3.201,0.425,0.027,0.307,0.0528,5.277,0.682,1731,0.048,1.287,,34.93,1.849,3.126,0.0205,0.0303,0.0366,0.675,,12,0.0444,1.849,36,0.000455,3.110
,3,49,13:11,791,11.29,53,20.97,20.79,152.3,0.0825,1.881,3.288,0.428,0.036,0.201,0.0516,5.161,0.720,1680,0.020,1.253,,32.68,1.914,3.211,0.0241,0.0315,0.0397,0.762,,13,0.0448,1.914,36,0.000595,3.190
,4,81,14:14,854,11.90,54,32.79,32.82,263.0,0.129,1.984,3.333,0.405,0.095,0.291,0.0539,5.392,0.670,1629,0.006,1.236,,35.95,2.013,3.237,0.0201,0.0275,0.0341,0.732,,15,0.0427,2.013,36,-0.000620,3.259
,5,118,15:17,917,12.49,56,44.77,45.38,384.4,0.176,2.081,3.354,0.379,0.154,0.326,0.0541,5.410,0.614,1680,0.000,1.229,,35.11,2.073,3.291,0.0193,0.0288,0.0347,0.671,,12,0.0439,2.073,36,0.000873,3.260
,6,163,16:20,980,12.79,56,58.49,58.90,546.4,0.230,2.132,3.325,0.359,0.197,0.323,0.0557,5.566,0.666,1552,0.009,1.239,,24.23,2.127,3.281,0.0335,0.0339,0.0476,0.988,,12,0.0407,2.127,36,0.000666,3.257
,7,216,17:23,1043,13.09,56,72.96,72.66,719.8,0.287,2.181,3.294,0.338,0.240,0.290,0.0553,5.534,0.640,1232,0.018,1.251,,25.16,2.168,3.233,0.0283,0.0315,0.0424,0.899,,13,0.0408,2.168,36,0.000350,3.221
,8,279,18:26,1106,13.25,55,87.87,86.44,878.9,0.346,2.209,3.225,0.315,0.283,0.270,0.0523,5.231,0.710,1360,0.040,1.278,,23.03,2.210,3.175,0.0332,0.0255,0.0419,1.303,,13,0.0347,2.210,36,0.000766,3.147
,9,353,19:29,1169,13.68,55,96.25,99.37,1157,0.379,2.281,3.136,0.273,0.369,0.367,0.0544,5.443,0.586,1360,0.070,1.314,,21.88,2.255,3.103,0.0245,0.0300,0.0388,0.817,,12,0.0305,2.255,36,0.001151,3.061
,10,442,20:33,1233,13.52,55,114.9,110.5,1499,0.452,2.253,3.045,0.260,0.388,0.262,0.0563,5.630,0.706,1232,0.101,1.353,,13.54,2.265,3.012,0.0391,0.0389,0.0552,1.005,,12,0.0279,2.265,36,0.000366,2.999
,11,547,21:36,1296,13.51,54,121.7,120.1,1752,0.479,2.252,2.897,0.223,0.461,0.277,0.0532,5.318,0.660,1168,0.158,1.422,,18.21,2.232,2.868,0.0259,0.0234,0.0349,1.109,,12,0.0246,2.232,36,0.000629,2.845
,12,671,22:39,1359,12.75,52,134.3,127.9,2466,0.529,2.126,2.658,0.200,0.489,0.277,0.0610,6.103,0.554,1117,0.262,1.551,,14.81,2.124,2.633,0.0243,0.0242,0.0343,1.001,,12,0.0199,2.124,36,0.000163,2.627
,13,819,23:42,1422,11.97,50,152.0,133.7,1989,0.598,1.995,2.450,0.186,0.502,0.030,0.0403,4.033,0.783,1411,0.369,1.682,,13.19,1.983,2.434,0.0189,0.0285,0.0342,0.662,,12,0.0170,1.983,36,0.001040,2.396
,14,995,24:45,1485,11.64,48,133.9,137.7,1267,0.527,1.940,2.242,0.135,0.618,0.020,0.0212,2.115,0.292,451.2,0.496,1.838,,7.604,1.886,2.170,0.0292,0.0233,0.0374,1.250,,14,0.0100,1.886,36,-0.000341,2.182
,15,1204,25:48,1548,10.16,47,148.4,139.8,,0.584,1.694,1.932,0.123,0.614,,,,,,0.736,2.133,,4.599,1.694,1.932,0.0351,0.0380,0.0518,0.923,,12,0.009256,1.694,36,-0.001175,1.974
