File path:,
File note:,
File date:,25/06/17
File time:,09:29:57
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.462,0.463,0.461,0.468
Ek:,409.7,445.7,442.0,465.2
Pm:,150.3,130.5,144.4,168.2
Em:,1152,,905.1,1183
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.145,0.078,0.184,0.055
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,13.63,43,0.000000,0.000000,0.000000,0.000000,2.271,4.150,0.453,,0.266,0.0500,4.997,0.802,1488,0.091,1.144,,169.8,2.310,4.047,0.004201,0.009329,0.0102,0.450,,12,0.0564,2.310,36,0.000718,4.021
,2,22,12:08,728,14.94,48,9.429,9.886,65.29,0.0482,2.491,4.359,0.429,0.105,0.309,0.0493,4.928,0.696,1680,0.039,1.089,,40.20,2.520,4.247,0.0274,0.0331,0.0430,0.827,,13,0.0537,2.520,36,-0.000066,4.250
,3,49,13:11,791,15.14,49,21.17,21.32,141.8,0.108,2.523,4.443,0.432,0.106,0.159,0.0480,4.804,0.744,1552,0.020,1.069,,36.60,2.565,4.349,0.0358,0.0331,0.0488,1.079,,13,0.0609,2.565,36,0.001706,4.288
,4,81,14:14,854,15.78,50,33.45,33.92,234.4,0.171,2.629,4.479,0.413,0.149,0.259,0.0480,4.805,0.680,1680,0.011,1.060,,37.23,2.662,4.381,0.0221,0.0405,0.0462,0.545,,15,0.0537,2.662,36,0.000875,4.349
,5,118,15:17,917,16.08,51,47.75,47.32,367.8,0.244,2.679,4.501,0.405,0.168,0.224,0.0518,5.176,0.615,1501,0.006,1.055,,39.65,2.724,4.392,0.0307,0.0288,0.0421,1.063,,14,0.0574,2.724,36,0.000397,4.378
,6,163,16:20,980,16.53,51,63.86,62.07,482.4,0.327,2.755,4.529,0.392,0.198,0.209,0.0491,4.914,0.718,1552,0.000,1.048,,29.13,2.771,4.426,0.0477,0.0308,0.0568,1.549,,13,0.0564,2.771,36,0.000191,4.419
,7,216,17:24,1044,17.46,51,75.63,77.48,634.0,0.387,2.909,4.477,0.350,0.279,0.272,0.0487,4.874,0.669,1437,0.012,1.060,,30.35,2.902,4.429,0.0385,0.0324,0.0503,1.187,,12,0.0500,2.902,36,0.001765,4.365
,8,279,18:27,1107,17.56,52,95.62,93.39,818.9,0.489,2.926,4.452,0.343,0.292,0.299,0.0487,4.874,0.609,1437,0.017,1.066,,34.34,2.904,4.370,0.0297,0.0307,0.0427,0.969,,14,0.0515,2.904,36,0.000319,4.358
,9,353,19:30,1170,18.07,51,108.5,109.2,1031,0.555,3.011,4.347,0.307,0.357,0.266,0.0485,4.850,0.670,1309,0.042,1.092,,27.11,3.008,4.278,0.0337,0.0325,0.0468,1.036,,12,0.0440,3.008,36,0.000577,4.257
,10,442,20:33,1233,18.34,51,124.2,123.3,1271,0.635,3.056,4.251,0.281,0.405,0.260,0.0478,4.776,0.686,1232,0.065,1.117,,24.40,3.025,4.198,0.0362,0.0316,0.0480,1.143,,12,0.0413,3.025,36,0.000589,4.176
,11,547,21:36,1296,18.43,51,138.5,133.1,1576,0.708,3.071,4.112,0.253,0.455,0.283,0.0479,4.786,0.700,1181,0.101,1.154,,18.24,3.059,4.072,0.0370,0.0414,0.0555,0.894,,12,0.0337,3.059,36,0.001038,4.034
,12,671,22:39,1359,17.65,50,159.7,140.9,1998,0.817,2.942,3.861,0.238,0.469,0.136,0.0494,4.944,0.618,1117,0.173,1.230,,16.09,2.944,3.828,0.0285,0.0470,0.0549,0.606,,14,0.0323,2.944,36,0.000930,3.794
,13,819,23:42,1422,17.12,48,158.8,146.5,2221,0.812,2.854,3.540,0.194,0.546,0.264,0.0450,4.502,0.774,1283,0.279,1.341,,13.53,2.839,3.499,0.0370,0.0317,0.0487,1.166,,20,0.0203,2.839,36,0.000332,3.487
,14,995,24:45,1485,15.90,45,159.3,149.6,3182,0.815,2.649,3.154,0.160,0.599,0.206,0.0531,5.311,0.664,835.2,0.436,1.505,,13.83,2.644,3.137,0.0215,0.0284,0.0356,0.757,,15,0.0188,2.644,36,0.000705,3.111
,15,1204,25:48,1548,14.50,43,163.4,150.2,4493,0.836,2.417,2.797,0.136,0.634,0.189,0.0620,6.197,0.410,400.0,0.619,1.697,,6.979,2.423,2.786,0.0376,0.0359,0.0520,1.045,,14,0.0144,2.423,36,0.000766,2.759
,16,1451,26:51,1611,13.03,42,174.1,148.7,,0.890,2.171,2.467,0.120,0.649,,,,,,0.836,1.924,,4.460,2.171,2.467,0.0464,0.0475,0.0664,0.977,,12,0.0108,2.171,36,0.000015,2.467
,17,1745,27:54,1674,11.87,41,160.8,145.7,,0.822,1.978,2.179,0.092,0.707,,,,,,1.079,2.178,,3.755,1.978,2.179,0.0342,0.0411,0.0535,0.832,,13,0.005407,1.978,36,-0.000557,2.199
,18,2094,28:57,1737,11.45,42,96.84,141.7,,0.495,1.909,2.002,0.046,0.844,,,,,,1.263,2.372,,1.571,1.909,2.002,0.0447,0.0384,0.0589,1.165,,13,0.005147,1.909,36,-0.000804,2.031
,19,2508,30:00,1800,10.81,44,164.0,137.5,,0.839,1.802,1.928,0.065,0.773,,,,,,1.350,2.463,,2.237,1.802,1.928,0.0315,0.0467,0.0564,0.675,,28,0.003598,1.802,36,-0.000897,1.960
,20,3000,31:03,1863,10.46,47,190.7,133.6,,0.975,1.744,1.862,0.064,0.774,,,,,,1.432,2.549,,2.396,1.744,1.862,0.0359,0.0340,0.0494,1.056,,29,0.003153,1.744,36,-0.001119,1.902
,21,0,32:06,1926,11.03,26,0.000000,0.000000,0.000000,0.000000,1.839,3.007,0.388,,0.227,0.0491,4.911,0.837,1283,0.506,1.579,,84.86,1.872,2.953,0.007795,0.0101,0.0127,0.773,,12,0.0347,1.872,36,0.000589,2.932
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,13.63,54,0.000000,0.000000,0.000000,0.000000,1.940,3.543,0.452,,0.329,0.0602,4.012,0.799,1411,0.086,1.191,,174.7,1.964,3.448,0.003556,0.007709,0.008490,0.461,,12,0.0562,1.964,36,-0.000274,3.457
,2,22,12:08,728,14.94,59,9.703,9.942,52.02,0.0424,2.077,3.716,0.441,0.058,0.296,0.0589,3.927,0.730,1680,0.036,1.136,,42.92,2.108,3.614,0.0239,0.0256,0.0351,0.934,,12,0.0563,2.108,36,0.000050,3.612
,3,49,13:11,791,15.14,60,21.31,21.49,116.2,0.0932,2.137,3.782,0.435,0.080,0.263,0.0591,3.938,0.678,1552,0.018,1.116,,43.27,2.184,3.659,0.0194,0.0281,0.0341,0.690,,12,0.0555,2.184,36,-0.000514,3.677
,4,81,14:14,854,15.78,61,34.78,34.30,194.0,0.152,2.170,3.802,0.429,0.094,0.229,0.0597,3.978,0.734,1552,0.012,1.110,,40.86,2.214,3.710,0.0202,0.0305,0.0366,0.663,,14,0.0579,2.214,36,0.000112,3.706
,5,118,15:17,917,16.08,62,47.60,48.01,264.5,0.208,2.296,3.849,0.403,0.154,0.236,0.0558,3.722,0.728,1488,0.000,1.097,,45.91,2.312,3.753,0.0193,0.0248,0.0314,0.777,,13,0.0553,2.312,36,0.000541,3.734
,6,163,16:20,980,16.53,62,64.44,63.23,376.0,0.282,2.323,3.841,0.395,0.170,0.176,0.0575,3.830,0.725,1437,0.002,1.099,,31.57,2.386,3.736,0.0283,0.0321,0.0428,0.883,,12,0.0508,2.386,36,-0.000008,3.736
,7,216,17:24,1044,17.46,63,79.77,79.28,479.9,0.349,2.409,3.820,0.369,0.223,0.166,0.0553,3.689,0.724,1360,0.007,1.105,,37.02,2.431,3.732,0.0192,0.0295,0.0352,0.650,,12,0.0499,2.431,36,0.000908,3.700
,8,279,18:27,1107,17.56,63,100.6,96.04,682.6,0.440,2.413,3.773,0.360,0.236,0.140,0.0609,4.063,0.762,1232,0.020,1.119,,33.41,2.464,3.680,0.0210,0.0297,0.0364,0.707,,12,0.0499,2.464,36,-0.000138,3.685
,9,353,19:30,1170,18.07,63,117.6,112.9,810.7,0.514,2.478,3.716,0.333,0.289,0.159,0.0572,3.814,0.805,1283,0.036,1.136,,36.17,2.511,3.628,0.0151,0.0269,0.0309,0.563,,14,0.0442,2.511,36,0.000404,3.613
,10,442,20:33,1233,18.34,62,128.5,129.8,1040,0.562,2.555,3.602,0.291,0.368,0.250,0.0586,3.906,0.706,1168,0.068,1.172,,26.12,2.550,3.539,0.0273,0.0262,0.0379,1.043,,12,0.0409,2.550,36,0.000087,3.536
,11,547,21:36,1296,18.43,61,142.7,140.1,1187,0.624,2.581,3.491,0.261,0.424,0.220,0.0540,3.602,0.818,1168,0.102,1.209,,26.32,2.570,3.431,0.0190,0.0266,0.0327,0.714,,13,0.0340,2.570,36,-0.000230,3.440
,12,671,22:39,1359,17.65,59,148.1,149.4,1458,0.647,2.536,3.254,0.221,0.493,0.204,0.0541,3.608,0.885,988.8,0.183,1.297,,22.13,2.523,3.228,0.0117,0.0296,0.0319,0.396,,14,0.0268,2.523,36,0.000732,3.202
,13,819,23:42,1422,17.12,57,153.7,157.8,1719,0.672,2.415,2.973,0.188,0.546,0.242,0.0523,3.485,0.832,963.2,0.294,1.420,,14.44,2.409,2.948,0.0256,0.0272,0.0373,0.943,,13,0.0199,2.409,36,0.000281,2.938
