File path:,
File note:,
File date:,25/06/17
File time:,11:20:19
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.458,0.476,0.465,0.471
Ek:,437.2,396.8,434.8,415.1
Pm:,172.5,141.4,127.8,162.8
Em:,1570,922.8,,1230
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.108,0.152,0.055,0.107
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,14.72,46,0.000000,0.000000,0.000000,0.000000,2.453,4.462,0.450,,0.303,0.0508,5.078,0.778,1488,0.095,1.271,,147.8,2.487,4.359,0.007327,0.0103,0.0127,0.708,,12,0.0604,2.487,36,0.000560,4.339
,2,22,12:08,728,16.05,51,9.395,9.832,64.36,0.0522,2.674,4.668,0.427,0.054,0.321,0.0486,4.858,0.695,1757,0.046,1.215,,38.44,2.662,4.602,0.0316,0.0394,0.0505,0.802,,12,0.0613,2.662,36,0.001987,4.530
,3,49,13:11,791,16.46,52,20.97,21.24,144.8,0.116,2.743,4.794,0.428,0.066,0.230,0.0491,4.907,0.717,1629,0.019,1.183,,41.44,2.777,4.675,0.0227,0.0398,0.0458,0.571,,12,0.0623,2.777,36,0.000688,4.651
,4,81,14:14,854,16.91,53,33.86,33.88,239.6,0.188,2.818,4.842,0.418,0.092,0.204,0.0491,4.912,0.731,1629,0.009,1.171,,41.45,2.862,4.739,0.0342,0.0296,0.0453,1.155,,13,0.0614,2.862,36,0.001348,4.690
,5,118,15:17,917,17.68,54,46.62,47.39,356.9,0.259,2.947,4.871,0.395,0.145,0.340,0.0502,5.022,0.604,1680,0.003,1.164,,39.41,2.930,4.781,0.0311,0.0352,0.0470,0.882,,15,0.0610,2.930,36,0.001047,4.743
,6,163,16:21,981,17.75,54,64.30,62.35,499.3,0.357,2.958,4.885,0.394,0.148,0.177,0.0509,5.086,0.685,1437,0.000,1.161,,42.49,3.001,4.799,0.0244,0.0346,0.0423,0.707,,14,0.0619,3.001,36,0.000931,4.766
,7,216,17:24,1044,18.26,55,81.22,78.10,643.5,0.451,3.043,4.877,0.376,0.187,0.122,0.0495,4.947,0.750,1360,0.002,1.163,,38.21,3.087,4.768,0.0285,0.0335,0.0440,0.852,,13,0.0612,3.087,36,0.000679,4.744
,8,279,18:26,1106,19.26,54,93.20,94.51,830.3,0.518,3.211,4.821,0.334,0.273,0.288,0.0494,4.942,0.710,1360,0.013,1.176,,31.49,3.170,4.749,0.0268,0.0424,0.0501,0.631,,12,0.0579,3.170,36,0.001099,4.710
,9,353,19:29,1169,19.53,54,106.9,111.0,1079,0.593,3.254,4.667,0.303,0.329,0.266,0.0507,5.075,0.638,1309,0.047,1.215,,27.63,3.228,4.626,0.0390,0.0323,0.0506,1.208,,12,0.0505,3.228,36,0.001418,4.575
,10,442,20:33,1233,19.43,54,129.5,127.3,1421,0.719,3.238,4.579,0.293,0.344,0.247,0.0534,5.340,0.741,1117,0.067,1.239,,28.02,3.251,4.506,0.0147,0.0423,0.0448,0.348,,12,0.0445,3.251,36,-0.000075,4.509
,11,547,21:36,1296,19.34,52,142.0,140.0,1690,0.789,3.223,4.354,0.260,0.402,0.268,0.0513,5.132,0.675,1283,0.122,1.303,,20.53,3.213,4.306,0.0349,0.0402,0.0533,0.866,,13,0.0391,3.213,36,0.000378,4.293
,12,671,22:39,1359,18.97,51,150.7,150.9,2112,0.837,3.161,4.077,0.225,0.463,0.282,0.0523,5.227,0.628,1117,0.198,1.391,,16.87,3.169,4.038,0.0377,0.0352,0.0515,1.071,,17,0.0289,3.169,36,0.000283,4.028
,13,819,23:42,1422,17.97,49,159.6,159.9,2412,0.886,2.995,3.720,0.195,0.508,0.251,0.0489,4.891,0.448,988.8,0.313,1.525,,11.66,2.983,3.691,0.0515,0.0322,0.0607,1.598,,12,0.0259,2.983,36,0.000595,3.669
