File path:,
File note:,
File date:,26/06/17
File time:,11:02:13
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.470,0.485,0.477,0.483
Ek:,475.4,447.9,472.5,463.9
Pm:,165.5,168.8,142.5,180.8
Em:,1083,1131,,1600
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.159,0.091,0.080,0.045
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,15.21,48,0.000000,0.000000,0.000000,0.000000,2.535,4.720,0.463,,0.366,0.0618,6.181,0.744,1552,0.101,1.151,,178.0,2.568,4.580,0.007001,0.008878,0.0113,0.789,,12,0.0755,2.568,36,-0.000046,4.582
,2,22,12:08,728,16.06,53,10.08,10.09,79.14,0.0563,2.676,4.939,0.458,0.038,0.321,0.0597,5.974,0.702,1731,0.052,1.100,,39.53,2.731,4.794,0.0326,0.0408,0.0522,0.799,,12,0.0771,2.731,36,0.000010,4.794
,3,49,13:11,791,17.09,55,21.44,21.86,175.1,0.120,2.848,5.062,0.437,0.093,0.362,0.0594,5.935,0.615,1757,0.027,1.073,,37.26,2.889,4.907,0.0385,0.0381,0.0542,1.009,,14,0.0736,2.889,36,-0.000191,4.914
,4,81,14:14,854,17.53,56,34.55,34.97,295.6,0.193,2.922,5.095,0.427,0.119,0.309,0.0606,6.061,0.639,1757,0.020,1.066,,38.86,3.006,4.973,0.0410,0.0298,0.0506,1.376,,14,0.0711,3.006,36,0.000289,4.963
,5,118,15:17,917,18.22,57,48.45,49.06,422.9,0.271,3.037,5.154,0.411,0.157,0.292,0.0595,5.952,0.614,1680,0.009,1.054,,50.53,3.072,5.013,0.0225,0.0312,0.0384,0.721,,15,0.0722,3.072,36,-0.000525,5.032
,6,163,16:20,980,18.58,58,65.91,64.79,565.4,0.368,3.096,5.198,0.404,0.173,0.203,0.0576,5.760,0.666,1680,0.000,1.045,,34.73,3.136,5.091,0.0420,0.0374,0.0563,1.123,,12,0.0761,3.136,36,0.001466,5.038
,7,216,17:23,1043,18.59,57,86.96,81.50,758.3,0.486,3.098,5.186,0.403,0.176,0.164,0.0583,5.830,0.667,1629,0.002,1.047,,36.11,3.169,5.055,0.0321,0.0412,0.0522,0.781,,12,0.0747,3.169,36,0.000840,5.024
,8,279,18:26,1106,19.50,57,100.0,99.09,949.1,0.559,3.250,5.066,0.358,0.257,0.307,0.0565,5.649,0.593,1731,0.026,1.072,,35.70,3.217,4.978,0.0362,0.0336,0.0493,1.077,,12,0.0688,3.217,36,0.001311,4.931
,9,353,19:29,1169,19.81,56,114.6,117.0,1257,0.640,3.302,4.888,0.325,0.315,0.292,0.0591,5.915,0.618,1539,0.063,1.111,,28.71,3.294,4.829,0.0398,0.0358,0.0535,1.111,,13,0.0590,3.294,36,0.001463,4.777
,10,442,20:33,1233,19.76,55,135.4,135.1,1496,0.756,3.294,4.749,0.306,0.343,0.261,0.0562,5.622,0.637,1309,0.095,1.144,,32.38,3.293,4.657,0.0137,0.0398,0.0421,0.343,,12,0.0521,3.293,36,-0.000012,4.657
