File path:,
File note:,
File date:,27/06/17
File time:,17:43:09
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.527,0.516,0.514,0.533
Ek:,444.9,474.9,481.7,415.5
Pm:,178.7,171.2,170.6,166.2
Em:,1078,939.6,914.6,974.3
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.032,0.074,0.061,0.047
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,65.36,30,0.000000,0.000000,0.000000,0.000000,10.89,22.18,0.509,,0.501,0.0694,6.942,0.730,1680,0.063,0.953,,250.0,10.68,21.10,0.0337,0.0245,0.0417,1.376,,14,0.432,10.68,36,-0.009922,21.46
,2,22,12:06,726,68.45,32,11.02,11.31,89.96,0.241,11.41,22.87,0.501,0.036,0.446,0.0679,6.790,0.671,1923,0.031,0.924,,86.17,11.39,21.82,0.0939,0.0763,0.121,1.231,,14,0.430,11.39,36,-0.008039,22.11
,3,49,13:09,789,71.93,34,23.93,24.45,202.9,0.522,11.99,23.43,0.488,0.071,0.435,0.0687,6.875,0.637,1949,0.006,0.902,,80.82,11.99,22.39,0.0907,0.0912,0.129,0.995,,13,0.432,11.99,36,-0.007636,22.67
,4,81,14:13,853,72.18,34,39.42,39.02,347.3,0.860,12.03,23.44,0.487,0.075,0.384,0.0712,7.120,0.663,1757,0.006,0.902,,89.57,12.37,22.43,0.0692,0.0886,0.112,0.781,,12,0.428,12.37,36,-0.009323,22.77
,5,118,15:16,916,75.17,34,55.27,54.61,499.1,1.206,12.53,23.57,0.468,0.112,0.377,0.0702,7.024,0.649,1731,0.000,0.897,,86.82,12.74,22.57,0.0791,0.0811,0.113,0.976,,12,0.422,12.74,36,-0.005146,22.75
,6,163,16:19,979,76.79,34,73.83,71.91,696.8,1.611,12.80,23.40,0.453,0.138,0.321,0.0710,7.099,0.658,1603,0.007,0.903,,74.39,13.15,22.55,0.0877,0.0910,0.126,0.964,,12,0.413,13.15,36,-0.003120,22.66
,7,216,17:22,1042,80.59,34,90.96,90.16,910.7,1.985,13.43,23.20,0.421,0.195,0.347,0.0700,7.001,0.658,1552,0.016,0.911,,80.17,13.62,22.40,0.0555,0.0944,0.109,0.588,,12,0.384,13.62,36,-0.003657,22.53
,8,279,18:25,1105,82.45,33,111.9,109.2,1191,2.442,13.74,22.94,0.401,0.230,0.299,0.0709,7.087,0.646,1411,0.027,0.921,,73.63,14.01,22.18,0.0849,0.0714,0.111,1.189,,13,0.360,14.01,36,-0.003859,22.32
,9,353,19:28,1168,84.85,33,131.8,128.4,1482,2.876,14.14,22.57,0.373,0.277,0.222,0.0697,6.969,0.694,1309,0.044,0.936,,54.32,14.48,21.85,0.0923,0.0994,0.136,0.929,,12,0.330,14.48,36,-0.003611,21.98
,10,442,20:31,1231,86.05,32,151.9,147.6,1809,3.315,14.34,21.85,0.344,0.324,0.158,0.0680,6.795,0.748,1232,0.079,0.967,,54.41,14.72,21.25,0.0875,0.0820,0.120,1.066,,12,0.286,14.72,36,-0.001223,21.29
