File path:,
File note:,
File date:,29/06/17
File time:,04:10:42
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.477,0.481,0.483,0.495
Ek:,322.2,328.2,317.4,318.1
Pm:,121.3,123.3,118.6,127.8
Em:,842.3,839.0,809.0,1067
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.070,0.100,0.097,0.066
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,31.58,51,0.000000,0.000000,0.000000,0.000000,5.264,9.811,0.463,,0.337,0.0528,5.276,0.733,1731,0.118,1.092,,218.0,5.348,9.587,0.0117,0.0155,0.0194,0.758,,13,0.139,5.348,36,0.000848,9.556
,2,22,12:08,728,34.86,59,9.905,10.14,68.18,0.115,5.811,10.57,0.450,0.093,0.303,0.0515,5.146,0.641,1923,0.038,1.014,,66.12,5.914,10.34,0.0440,0.0504,0.0669,0.872,,14,0.143,5.914,36,0.002425,10.25
,3,49,13:11,791,36.37,61,21.63,21.68,148.0,0.250,6.061,10.85,0.441,0.123,0.226,0.0502,5.016,0.662,1872,0.011,0.987,,57.73,6.125,10.59,0.0653,0.0416,0.0774,1.568,,12,0.154,6.125,36,0.001898,10.53
,4,81,14:14,854,38.09,62,34.14,34.16,248.9,0.395,6.348,10.97,0.422,0.167,0.247,0.0510,5.104,0.678,1872,0.000,0.976,,49.30,6.454,10.72,0.0584,0.0639,0.0866,0.915,,12,0.144,6.454,36,0.001385,10.67
,5,118,15:17,917,39.08,62,47.81,47.12,358.3,0.554,6.514,10.95,0.405,0.198,0.213,0.0504,5.042,0.682,1808,0.002,0.978,,52.83,6.636,10.70,0.0519,0.0568,0.0769,0.914,,15,0.134,6.636,36,0.002318,10.62
,6,163,16:20,980,40.17,62,62.55,61.01,483.6,0.724,6.695,10.87,0.384,0.238,0.176,0.0493,4.927,0.686,1757,0.010,0.986,,51.71,6.807,10.60,0.0469,0.0564,0.0734,0.830,,12,0.128,6.807,36,0.001198,10.56
,7,216,17:23,1043,40.90,62,79.13,75.06,644.7,0.916,6.817,10.76,0.366,0.269,0.083,0.0496,4.956,0.702,1501,0.020,0.996,,45.23,6.958,10.52,0.0546,0.0567,0.0787,0.964,,13,0.124,6.958,36,0.002270,10.44
,8,279,18:27,1107,43.08,62,87.60,89.02,859.0,1.014,7.181,10.47,0.314,0.365,0.273,0.0511,5.113,0.622,1488,0.048,1.024,,37.72,7.167,10.37,0.0639,0.0560,0.0849,1.142,,14,0.109,7.167,36,0.003164,10.26
,9,353,19:30,1170,43.72,60,100.5,100.9,1073,1.163,7.287,10.19,0.285,0.416,0.269,0.0505,5.048,0.622,1488,0.077,1.052,,32.89,7.251,10.02,0.0470,0.0700,0.0843,0.671,,12,0.100,7.251,36,0.000458,10.01
,10,442,20:33,1233,44.29,60,111.8,109.3,1244,1.294,7.381,9.880,0.253,0.473,0.235,0.0467,4.675,0.655,1501,0.111,1.084,,22.79,7.338,9.793,0.0800,0.0722,0.108,1.109,,12,0.0849,7.338,36,0.003543,9.665
,11,547,21:36,1296,43.40,58,121.1,115.6,1643,1.402,7.233,9.288,0.221,0.523,0.231,0.0499,4.989,0.654,1168,0.181,1.153,,25.31,7.212,9.218,0.0631,0.0480,0.0792,1.313,,12,0.0728,7.212,36,0.003121,9.106
,12,671,22:39,1359,41.17,54,129.9,119.7,2053,1.504,6.861,8.508,0.194,0.563,0.164,0.0508,5.080,0.665,1117,0.290,1.259,,20.00,6.872,8.425,0.0552,0.0547,0.0777,1.008,,12,0.0590,6.872,36,0.000937,8.392
,13,819,23:42,1422,38.92,51,123.9,121.3,2396,1.434,6.486,7.642,0.151,0.637,0.211,0.0486,4.858,0.548,988.8,0.436,1.402,,15.81,6.482,7.606,0.0507,0.0499,0.0711,1.017,,14,0.0392,6.482,36,0.001318,7.559
,14,995,24:45,1485,37.40,49,122.2,120.4,1137,1.415,6.233,7.106,0.123,0.692,0.018,0.0190,1.898,1.000,860.8,0.544,1.508,,10.06,6.053,6.917,0.0599,0.0616,0.0859,0.972,,19,0.0263,6.053,36,0.001475,6.864
,15,1204,25:48,1548,33.28,46,151.9,117.5,3243,1.759,5.546,6.346,0.126,0.661,0.020,0.0447,4.473,0.496,1411,0.729,1.688,,10.61,5.601,6.357,0.0433,0.0566,0.0713,0.764,,12,0.0272,5.601,36,0.003147,6.244
,16,1451,26:51,1611,32.31,45,109.5,112.9,,1.268,5.386,5.825,0.075,0.786,,,,,,0.884,1.839,,4.825,5.386,5.825,0.0677,0.0610,0.0911,1.111,,12,0.0165,5.386,36,0.001235,5.781
,17,1745,27:54,1674,30.87,44,102.8,107.2,,1.190,5.146,5.468,0.059,0.826,,,,,,1.007,1.959,,4.101,5.146,5.468,0.0552,0.0559,0.0785,0.988,,23,0.0113,5.146,36,-0.000337,5.480
