File path:,
File note:,
File date:,29/06/17
File time:,09:41:48
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.466,0.481,0.478,0.489
Ek:,331.3,324.0,313.7,334.6
Pm:,125.9,113.0,126.4,126.3
Em:,931.4,702.0,1052,833.8
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.078,0.215,0.099,0.105
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,29.65,47,0.000000,0.000000,0.000000,0.000000,4.942,9.201,0.463,,0.336,0.0528,5.284,0.723,1731,0.114,1.131,,194.3,5.021,8.996,0.0113,0.0171,0.0205,0.663,,12,0.130,5.021,36,0.001130,8.955
,2,22,12:08,728,33.19,56,9.723,9.922,67.36,0.106,5.531,9.911,0.442,0.094,0.321,0.0508,5.084,0.647,1949,0.034,1.050,,51.72,5.576,9.693,0.0567,0.0558,0.0796,1.016,,13,0.133,5.576,36,0.001529,9.638
,3,49,13:11,791,34.24,58,21.38,21.23,151.8,0.233,5.707,10.13,0.436,0.115,0.275,0.0514,5.143,0.634,1949,0.013,1.028,,60.84,5.781,9.908,0.0466,0.0494,0.0678,0.943,,15,0.138,5.781,36,0.002000,9.836
,4,81,14:14,854,36.35,59,33.11,33.49,241.7,0.360,6.059,10.25,0.409,0.176,0.280,0.0495,4.955,0.594,2000,0.001,1.016,,55.31,6.050,10.06,0.0505,0.0521,0.0726,0.969,,12,0.135,6.050,36,0.003154,9.951
,5,118,15:17,917,37.53,59,45.83,46.27,363.7,0.499,6.255,10.23,0.388,0.216,0.339,0.0512,5.118,0.597,2051,0.002,1.017,,47.75,6.210,10.04,0.0592,0.0541,0.0802,1.094,,13,0.131,6.210,36,0.002396,9.952
,6,163,16:20,980,37.86,59,62.69,60.01,485.3,0.682,6.310,10.25,0.385,0.225,0.156,0.0494,4.944,0.666,1680,0.000,1.015,,45.29,6.412,10.02,0.0479,0.0635,0.0796,0.755,,12,0.124,6.412,36,0.001642,9.958
,7,216,17:23,1043,38.37,58,77.63,73.97,685.8,0.845,6.395,9.983,0.359,0.266,0.137,0.0527,5.273,0.698,1552,0.027,1.042,,49.64,6.513,9.818,0.0379,0.0548,0.0666,0.692,,12,0.119,6.513,36,0.001893,9.750
,8,279,18:27,1107,39.82,58,88.80,87.90,787.9,0.967,6.637,9.736,0.318,0.342,0.089,0.0469,4.689,0.699,1411,0.053,1.069,,52.21,6.684,9.524,0.0320,0.0440,0.0544,0.727,,15,0.0961,6.684,36,0.001539,9.468
,9,353,19:30,1170,40.28,56,97.59,100.4,1044,1.062,6.713,9.278,0.276,0.413,0.286,0.0491,4.911,0.548,1552,0.105,1.122,,37.82,6.674,9.184,0.0469,0.0470,0.0664,0.998,,15,0.0846,6.674,36,0.002693,9.087
,10,442,20:32,1232,39.80,56,110.4,109.8,1258,1.201,6.634,8.842,0.250,0.456,0.257,0.0473,4.727,0.610,1488,0.160,1.177,,33.06,6.611,8.758,0.0396,0.0515,0.0650,0.768,,12,0.0747,6.611,36,0.003346,8.638
,11,547,21:36,1296,38.31,52,119.2,117.3,1641,1.297,6.385,8.164,0.218,0.504,0.287,0.0498,4.983,0.612,1411,0.256,1.275,,26.06,6.329,8.101,0.0439,0.0519,0.0680,0.845,,12,0.0666,6.329,36,0.001622,8.043
,12,671,22:39,1359,35.92,50,128.2,122.5,1937,1.395,5.987,7.401,0.191,0.540,0.153,0.0479,4.793,0.698,1232,0.385,1.406,,20.38,6.018,7.363,0.0476,0.0457,0.0660,1.040,,16,0.0438,6.018,36,0.002102,7.287
,13,819,23:42,1422,33.02,46,134.5,125.4,2307,1.464,5.503,6.584,0.164,0.576,0.134,0.0468,4.678,0.714,1040,0.557,1.580,,14.03,5.530,6.509,0.0418,0.0559,0.0698,0.747,,14,0.0326,5.530,36,-0.000587,6.530
,14,995,24:45,1485,30.93,44,128.5,125.8,2482,1.399,5.155,5.920,0.129,0.644,0.187,0.0414,4.142,0.805,1117,0.732,1.758,,11.71,5.150,5.904,0.0451,0.0460,0.0644,0.979,,12,0.0240,5.150,36,0.001310,5.857
,15,1204,25:48,1548,28.29,43,151.8,123.9,2606,1.653,4.716,5.396,0.126,0.631,0.182,0.0359,3.594,0.870,1872,0.900,1.928,,9.461,4.732,5.346,0.0431,0.0484,0.0648,0.890,,17,0.0161,4.732,36,-0.001250,5.391
,16,1451,26:51,1611,27.42,43,124.1,120.2,,1.350,4.570,4.997,0.085,0.736,,,,,,1.052,2.082,,5.605,4.570,4.997,0.0531,0.0547,0.0762,0.970,,21,0.009048,4.570,36,0.001255,4.952
,17,1745,27:54,1674,25.90,42,110.2,115.2,,1.200,4.317,4.608,0.063,0.794,,,,,,1.225,2.258,,4.502,4.317,4.608,0.0263,0.0591,0.0647,0.445,,13,0.0175,4.317,36,-0.002192,4.687
,18,2094,28:57,1737,26.06,43,88.49,109.4,,0.963,4.343,4.535,0.042,0.861,,,,,,1.261,2.295,,2.073,4.343,4.535,0.0693,0.0612,0.0925,1.131,,25,0.006506,4.343,36,-0.000565,4.555
,19,2508,30:00,1800,24.73,46,114.2,103.2,,1.242,4.122,4.319,0.046,0.845,,,,,,1.374,2.410,,2.177,4.122,4.319,0.0741,0.0516,0.0903,1.435,,21,0.006774,4.122,36,-0.000715,4.344
,20,3000,31:03,1863,24.36,48,96.00,97.04,,1.045,4.060,4.194,0.032,0.889,,,,,,1.445,2.481,,2.070,4.060,4.194,0.0405,0.0506,0.0648,0.800,,13,0.0134,4.060,36,-0.001681,4.254
,21,0,32:06,1926,24.05,31,0.000000,0.000000,0.000000,0.000000,4.009,6.514,0.385,,0.251,0.0509,5.088,0.775,1411,0.574,1.597,,121.3,4.079,6.395,0.0119,0.0149,0.0191,0.794,,12,0.0746,4.079,36,0.000855,6.364
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,29.65,59,0.000000,0.000000,0.000000,0.000000,4.183,7.904,0.471,,0.360,0.0629,4.190,0.733,1731,0.104,1.059,,260.6,4.244,7.648,0.008245,0.0101,0.0131,0.813,,12,0.132,4.244,36,-0.000889,7.680
,2,22,12:08,728,33.19,69,9.957,10.23,53.59,0.0902,4.640,8.476,0.453,0.100,0.329,0.0607,4.045,0.657,1923,0.030,0.988,,52.33,4.708,8.200,0.0534,0.0400,0.0667,1.337,,12,0.133,4.708,36,-0.000748,8.227
,3,49,13:11,791,34.24,71,22.03,21.87,118.7,0.200,4.757,8.644,0.450,0.115,0.262,0.0603,4.021,0.663,1923,0.010,0.969,,74.01,4.853,8.355,0.0333,0.0336,0.0473,0.992,,12,0.137,4.853,36,-0.001459,8.408
,4,81,14:14,854,36.35,73,34.69,34.46,195.6,0.314,4.990,8.728,0.428,0.161,0.251,0.0602,4.011,0.671,1821,0.000,0.959,,60.44,5.061,8.469,0.0256,0.0503,0.0564,0.509,,13,0.135,5.061,36,-0.000493,8.487
,5,118,15:17,917,37.53,73,48.09,47.56,287.8,0.436,5.153,8.698,0.408,0.200,0.244,0.0607,4.050,0.646,1731,0.003,0.963,,46.28,5.268,8.496,0.0515,0.0470,0.0697,1.096,,12,0.125,5.268,36,0.000329,8.484
,6,163,16:20,980,37.86,73,62.73,61.60,411.0,0.568,5.305,8.624,0.385,0.241,0.234,0.0628,4.187,0.620,1680,0.012,0.971,,52.32,5.405,8.417,0.0435,0.0377,0.0576,1.152,,12,0.123,5.405,36,0.000226,8.409
,7,216,17:23,1043,38.37,73,77.97,75.81,501.7,0.706,5.448,8.526,0.361,0.284,0.150,0.0578,3.857,0.670,1603,0.024,0.982,,47.45,5.534,8.314,0.0349,0.0471,0.0586,0.740,,12,0.111,5.534,36,0.000958,8.280
,8,279,18:27,1107,39.82,71,88.38,89.95,661.7,0.801,5.601,8.197,0.317,0.360,0.276,0.0591,3.939,0.638,1603,0.065,1.022,,53.89,5.565,8.106,0.0224,0.0415,0.0472,0.540,,12,0.100,5.565,36,0.002101,8.030
,9,353,19:30,1170,40.28,70,101.8,101.2,802.9,0.922,5.615,7.889,0.288,0.406,0.246,0.0567,3.777,0.566,1552,0.106,1.061,,36.88,5.618,7.763,0.0406,0.0416,0.0582,0.976,,12,0.0853,5.618,36,0.000931,7.730
,10,442,20:32,1232,39.80,66,116.5,107.2,1038,1.055,5.510,7.482,0.264,0.441,0.222,0.0585,3.900,0.650,1360,0.167,1.119,,32.71,5.526,7.360,0.0431,0.0359,0.0561,1.201,,12,0.0732,5.526,36,0.000735,7.334
