File path:,
File note:,
File date:,29/06/17
File time:,13:24:26
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.477,0.482,0.483,0.489
Ek:,308.0,324.2,317.2,325.0
Pm:,122.6,131.1,128.4,127.3
Em:,915.2,1009,1078,878.8
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.084,0.092,0.060,0.068
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,44.54,46,0.000000,0.000000,0.000000,0.000000,7.423,13.81,0.463,,0.336,0.0515,5.147,0.668,1872,0.141,1.181,,209.3,7.540,13.50,0.0188,0.0213,0.0285,0.883,,14,0.187,7.540,36,0.001114,13.46
,2,22,12:08,728,50.25,54,9.900,10.12,66.72,0.162,8.375,15.23,0.450,0.068,0.314,0.0504,5.036,0.614,2243,0.035,1.071,,72.64,8.472,14.88,0.0459,0.0754,0.0882,0.609,,12,0.209,8.472,36,0.001444,14.83
,3,49,13:11,791,52.47,56,21.39,21.59,147.1,0.350,8.745,15.52,0.437,0.105,0.274,0.0498,4.984,0.602,2128,0.015,1.051,,64.40,8.864,15.18,0.0654,0.0730,0.0980,0.896,,12,0.207,8.864,36,0.002807,15.07
,4,81,14:14,854,53.91,57,34.45,33.95,253.1,0.564,8.985,15.63,0.425,0.131,0.279,0.0519,5.188,0.543,2077,0.008,1.043,,54.18,9.195,15.35,0.0724,0.0875,0.114,0.828,,12,0.199,9.195,36,0.003466,15.22
,5,118,15:17,917,56.20,57,47.88,46.73,353.3,0.783,9.367,15.76,0.406,0.174,0.243,0.0497,4.971,0.597,2051,0.000,1.035,,67.12,9.504,15.38,0.0549,0.0682,0.0875,0.805,,12,0.194,9.504,36,0.000373,15.36
,6,163,16:21,981,58.19,57,61.80,60.33,469.2,1.011,9.699,15.62,0.379,0.225,0.152,0.0478,4.780,0.622,1872,0.009,1.044,,54.55,9.848,15.28,0.0705,0.0703,0.0996,1.002,,14,0.179,9.848,36,0.002753,15.18
,7,216,17:24,1044,60.56,57,74.01,74.00,640.6,1.211,10.09,15.35,0.343,0.293,0.295,0.0492,4.925,0.533,1821,0.027,1.062,,45.73,10.03,15.12,0.0808,0.0764,0.111,1.058,,12,0.176,10.03,36,0.003632,14.99
,8,279,18:27,1107,62.17,56,87.68,87.47,835.6,1.434,10.36,15.11,0.314,0.346,0.271,0.0497,4.973,0.570,1680,0.043,1.080,,43.74,10.35,14.85,0.0777,0.0673,0.103,1.153,,14,0.156,10.35,36,0.002059,14.78
,9,353,19:30,1170,63.06,55,99.94,98.77,1009,1.635,10.51,14.66,0.283,0.402,0.245,0.0475,4.746,0.583,1629,0.075,1.113,,36.41,10.46,14.44,0.0850,0.0685,0.109,1.242,,12,0.140,10.46,36,0.002497,14.35
,10,442,20:33,1233,62.37,53,107.6,107.8,1279,1.761,10.39,13.74,0.244,0.467,0.211,0.0480,4.804,0.602,1437,0.147,1.187,,38.97,10.33,13.60,0.0587,0.0596,0.0837,0.985,,13,0.117,10.33,36,0.001995,13.52
,11,547,21:36,1296,59.56,50,117.5,114.9,1620,1.922,9.926,12.64,0.215,0.508,0.273,0.0492,4.919,0.507,1603,0.247,1.290,,32.22,9.917,12.59,0.0571,0.0604,0.0831,0.945,,13,0.0867,9.917,36,0.004064,12.45
,12,671,22:39,1359,56.17,46,123.8,119.7,1872,2.026,9.362,11.48,0.185,0.553,0.240,0.0463,4.632,0.590,1488,0.373,1.421,,39.30,9.349,11.39,0.0233,0.0464,0.0519,0.503,,12,0.0710,9.349,36,0.002905,11.28
