File path:,
File note:,
File date:,29/06/17
File time:,15:14:49
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.455,0.472,0.472,0.484
Ek:,367.0,317.2,310.8,303.8
Pm:,130.6,135.8,119.8,122.3
Em:,938.7,1258,877.0,895.6
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.171,0.055,0.107,0.029
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,42.22,42,0.000000,0.000000,0.000000,0.000000,7.036,12.84,0.452,,0.329,0.0514,5.138,0.674,1808,0.138,1.143,,186.2,7.124,12.55,0.0211,0.0201,0.0291,1.046,,13,0.172,7.124,36,0.000981,12.51
,2,22,12:08,728,47.14,51,9.681,9.721,67.06,0.154,7.857,14.03,0.440,0.100,0.292,0.0506,5.062,0.566,2000,0.041,1.046,,73.55,7.985,13.76,0.0484,0.0618,0.0785,0.784,,12,0.184,7.985,36,0.003383,13.64
,3,49,13:11,791,49.47,53,20.98,20.88,145.5,0.333,8.245,14.42,0.428,0.136,0.250,0.0493,4.931,0.582,2128,0.013,1.018,,66.90,8.364,14.04,0.0418,0.0738,0.0848,0.566,,12,0.185,8.364,36,0.001522,13.99
,4,81,14:15,855,51.32,53,33.36,33.09,238.4,0.529,8.554,14.54,0.412,0.172,0.247,0.0489,4.888,0.586,2077,0.005,1.009,,66.31,8.679,14.20,0.0483,0.0679,0.0833,0.710,,12,0.178,8.679,36,0.002092,14.13
,5,118,15:17,917,52.71,54,47.06,45.94,349.4,0.747,8.784,14.61,0.399,0.201,0.151,0.0492,4.916,0.598,1872,0.000,1.005,,55.50,8.980,14.35,0.0590,0.0768,0.0968,0.769,,13,0.173,8.980,36,0.004199,14.20
,6,163,16:20,980,56.02,54,58.43,59.92,495.4,0.927,9.337,14.55,0.358,0.280,0.309,0.0505,5.047,0.534,2000,0.004,1.009,,53.80,9.336,14.30,0.0725,0.0572,0.0923,1.266,,12,0.167,9.336,36,0.003317,14.18
,7,216,17:23,1043,56.01,54,77.72,74.33,658.8,1.233,9.335,14.58,0.360,0.278,0.120,0.0506,5.065,0.633,1731,0.002,1.007,,63.70,9.521,14.24,0.0333,0.0662,0.0741,0.503,,12,0.170,9.521,36,-0.000277,14.25
,8,279,18:27,1107,59.02,53,86.25,88.95,859.9,1.368,9.837,14.24,0.309,0.372,0.267,0.0512,5.118,0.563,1731,0.026,1.031,,46.84,9.844,14.03,0.0664,0.0597,0.0893,1.113,,12,0.146,9.844,36,0.002502,13.94
,9,353,19:30,1170,60.27,52,95.46,103.2,1091,1.514,10.05,13.77,0.270,0.441,0.298,0.0513,5.131,0.515,1603,0.061,1.066,,43.31,9.988,13.65,0.0635,0.0560,0.0846,1.135,,14,0.132,9.988,36,0.004456,13.49
,10,442,20:33,1233,59.72,51,105.3,113.5,1310,1.671,9.953,13.07,0.238,0.494,0.244,0.0492,4.922,0.494,1437,0.118,1.124,,34.98,9.929,12.92,0.0648,0.0560,0.0856,1.156,,12,0.107,9.929,36,0.002259,12.84
,11,547,21:36,1296,56.78,47,115.2,121.2,1696,1.827,9.463,11.99,0.211,0.532,0.275,0.0515,5.148,0.490,1360,0.219,1.225,,27.40,9.402,11.87,0.0545,0.0716,0.0899,0.761,,12,0.0937,9.402,36,0.001417,11.82
,12,671,22:39,1359,52.92,43,119.8,126.8,1923,1.900,8.819,10.74,0.179,0.577,0.239,0.0476,4.760,0.572,1283,0.361,1.368,,26.16,8.775,10.68,0.0493,0.0535,0.0728,0.922,,12,0.0694,8.775,36,0.002898,10.57
,13,819,23:42,1422,48.44,40,127.4,129.9,2305,2.021,8.074,9.561,0.156,0.606,0.193,0.0467,4.673,0.718,1283,0.528,1.536,,15.23,8.127,9.505,0.0736,0.0526,0.0905,1.400,,12,0.0431,8.127,36,0.001673,9.445
,14,995,24:45,1485,44.56,38,136.4,130.5,2657,2.164,7.427,8.608,0.137,0.629,0.072,0.0443,4.434,0.582,1283,0.697,1.706,,14.57,7.439,8.580,0.0614,0.0487,0.0783,1.261,,15,0.0375,7.439,36,0.001558,8.524
,15,1204,25:48,1548,41.89,36,128.8,128.5,3222,2.044,6.981,7.818,0.107,0.692,0.140,0.0444,4.444,0.596,1040,0.869,1.878,,8.281,7.006,7.741,0.0627,0.0630,0.0889,0.995,,13,0.0240,7.006,36,-0.000951,7.776
,16,1451,26:51,1611,39.45,34,120.6,124.5,4381,1.913,6.575,7.171,0.083,0.747,0.118,0.0501,5.014,0.468,860.8,1.038,2.048,,7.338,6.595,7.175,0.0575,0.0542,0.0790,1.062,,15,0.0181,6.595,36,0.001620,7.117
,17,1745,27:54,1674,38.86,34,388.8,118.9,248.3,6.169,6.476,8.333,0.223,0.385,0.011,0.0024,0.236,0.910,19350,0.753,1.762,,6.297,6.283,6.818,0.0671,0.0522,0.0850,1.286,,18,0.0180,6.283,36,0.002188,6.739
,18,2094,28:57,1737,36.91,34,114.4,112.5,,1.815,6.152,6.508,0.055,0.822,,,,,,1.245,2.256,,4.825,6.152,6.508,0.0471,0.0567,0.0737,0.830,,27,0.009175,6.152,36,0.001162,6.466
,19,2508,30:01,1801,36.05,35,132.4,105.8,,2.100,6.008,6.342,0.053,0.825,,,,,,1.304,2.315,,4.594,6.008,6.342,0.0534,0.0495,0.0729,1.079,,14,0.006244,6.008,36,0.001846,6.276
,20,3000,31:04,1864,35.51,35,92.72,99.25,,1.471,5.919,6.108,0.031,0.895,,,,,,1.392,2.404,,2.616,5.919,6.108,0.0384,0.0611,0.0722,0.629,,12,0.008683,5.919,36,-0.002845,6.210
,21,0,32:07,1927,34.52,28,0.000000,0.000000,0.000000,0.000000,5.753,9.306,0.382,,0.215,0.0477,4.767,0.738,1552,0.570,1.578,,141.2,5.855,9.097,0.0137,0.0185,0.0230,0.740,,12,0.102,5.855,36,0.001449,9.045
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,42.22,53,0.000000,0.000000,0.000000,0.000000,5.962,11.07,0.462,,0.353,0.0616,4.109,0.682,1808,0.121,1.096,,287.7,6.042,10.70,0.009824,0.0129,0.0162,0.764,,12,0.178,6.042,36,-0.001738,10.76
,2,22,12:08,728,47.14,63,9.774,10.03,53.55,0.129,6.677,12.01,0.444,0.107,0.346,0.0606,4.042,0.608,2128,0.034,1.010,,81.75,6.753,11.62,0.0384,0.0455,0.0595,0.844,,13,0.184,6.753,36,-0.001935,11.69
,3,49,13:11,791,49.47,65,21.17,21.42,121.0,0.279,6.933,12.21,0.432,0.138,0.313,0.0615,4.101,0.573,2051,0.017,0.994,,77.75,7.060,11.92,0.0362,0.0510,0.0625,0.711,,12,0.184,7.060,36,0.001459,11.87
,4,81,14:15,855,51.32,66,33.69,33.72,198.7,0.444,7.180,12.29,0.416,0.173,0.300,0.0611,4.073,0.566,2128,0.010,0.987,,66.58,7.310,12.00,0.0477,0.0519,0.0705,0.920,,13,0.179,7.310,36,0.000066,12.00
,5,118,15:17,917,52.71,66,47.73,46.48,282.3,0.628,7.393,12.41,0.405,0.200,0.190,0.0596,3.973,0.594,1949,0.000,0.978,,81.73,7.582,12.09,0.0311,0.0455,0.0551,0.682,,12,0.176,7.582,36,0.000604,12.07
,6,163,16:20,980,56.02,66,63.05,60.13,396.3,0.830,7.616,12.42,0.387,0.235,0.140,0.0606,4.037,0.606,1808,0.000,0.977,,53.67,7.831,12.10,0.0515,0.0606,0.0795,0.850,,12,0.171,7.831,36,0.001258,12.05
,7,216,17:23,1043,56.01,66,77.06,73.90,523.2,1.015,7.960,12.37,0.357,0.293,0.132,0.0603,4.022,0.617,1629,0.004,0.981,,61.49,8.149,12.08,0.0432,0.0472,0.0640,0.916,,12,0.160,8.149,36,0.001286,12.04
,8,279,18:27,1107,59.02,65,86.24,87.54,669.0,1.136,8.322,12.05,0.309,0.379,0.263,0.0597,3.982,0.530,1731,0.031,1.008,,57.67,8.324,11.84,0.0347,0.0501,0.0609,0.692,,12,0.142,8.324,36,0.000524,11.82
,9,353,19:30,1170,60.27,64,97.98,99.93,829.0,1.290,8.449,11.70,0.278,0.434,0.238,0.0585,3.900,0.585,1603,0.062,1.038,,41.88,8.429,11.49,0.0526,0.0508,0.0732,1.035,,12,0.131,8.429,36,0.000234,11.48
,10,442,20:33,1233,59.72,61,105.7,110.7,1057,1.392,8.359,10.99,0.239,0.497,0.216,0.0596,3.973,0.582,1411,0.130,1.105,,31.76,8.341,10.88,0.0641,0.0476,0.0798,1.345,,12,0.106,8.341,36,0.001090,10.84
,11,547,21:36,1296,56.78,58,115.9,119.7,1294,1.525,7.972,10.11,0.212,0.534,0.278,0.0589,3.929,0.534,1539,0.228,1.200,,30.82,7.910,10.00,0.0470,0.0491,0.0679,0.958,,13,0.0885,7.910,36,0.000974,9.969
,12,671,22:39,1359,52.92,53,122.9,126.8,1440,1.618,7.379,9.034,0.183,0.571,0.151,0.0534,3.563,0.634,1360,0.375,1.344,,26.74,7.407,8.925,0.0394,0.0409,0.0568,0.962,,12,0.0584,7.407,36,-0.001154,8.966
,13,819,23:42,1422,48.44,48,124.2,131.8,1745,1.636,6.806,8.023,0.152,0.619,0.195,0.0531,3.539,0.630,1181,0.548,1.513,,19.55,6.814,7.973,0.0488,0.0337,0.0593,1.451,,13,0.0422,6.814,36,0.001229,7.929
,14,995,24:45,1485,44.56,45,128.6,134.7,2047,1.693,6.338,7.278,0.129,0.655,0.159,0.0512,3.416,0.746,1091,0.706,1.668,,17.40,6.352,7.183,0.0313,0.0361,0.0478,0.869,,12,0.0327,6.352,36,-0.001368,7.233
,15,1204,25:48,1548,41.89,42,132.2,135.8,1872,1.740,5.892,6.618,0.110,0.689,0.111,0.0387,2.582,0.740,1360,0.877,1.834,,12.36,5.894,6.600,0.0222,0.0526,0.0571,0.422,,14,0.0210,5.894,36,0.001249,6.555
,16,1451,26:51,1611,39.45,41,164.0,135.5,553.5,2.160,5.704,6.431,0.113,0.674,0.012,0.0095,0.633,0.987,10730,0.931,1.888,,7.636,5.560,6.074,0.0541,0.0401,0.0673,1.349,,12,0.0165,5.560,36,0.000090,6.071
,17,1745,27:54,1674,38.86,40,146.7,134.2,3648,1.931,5.280,5.764,0.084,0.739,0.101,0.0521,3.471,0.666,1232,1.155,2.106,,8.347,5.278,5.767,0.0421,0.0408,0.0586,1.033,,12,0.0195,5.278,36,0.001342,5.719
,18,2094,28:57,1737,36.91,40,127.2,132.5,,1.674,5.179,5.514,0.061,0.806,,,,,,1.252,2.201,,5.932,5.179,5.514,0.0349,0.0444,0.0565,0.787,,26,0.007466,5.179,36,0.002213,5.434
,19,2508,30:01,1801,36.05,40,130.5,130.5,,1.718,5.064,5.342,0.052,0.830,,,,,,1.325,2.272,,4.672,5.064,5.342,0.0435,0.0406,0.0595,1.070,,16,0.008612,5.064,36,0.000896,5.310
,20,3000,31:04,1864,35.51,41,124.9,128.6,,1.645,4.990,5.207,0.042,0.861,,,,,,1.385,2.331,,4.329,4.990,5.207,0.0375,0.0332,0.0501,1.129,,13,0.0104,4.990,36,0.001152,5.165
,21,0,32:07,1927,34.52,34,0.000000,0.000000,0.000000,0.000000,4.916,8.003,0.386,,0.276,0.0584,3.893,0.722,1488,0.552,1.517,,146.6,4.988,7.795,0.009015,0.0169,0.0191,0.534,,12,0.106,4.988,36,-0.000416,7.810
,LED combination C (450 + 624 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,42.22,51,0.000000,0.000000,0.000000,0.000000,4.785,8.899,0.462,,0.338,0.0587,3.259,0.676,1808,0.119,1.127,,237.0,4.852,8.603,0.0102,0.0121,0.0158,0.850,,12,0.138,4.852,36,-0.001042,8.641
,2,22,12:08,728,47.14,61,9.842,10.03,43.26,0.104,5.323,9.632,0.447,0.087,0.324,0.0588,3.266,0.629,2051,0.034,1.041,,87.18,5.410,9.372,0.0198,0.0409,0.0454,0.483,,14,0.144,5.410,36,-0.000314,9.383
,3,49,13:11,791,49.47,63,21.14,21.40,95.84,0.223,5.570,9.798,0.431,0.127,0.313,0.0585,3.248,0.589,2051,0.016,1.024,,67.47,5.663,9.542,0.0369,0.0441,0.0575,0.838,,13,0.141,5.663,36,-0.000230,9.550
