File path:,
File note:,
File date:,30/06/17
File time:,04:41:18
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.421,0.430,0.434,0.446
Ek:,288.3,270.9,271.3,265.3
Pm:,98.91,80.56,104.2,109.8
Em:,807.5,520.2,1157,2049
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.137,0.467,0.080,0.069
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,46.85,44,0.000000,0.000000,0.000000,0.000000,7.809,13.18,0.408,,0.354,0.0427,4.275,0.634,2192,0.245,1.397,,196.4,7.762,13.05,0.0186,0.0194,0.0269,0.958,,15,0.141,7.762,36,0.006442,12.81
,2,22,12:08,728,54.39,55,9.095,8.928,50.98,0.178,9.066,15.45,0.413,0.094,0.166,0.0385,3.848,0.600,2768,0.062,1.192,,61.64,9.096,15.10,0.0585,0.0779,0.0974,0.751,,16,0.165,9.096,36,0.007460,14.83
,3,49,13:11,791,59.32,58,18.72,18.99,123.2,0.366,9.887,16.00,0.382,0.178,0.292,0.0417,4.174,0.510,3037,0.026,1.151,,54.38,9.906,15.84,0.0683,0.0851,0.109,0.802,,14,0.160,9.906,36,0.009289,15.51
,4,81,14:14,854,62.46,60,29.20,29.76,210.6,0.570,10.41,16.28,0.360,0.232,0.304,0.0432,4.318,0.478,2832,0.008,1.131,,55.46,10.35,16.15,0.0722,0.0757,0.105,0.954,,12,0.172,10.35,36,0.0102,15.78
,5,118,15:17,917,64.03,60,40.35,40.81,311.8,0.788,10.67,16.22,0.342,0.270,0.297,0.0439,4.388,0.492,2768,0.012,1.135,,68.57,10.66,16.04,0.0497,0.0607,0.0785,0.819,,12,0.158,10.66,36,0.007162,15.78
,6,163,16:20,980,66.46,60,52.99,52.48,422.1,1.035,11.08,16.41,0.325,0.310,0.226,0.0430,4.300,0.547,2563,0.000,1.122,,61.98,11.05,16.22,0.0577,0.0602,0.0834,0.958,,12,0.159,11.05,36,0.006524,15.99
,7,216,17:23,1043,68.41,60,64.08,64.07,578.8,1.251,11.40,16.21,0.297,0.366,0.259,0.0445,4.450,0.508,2192,0.012,1.136,,52.68,11.32,16.08,0.0409,0.0806,0.0904,0.507,,12,0.154,11.32,36,0.005873,15.87
,8,279,18:27,1107,69.03,60,76.90,75.35,727.4,1.502,11.50,15.88,0.276,0.405,0.166,0.0433,4.330,0.554,2243,0.033,1.159,,45.37,11.57,15.82,0.0593,0.0726,0.0938,0.817,,12,0.126,11.57,36,0.008845,15.50
,9,353,19:30,1170,70.56,59,87.17,83.67,904.7,1.702,11.76,15.62,0.247,0.462,0.215,0.0426,4.256,0.551,2141,0.051,1.179,,42.58,11.73,15.47,0.0545,0.0688,0.0878,0.792,,12,0.121,11.73,36,0.004493,15.30
,10,442,20:33,1233,69.39,58,98.66,90.35,1237,1.927,11.57,14.89,0.223,0.501,0.182,0.0465,4.646,0.541,1923,0.102,1.237,,28.92,11.69,14.76,0.0663,0.0830,0.106,0.798,,12,0.0976,11.69,36,0.001660,14.70
,11,547,21:36,1296,67.69,55,102.7,95.21,1509,2.005,11.28,13.89,0.188,0.563,0.242,0.0458,4.580,0.525,1821,0.182,1.326,,25.69,11.29,13.78,0.0730,0.0642,0.0972,1.137,,17,0.0779,11.29,36,0.001095,13.74
,12,671,22:39,1359,65.42,53,105.8,98.06,1866,2.066,10.90,12.94,0.158,0.618,0.126,0.0462,4.618,0.561,1603,0.268,1.423,,23.28,10.92,12.93,0.0601,0.0617,0.0861,0.973,,15,0.0651,10.92,36,0.004350,12.77
,13,819,23:42,1422,61.15,50,103.9,98.91,2275,2.029,10.19,11.67,0.127,0.673,0.185,0.0461,4.613,0.494,1437,0.406,1.578,,14.70,10.17,11.68,0.0724,0.0727,0.103,0.996,,13,0.0516,10.17,36,0.003899,11.54
,14,995,24:45,1485,58.02,48,108.8,97.86,2631,2.124,9.670,10.86,0.109,0.705,0.135,0.0439,4.390,0.520,1488,0.512,1.696,,10.48,9.749,10.80,0.0769,0.0646,0.100,1.191,,14,0.0306,9.749,36,0.001364,10.75
,15,1204,25:48,1548,54.75,47,118.1,95.24,2205,2.307,9.125,10.12,0.098,0.723,0.115,0.0304,3.042,0.542,2691,0.622,1.820,,9.274,9.168,10.07,0.0702,0.0671,0.0971,1.046,,19,0.0210,9.168,36,0.002910,9.964
,16,1451,26:51,1611,53.10,47,93.98,91.45,,1.835,8.851,9.464,0.065,0.809,,,,,,0.734,1.946,,5.409,8.851,9.464,0.0683,0.0904,0.113,0.756,,12,0.0200,8.851,36,-0.005618,9.666
,17,1745,27:54,1674,51.58,46,97.34,86.92,,1.901,8.596,9.104,0.056,0.831,,,,,,0.803,2.023,,5.236,8.596,9.104,0.0526,0.0815,0.0970,0.646,,18,0.0161,8.596,36,-0.000246,9.113
,18,2094,28:57,1737,50.36,49,91.44,82.04,,1.786,8.393,8.776,0.044,0.865,,,,,,0.870,2.098,,3.081,8.393,8.776,0.0738,0.100,0.124,0.737,,12,0.0113,8.393,36,0.005418,8.581
