File path:,
File note:,
File date:,30/06/17
File time:,05:18:06
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.397,0.409,0.420,0.421
Ek:,297.0,272.8,252.3,251.1
Pm:,99.41,105.7,105.9,95.63
Em:,1097,2753,,979.0
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.106,0.131,0.271,0.129
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,48.70,43,0.000000,0.000000,0.000000,0.000000,8.117,13.45,0.396,,0.357,0.0443,4.426,0.638,2192,0.234,1.453,,187.5,8.064,13.31,0.0171,0.0221,0.0280,0.774,,15,0.146,8.064,36,0.006148,13.09
,2,22,12:08,728,58.28,56,8.346,8.422,58.65,0.174,9.713,15.65,0.379,0.147,0.364,0.0443,4.427,0.506,2960,0.060,1.248,,66.53,9.599,15.51,0.0542,0.0703,0.0888,0.771,,14,0.170,9.599,36,0.007802,15.23
,3,49,13:11,791,62.83,60,17.91,17.94,128.0,0.374,10.47,16.50,0.365,0.202,0.306,0.0434,4.336,0.494,3357,0.005,1.184,,56.63,10.38,16.34,0.0665,0.0816,0.105,0.815,,12,0.179,10.38,36,0.008981,16.01
,4,81,14:14,854,64.40,61,28.59,28.16,215.1,0.597,10.73,16.59,0.353,0.231,0.244,0.0441,4.410,0.513,3011,0.000,1.178,,60.03,10.69,16.40,0.0472,0.0825,0.0950,0.572,,13,0.175,10.69,36,0.007903,16.11
,5,118,15:18,918,67.11,61,38.28,38.67,320.0,0.799,11.19,16.56,0.324,0.293,0.285,0.0450,4.504,0.510,2768,0.002,1.180,,49.31,11.16,16.39,0.0739,0.0761,0.106,0.971,,12,0.159,11.16,36,0.006171,16.17
,6,163,16:21,981,68.44,61,50.37,49.82,446.9,1.052,11.41,16.51,0.309,0.325,0.270,0.0455,4.553,0.481,2563,0.005,1.183,,49.88,11.38,16.37,0.0652,0.0759,0.100,0.858,,12,0.160,11.38,36,0.006821,16.13
,7,216,17:23,1043,70.81,61,60.72,60.96,570.4,1.268,11.80,16.42,0.281,0.384,0.290,0.0439,4.385,0.504,2461,0.011,1.190,,46.47,11.70,16.29,0.0680,0.0716,0.0988,0.950,,12,0.145,11.70,36,0.006435,16.06
,8,279,18:27,1107,72.12,61,72.99,71.85,764.3,1.524,12.02,16.28,0.262,0.424,0.218,0.0455,4.549,0.514,2269,0.019,1.200,,50.04,12.02,16.15,0.0537,0.0627,0.0825,0.857,,13,0.136,12.02,36,0.006832,15.90
,9,353,19:30,1170,72.44,59,82.79,80.20,909.2,1.729,12.07,15.77,0.235,0.475,0.212,0.0428,4.277,0.537,2051,0.052,1.239,,37.44,12.03,15.64,0.0441,0.0859,0.0965,0.513,,13,0.118,12.03,36,0.006562,15.40
,10,442,20:33,1233,70.91,58,92.91,86.91,1130,1.940,11.82,14.96,0.210,0.515,0.061,0.0425,4.246,0.532,2128,0.109,1.305,,30.55,11.86,14.89,0.0684,0.0719,0.0992,0.952,,13,0.0986,11.86,36,0.006206,14.66
,11,547,21:36,1296,69.48,57,97.98,92.21,1495,2.046,11.58,14.11,0.179,0.573,0.234,0.0454,4.538,0.509,1821,0.176,1.385,,24.10,11.50,14.05,0.0774,0.0720,0.106,1.075,,13,0.0933,11.50,36,0.003360,13.93
,12,671,22:39,1359,65.77,53,102.3,95.98,1580,2.135,10.96,12.93,0.152,0.617,0.090,0.0391,3.911,0.573,1757,0.283,1.510,,20.42,10.96,12.91,0.0671,0.0674,0.0951,0.996,,13,0.0594,10.96,36,0.005340,12.71
,13,819,23:42,1422,62.03,50,93.76,98.29,2478,1.958,10.34,11.67,0.114,0.694,0.172,0.0502,5.024,0.441,1437,0.421,1.673,,12.77,10.33,11.70,0.0729,0.0791,0.108,0.921,,12,0.0483,10.33,36,0.003867,11.56
,14,995,24:45,1485,58.21,49,108.0,99.30,2226,2.256,9.701,10.88,0.109,0.697,0.153,0.0372,3.716,0.531,1923,0.524,1.795,,12.99,9.711,10.85,0.0699,0.0528,0.0876,1.324,,18,0.0313,9.711,36,0.002461,10.76
,15,1204,25:48,1548,55.50,48,95.31,99.32,3034,1.990,9.250,10.05,0.079,0.767,0.114,0.0418,4.184,0.710,2077,0.651,1.945,,8.264,9.260,10.04,0.0634,0.0698,0.0943,0.908,,13,0.0246,9.260,36,0.001675,9.979
,16,1451,26:51,1611,52.77,46,85.95,98.76,,1.795,8.795,9.348,0.059,0.817,,,,,,0.775,2.090,,5.658,8.795,9.348,0.0609,0.0766,0.0979,0.795,,18,0.0129,8.795,36,0.001986,9.277
,17,1745,27:54,1674,51.05,48,107.9,97.96,,2.253,8.508,9.068,0.062,0.805,,,,,,0.829,2.154,,4.814,8.508,9.068,0.0799,0.0848,0.116,0.943,,18,0.0210,8.508,36,0.001821,9.003
,18,2094,28:57,1737,49.57,48,81.74,97.21,,1.707,8.262,8.597,0.039,0.872,,,,,,0.930,2.272,,3.874,8.262,8.597,0.0612,0.0613,0.0866,1.000,,24,0.009449,8.262,36,0.000128,8.592
,19,2508,30:00,1800,47.45,51,148.6,96.64,,3.104,7.909,8.407,0.059,0.803,,,,,,0.973,2.324,,4.335,7.909,8.407,0.0777,0.0847,0.115,0.918,,12,0.0114,7.909,36,0.000521,8.389
,20,3000,31:04,1864,47.54,51,96.80,96.27,,2.021,7.923,8.187,0.032,0.891,,,,,,1.026,2.386,,2.130,7.923,8.187,0.0949,0.0799,0.124,1.188,,24,0.008159,7.923,36,0.002083,8.112
,21,0,32:07,1927,44.14,32,0.000000,0.000000,0.000000,0.000000,7.357,10.72,0.313,,0.345,0.0444,4.436,0.630,1757,0.548,1.823,,84.44,7.294,10.63,0.0308,0.0248,0.0395,1.242,,13,0.0991,7.294,36,0.004391,10.47
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:50,50,48.70,56,0.000000,0.000000,0.000000,0.000000,6.986,12.13,0.424,,0.207,0.0499,3.327,0.713,2051,0.202,1.289,,223.9,7.110,11.85,0.0160,0.0138,0.0212,1.162,,12,0.156,7.110,36,0.003106,11.74
,2,22,12:08,728,58.28,73,8.734,8.653,45.25,0.147,8.397,13.92,0.397,0.157,0.286,0.0512,3.415,0.554,2883,0.048,1.123,,66.16,8.365,13.75,0.0612,0.0537,0.0814,1.140,,12,0.183,8.365,36,0.005225,13.56
,3,49,13:11,791,62.83,76,18.40,18.36,98.46,0.309,9.059,14.51,0.375,0.220,0.259,0.0501,3.337,0.526,3088,0.006,1.078,,84.39,9.018,14.26,0.0411,0.0466,0.0621,0.884,,12,0.186,9.018,36,0.003995,14.12
,4,81,14:14,854,64.40,77,28.07,28.69,164.1,0.471,9.490,14.52,0.347,0.280,0.305,0.0505,3.365,0.490,2883,0.005,1.077,,79.13,9.387,14.36,0.0338,0.0529,0.0628,0.639,,12,0.176,9.387,36,0.003473,14.23
,5,118,15:18,918,67.11,77,39.31,39.22,240.0,0.660,9.729,14.59,0.333,0.310,0.289,0.0507,3.377,0.490,2563,0.000,1.072,,64.09,9.669,14.37,0.0400,0.0615,0.0734,0.651,,12,0.167,9.669,36,0.003548,14.25
,6,163,16:21,981,68.44,78,49.52,50.24,340.6,0.831,10.06,14.45,0.304,0.367,0.267,0.0520,3.470,0.512,2448,0.009,1.082,,54.44,10.02,14.31,0.0616,0.0490,0.0787,1.257,,12,0.153,10.02,36,0.002759,14.21
,7,216,17:23,1043,70.81,77,62.14,61.09,439.3,1.043,10.28,14.44,0.288,0.401,0.251,0.0507,3.377,0.520,2512,0.011,1.084,,56.07,10.24,14.31,0.0562,0.0458,0.0725,1.228,,13,0.144,10.24,36,0.004664,14.14
