File path:,
File note:,
File date:,30/06/17
File time:,06:09:22
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.402,0.416,0.411,0.437
Ek:,249.4,233.1,240.9,213.9
Pm:,91.83,85.26,86.08,93.42
Em:,969.2,792.1,795.5,
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.111,0.110,0.124,0.162
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,56.19,35,0.000000,0.000000,0.000000,0.000000,9.364,15.98,0.414,,0.360,0.0451,4.506,0.634,2269,0.297,1.300,,216.2,9.324,15.81,0.0213,0.0212,0.0300,1.004,,13,0.183,9.324,36,0.006894,15.56
,2,22,12:06,726,67.06,42,8.505,8.474,58.14,0.196,11.18,18.22,0.387,0.172,0.273,0.0439,4.388,0.530,3152,0.138,1.141,,64.22,11.23,17.99,0.0377,0.0984,0.105,0.383,,12,0.196,11.23,36,0.008175,17.70
,3,49,13:09,789,73.13,45,18.12,17.90,126.2,0.418,12.19,19.34,0.370,0.233,0.251,0.0428,4.277,0.500,3472,0.072,1.075,,65.76,12.19,19.05,0.0559,0.0881,0.104,0.635,,12,0.207,12.19,36,0.009018,18.73
,4,81,14:12,852,76.74,45,27.77,27.83,213.4,0.640,12.79,19.46,0.343,0.291,0.236,0.0437,4.374,0.503,3037,0.065,1.068,,54.24,12.78,19.29,0.0774,0.0917,0.120,0.844,,13,0.196,12.78,36,0.0109,18.90
,5,118,15:15,915,81.33,45,36.82,37.83,335.9,0.849,13.56,19.70,0.312,0.359,0.274,0.0473,4.726,0.486,2717,0.052,1.055,,59.84,13.43,19.52,0.0639,0.0793,0.102,0.806,,12,0.206,13.43,36,0.004092,19.37
,6,163,16:18,978,88.33,48,47.25,48.16,465.6,1.089,14.72,20.73,0.290,0.420,0.294,0.0474,4.743,0.500,2640,0.000,1.003,,53.98,14.65,20.62,0.0863,0.0692,0.111,1.248,,12,0.191,14.65,36,0.009576,20.28
,7,216,17:21,1041,89.62,48,58.49,58.15,596.3,1.348,14.94,20.48,0.271,0.454,0.238,0.0458,4.585,0.528,2461,0.012,1.015,,49.30,14.85,20.29,0.0798,0.0761,0.110,1.050,,13,0.182,14.85,36,0.006708,20.05
,8,279,18:24,1104,90.37,47,67.58,67.28,798.7,1.558,15.06,19.88,0.242,0.504,0.301,0.0475,4.754,0.457,2371,0.043,1.046,,34.51,14.98,19.73,0.107,0.0857,0.137,1.253,,14,0.158,14.98,36,0.005195,19.54
,9,353,19:27,1167,91.16,46,77.55,74.99,974.7,1.788,15.19,19.47,0.220,0.546,0.278,0.0458,4.585,0.472,2192,0.065,1.068,,34.81,15.08,19.32,0.0769,0.0948,0.122,0.811,,12,0.145,15.08,36,0.004398,19.17
,10,442,20:31,1231,89.72,45,84.41,81.47,1228,1.946,14.95,18.48,0.191,0.594,0.246,0.0461,4.615,0.498,2128,0.122,1.125,,36.14,14.89,18.36,0.0566,0.0775,0.0960,0.730,,14,0.119,14.89,36,0.004319,18.21
,11,547,21:34,1294,86.26,43,92.95,86.36,1551,2.143,14.38,17.32,0.170,0.626,0.219,0.0471,4.708,0.511,1949,0.197,1.200,,30.45,14.35,17.21,0.0464,0.0817,0.0940,0.568,,12,0.101,14.35,36,0.003857,17.07
,12,671,22:37,1357,82.78,41,94.15,89.63,1929,2.170,13.80,16.05,0.140,0.678,0.196,0.0477,4.773,0.539,1821,0.292,1.295,,22.57,13.77,15.96,0.0572,0.0784,0.0971,0.730,,12,0.0777,13.77,36,0.001622,15.90
,13,819,23:40,1420,76.87,39,103.9,91.39,2393,2.395,12.81,14.67,0.127,0.693,0.020,0.0485,4.853,0.623,1731,0.413,1.417,,15.15,12.94,14.67,0.0943,0.0645,0.114,1.461,,12,0.0583,12.94,36,0.002922,14.56
,14,995,24:43,1483,73.26,37,96.30,91.82,2873,2.220,12.21,13.52,0.097,0.754,0.142,0.0479,4.794,0.549,1757,0.534,1.538,,11.93,12.18,13.50,0.0869,0.0692,0.111,1.256,,12,0.0498,12.18,36,0.002034,13.43
,15,1204,25:46,1546,70.53,35,85.72,91.20,991.6,1.976,11.75,12.66,0.071,0.812,0.049,0.0137,1.368,0.528,656.0,0.638,1.642,,8.034,11.60,12.36,0.0571,0.0751,0.0944,0.760,,16,0.0229,11.60,36,0.001897,12.29
,16,1451,26:49,1609,59.95,32,95.70,89.83,2301,2.206,9.991,10.70,0.066,0.806,0.021,0.0263,2.634,0.452,1808,0.938,1.943,,7.287,9.980,10.67,0.0652,0.0684,0.0944,0.953,,19,0.0170,9.980,36,0.003530,10.54
,17,1745,27:52,1672,56.58,31,75.75,87.93,,1.746,9.430,9.858,0.043,0.865,,,,,,1.103,2.109,,5.580,9.430,9.858,0.0493,0.0588,0.0767,0.839,,16,0.0124,9.430,36,0.000702,9.833
,18,2094,28:55,1735,53.87,31,114.5,85.68,,2.640,8.978,9.498,0.055,0.826,,,,,,1.183,2.189,,5.587,8.978,9.498,0.0681,0.0632,0.0930,1.078,,13,0.0233,8.978,36,0.001832,9.432
,19,2508,29:58,1798,54.01,32,66.79,83.18,,1.540,9.002,9.248,0.027,0.914,,,,,,1.242,2.248,,2.228,9.002,9.248,0.0731,0.0829,0.111,0.881,,22,0.009930,9.002,36,0.001049,9.211
,20,3000,31:01,1861,52.05,32,103.7,80.48,,2.391,8.675,8.986,0.035,0.885,,,,,,1.307,2.313,,3.136,8.675,8.986,0.0757,0.0639,0.0990,1.184,,17,0.0120,8.675,36,0.001879,8.918
,21,0,32:04,1924,48.79,24,0.000000,0.000000,0.000000,0.000000,8.131,11.81,0.311,,0.269,0.0421,4.214,0.692,1808,0.756,1.760,,84.41,8.135,11.69,0.0304,0.0292,0.0422,1.043,,12,0.100,8.135,36,0.005417,11.50
,LED combination B (450 + 530 nm),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,56.19,45,0.000000,0.000000,0.000000,0.000000,8.027,14.36,0.441,,0.222,0.0507,3.377,0.702,2128,0.268,1.257,,255.4,8.187,14.03,0.0151,0.0171,0.0229,0.883,,12,0.192,8.187,36,0.003540,13.90
,2,22,12:06,726,67.06,53,9.045,8.738,44.34,0.168,9.492,16.12,0.411,0.128,0.129,0.0502,3.347,0.594,2832,0.130,1.120,,76.47,9.684,15.84,0.0546,0.0592,0.0805,0.922,,12,0.211,9.684,36,0.005529,15.64
,3,49,13:09,789,73.13,57,17.96,18.39,96.06,0.333,10.66,16.84,0.367,0.240,0.253,0.0488,3.255,0.510,3280,0.082,1.072,,69.20,10.60,16.56,0.0614,0.0604,0.0861,1.017,,12,0.206,10.60,36,0.004970,16.38
,4,81,14:12,852,76.74,57,27.68,28.48,164.6,0.513,11.17,16.97,0.342,0.295,0.298,0.0506,3.375,0.498,3152,0.073,1.064,,67.73,11.07,16.70,0.0656,0.0511,0.0831,1.282,,12,0.200,11.07,36,0.003660,16.57
,5,118,15:15,915,81.33,57,38.03,38.54,243.2,0.705,11.73,17.31,0.322,0.341,0.227,0.0513,3.422,0.516,2768,0.052,1.043,,69.97,11.64,17.13,0.0603,0.0502,0.0784,1.202,,12,0.206,11.64,36,0.005081,16.94
,6,163,16:18,978,88.33,61,47.67,48.80,343.3,0.884,12.89,18.21,0.292,0.418,0.270,0.0525,3.498,0.497,2691,0.000,0.991,,63.60,12.81,18.06,0.0556,0.0609,0.0825,0.913,,12,0.191,12.81,36,0.006198,17.84
,7,216,17:21,1041,89.62,61,57.08,58.61,442.2,1.059,13.17,17.89,0.264,0.469,0.276,0.0510,3.399,0.484,2512,0.018,1.009,,59.44,12.96,17.75,0.0508,0.0626,0.0806,0.813,,12,0.185,12.96,36,0.005061,17.57
,8,279,18:24,1104,90.37,60,69.92,66.95,586.9,1.297,13.13,17.52,0.251,0.491,0.215,0.0524,3.493,0.521,2243,0.040,1.031,,42.92,13.12,17.36,0.0701,0.0695,0.0988,1.009,,12,0.160,13.12,36,0.004260,17.21
,9,353,19:27,1167,91.16,58,79.96,73.72,723.0,1.483,13.18,17.04,0.227,0.534,0.189,0.0510,3.401,0.530,2320,0.069,1.059,,37.85,13.20,16.89,0.0710,0.0667,0.0974,1.064,,12,0.134,13.20,36,0.005117,16.71
