File path:,
File note:,
File date:,30/06/17
File time:,13:11:46
FRRf3 Ka:,11800
[Chl] multiplier:,6.0
QR threshold:,6.0
C derivation:,qP
TauPQ:,250
TauSQ:,500
Act2 SN:,15-0003-002
Act2 LED:,White
FRRf3 SN:,14-9727-007
450 nm:,1.00
530 nm:,0.50
624 nm:,0.80
,A,B,C,D
Alpha:,0.436,0.441,0.438,0.452
Ek:,256.1,253.4,256.9,237.3
Pm:,99.18,111.7,95.08,101.1
Em:,900.9,,786.1,1051
AlphaW:,2.000,2.000,2.000,2.000
SErP:,0.129,0.055,0.154,0.048
,LED combination A (450 nm alone),,,,,,Measured,Fit,,,Fo,Fm,Fv/Fm
,Saq,E,Start,s,[Chl],ADC,rP,rP,JPII,JVPII,F',Fm',Fq'/Fm',C,p,RSigma,Sigma,CSQ,TauES,NPQ,NSV,,QR,Qo,Qm,QoSE,QmSE,QSE,QSE ratio,,Qo points,Qo slope,Qo intercept,Qm points,Qm slope,Qm intercept
,1,0,00:48,48,45.80,38,0.000000,0.000000,0.000000,0.000000,7.633,13.15,0.420,,0.380,0.0392,3.916,0.590,2397,0.175,1.276,,173.6,7.530,13.02,0.0234,0.0213,0.0316,1.099,,16,0.135,7.530,36,0.008303,12.72
,2,22,12:06,726,51.20,43,9.158,9.181,49.14,0.170,8.533,14.62,0.416,0.106,0.304,0.0371,3.709,0.490,3011,0.058,1.148,,61.23,8.528,14.43,0.0676,0.0688,0.0964,0.983,,21,0.142,8.528,36,0.0112,14.03
,3,49,13:10,790,55.23,46,19.32,19.42,110.6,0.358,9.205,15.20,0.394,0.170,0.330,0.0375,3.750,0.444,3472,0.017,1.104,,76.60,9.142,15.04,0.0462,0.0616,0.0770,0.750,,14,0.148,9.142,36,0.0120,14.61
,4,81,14:12,852,57.75,46,30.53,30.24,184.9,0.566,9.624,15.45,0.377,0.214,0.257,0.0379,3.790,0.466,3331,0.001,1.086,,56.13,9.680,15.26,0.0519,0.0848,0.0994,0.612,,15,0.142,9.680,36,0.009992,14.90
,5,118,15:15,915,60.05,46,41.60,41.18,261.6,0.772,10.01,15.46,0.353,0.265,0.167,0.0368,3.681,0.454,3152,0.000,1.085,,72.41,10.02,15.29,0.0358,0.0634,0.0728,0.565,,13,0.146,10.02,36,0.0131,14.82
,6,163,16:18,978,61.91,46,52.13,52.52,393.1,0.967,10.32,15.17,0.320,0.326,0.276,0.0400,4.004,0.426,3037,0.019,1.106,,49.00,10.27,14.99,0.0572,0.0774,0.0963,0.739,,12,0.134,10.27,36,0.005580,14.79
,7,216,17:22,1042,63.90,46,63.56,63.55,490.1,1.179,10.65,15.09,0.294,0.379,0.255,0.0377,3.768,0.476,2960,0.024,1.112,,44.88,10.61,14.94,0.0561,0.0785,0.0964,0.715,,13,0.117,10.61,36,0.006741,14.70
,8,279,18:25,1105,64.80,45,73.88,73.67,682.2,1.370,10.80,14.69,0.265,0.433,0.271,0.0406,4.060,0.454,2589,0.052,1.142,,39.47,10.76,14.59,0.0697,0.0678,0.0972,1.027,,12,0.111,10.76,36,0.007729,14.31
,9,353,19:28,1168,64.84,44,81.78,81.97,846.9,1.517,10.81,14.07,0.232,0.492,0.287,0.0398,3.984,0.486,2768,0.099,1.193,,34.77,10.82,13.96,0.0657,0.0621,0.0904,1.059,,13,0.0844,10.82,36,0.006050,13.74
,10,442,20:31,1231,62.38,43,91.89,88.92,1015,1.704,10.40,13.12,0.208,0.526,0.265,0.0381,3.815,0.438,2512,0.178,1.279,,28.67,10.42,13.02,0.0681,0.0600,0.0908,1.136,,12,0.0715,10.42,36,0.003830,12.88
